galatea_01_barrili_f000001|GALATEA DI ANTON GIULIO BARRILI Capitulo Primo.|GALATEA DI ANTON GIULIO BARRILI Capitulo Primo.
galatea_01_barrili_f000002|Rinaldo a Filippo. Corsenna, Sette luglio Mille Ottocento...|Rinaldo a Filippo. Corsenna, Sette luglio Mille Ottocento...
galatea_01_barrili_f000003|Notizie mie? Eccole. Son venuto qua, come sai, per dar pace a questi poveri nervi;|Notizie mie? Eccole. Son venuto qua, come sai, per dar pace a questi poveri nervi;
galatea_01_barrili_f000004|e ci lavoro alacremente, chiudendomi nell'inerzia più fitta.|e ci lavoro alacremente, chiudendomi nell'inerzia più fitta.
galatea_01_barrili_f000005|Bada, io non so quanto sia vero che ai giorni nostri i nervi si sciupino più di prima|Bada, io non so quanto sia vero che ai giorni nostri i nervi si sciupino più di prima
galatea_01_barrili_f000006|nella gran varietà e nella troppa intensità delle sensazioni: ma è certo che oggi come prima lo strapazzo nuoce ad ogni organismo|nella gran varietà e nella troppa intensità delle sensazioni: ma è certo che oggi come prima lo strapazzo nuoce ad ogni organismo
galatea_01_barrili_f000007|e certissimo poi che il tuo vecchio amico aveva bisogno di questo riposo;|e certissimo poi che il tuo vecchio amico aveva bisogno di questo riposo;
galatea_01_barrili_f000008|tanto gli pare d'esser tuttavia sfiaccolato.|tanto gli pare d'esser tuttavia sfiaccolato.
galatea_01_barrili_f000009|Pure non faccio nulla, assolutamente nulla;|Pure non faccio nulla, assolutamente nulla;
galatea_01_barrili_f000010|questa lettera, che viene un po' tardi in risposta al tuo cortese biglietto, è la prima fatica dopo un mese di quiete.|questa lettera, che viene un po' tardi in risposta al tuo cortese biglietto, è la prima fatica dopo un mese di quiete.
galatea_01_barrili_f000011|Già, non potrei far nulla, anche volendo.|Già, non potrei far nulla, anche volendo.
galatea_01_barrili_f000012|Non sento più; e se, come dice il filosofo, niente può essere nell'intelletto che non sia stato prima nel senso,|Non sento più; e se, come dice il filosofo, niente può essere nell'intelletto che non sia stato prima nel senso,
galatea_01_barrili_f000013|io posso stimarmi finito, e metter magari l'appigionasi in fronte, come sulla facciata d'una casa vuota.|io posso stimarmi finito, e metter magari l'appigionasi in fronte, come sulla facciata d'una casa vuota.
galatea_01_barrili_f000014|Che bella cosa, dopo tutto, non sentir nulla;|Che bella cosa, dopo tutto, non sentir nulla;
galatea_01_barrili_f000015|esser libero e netto d'ogni cura del mondo circostante;|esser libero e netto d'ogni cura del mondo circostante;
galatea_01_barrili_f000016|udendo senza commuoversi, vedendo senza partecipare, vivendo la vita dello specchio|udendo senza commuoversi, vedendo senza partecipare, vivendo la vita dello specchio
galatea_01_barrili_f000017|che riflette tranquillamente ogni cosa e sorride! Ma sì, un po' d'ironia nel fondo ce la dovrebbe avere anche lui;|che riflette tranquillamente ogni cosa e sorride! Ma sì, un po' d'ironia nel fondo ce la dovrebbe avere anche lui;
galatea_01_barrili_f000018|per virtù, non foss'altro, degl'ingredienti che lo rendono opaco.|per virtù, non foss'altro, degl'ingredienti che lo rendono opaco.
galatea_01_barrili_f000019|Quel po' d'ironia non è finalmente la meno feroce delle nostre vendette?|Quel po' d'ironia non è finalmente la meno feroce delle nostre vendette?
