la_fabrique_de_crimes_01_f000001|Voici déjà plusieurs années que les fabricants de crimes ne livrent rien.|Voici déjà plusieurs années que les fabricants de crimes ne livrent rien.
la_fabrique_de_crimes_01_f000002|Depuis que l'on a inventé le naturalisme et le réalisme, le public honnête autant qu'intelligent crève de faim, car, au dire des marchands,|Depuis que l'on a inventé le naturalisme et le réalisme, le public honnête autant qu'intelligent crève de faim, car, au dire des marchands,
la_fabrique_de_crimes_01_f000003|la France compte un ou deux millions de consommateurs qui ne veulent plus rien manger, sinon du crime.|la France compte un ou deux millions de consommateurs qui ne veulent plus rien manger, sinon du crime.
la_fabrique_de_crimes_01_f000004|Or, le théâtre ne donne plus que la gaudriole et l'opérette, abandonnant le mélodrame.|Or, le théâtre ne donne plus que la gaudriole et l'opérette, abandonnant le mélodrame.
la_fabrique_de_crimes_01_f000005|Une réaction était inévitable. Le crime va reprendre la hausse et faire prime.|Une réaction était inévitable. Le crime va reprendre la hausse et faire prime.
la_fabrique_de_crimes_01_f000006|Aussi va-t-on voir des plumes délicates et vraiment françaises fermer leur écritoire élégante pour s'imbiber un peu de sang.|Aussi va-t-on voir des plumes délicates et vraiment françaises fermer leur écritoire élégante pour s'imbiber un peu de sang.
la_fabrique_de_crimes_01_f000007|La jeune génération va voir refleurir, sous d'autres noms, des usines d'épouvantables forfaits! Pour la conversion radicale des charmants esprits dont nous parlions tout à l'heure, il faut un motif, et ce motif, c'est la hausse du crime.|La jeune génération va voir refleurir, sous d'autres noms, des usines d'épouvantables forfaits! Pour la conversion radicale des charmants esprits dont nous parlions tout à l'heure, il faut un motif, et ce motif, c'est la hausse du crime.
la_fabrique_de_crimes_01_f000008|Hausse qui s'est produite si soudain et avec tant d'intensité que l'académie française a dû, tout dernièrement, repousser la bienveillante initiative d'un amateur qui voulait fonder un prix Montyon pour le crime.|Hausse qui s'est produite si soudain et avec tant d'intensité que l'académie française a dû, tout dernièrement, repousser la bienveillante initiative d'un amateur qui voulait fonder un prix Montyon pour le crime.
la_fabrique_de_crimes_01_f000009|Nous aurions pu, imitant de très loin l'immortel père de don Quichotte, railler les goûts de notre temps, mais ayant beaucoup étudié cette intéressante déviation du caractère national, nous préférons les flatter.|Nous aurions pu, imitant de très loin l'immortel père de don Quichotte, railler les goûts de notre temps, mais ayant beaucoup étudié cette intéressante déviation du caractère national, nous préférons les flatter.
la_fabrique_de_crimes_01_f000010|C'est pourquoi, plein de confiance, nous proclamons dès le début de cette oeuvre extraordinaire, qu'on n'ira pas plus loin désormais dans la voie du crime à bon marché.|C'est pourquoi, plein de confiance, nous proclamons dès le début de cette oeuvre extraordinaire, qu'on n'ira pas plus loin désormais dans la voie du crime à bon marché.
la_fabrique_de_crimes_01_f000011|Nous avons rigoureusement établi nos calculs: la concurrence est impossible.|Nous avons rigoureusement établi nos calculs: la concurrence est impossible.
la_fabrique_de_crimes_01_f000012|Nous avons fait table rase de tout ce qui embarrasse un livre; l'esprit, l'observation, l'originalité, l'orthographe même; et ne voilà que du crime.|Nous avons fait table rase de tout ce qui embarrasse un livre; l'esprit, l'observation, l'originalité, l'orthographe même; et ne voilà que du crime.
la_fabrique_de_crimes_01_f000013|En moyenne, chaque chapitre contiendra, soixante-treize assassinats, exécutés avec soin, les uns frais, les autres ayant eu le temps d'acquérir,|En moyenne, chaque chapitre contiendra, soixante-treize assassinats, exécutés avec soin, les uns frais, les autres ayant eu le temps d'acquérir,
la_fabrique_de_crimes_01_f000014|par le séjour des victimes à la cave ou dans la saumure, un degré de montant plus propre encore à émoustiller la gaîté des familles.|par le séjour des victimes à la cave ou dans la saumure, un degré de montant plus propre encore à émoustiller la gaîté des familles.
la_fabrique_de_crimes_01_f000015|Les personnes studieuses qui cherchent des procédés peu connus pour détruire ou seulement estropier leurs semblables, trouveront ici cet article en abondance.|Les personnes studieuses qui cherchent des procédés peu connus pour détruire ou seulement estropier leurs semblables, trouveront ici cet article en abondance.
la_fabrique_de_crimes_01_f000016|Sur un travail de centralisation bien entendu, nous avons rassemblé les moyens les plus nouveaux.|Sur un travail de centralisation bien entendu, nous avons rassemblé les moyens les plus nouveaux.
la_fabrique_de_crimes_01_f000017|Soit qu'il s'agisse d'éventrer les petits enfants, d'étouffer les jeunes vierges sans défense, d'empailler les vieilles dames ou de désosser MM. les militaires, nous opérons nous-mêmes.|Soit qu'il s'agisse d'éventrer les petits enfants, d'étouffer les jeunes vierges sans défense, d'empailler les vieilles dames ou de désosser MM. les militaires, nous opérons nous-mêmes.
la_fabrique_de_crimes_01_f000018|En un mot, doubler, tripler, centupler la consommation d'assassinats, si nécessaire à la santé de cette fin de siècle décadent, tel est le but que nous nous proposons.|En un mot, doubler, tripler, centupler la consommation d'assassinats, si nécessaire à la santé de cette fin de siècle décadent, tel est le but que nous nous proposons.
la_fabrique_de_crimes_01_f000019|Nous eussions bien voulu coller sur toutes les murailles de la capitale une affiche en rapport avec l'estime que nous faisons de nous même;|Nous eussions bien voulu coller sur toutes les murailles de la capitale une affiche en rapport avec l'estime que nous faisons de nous même;
la_fabrique_de_crimes_01_f000020|mais notre peu d'aisance s'y oppose et nous en sommes réduits à glisser ici le texte de cette affiche, tel que nous l'avons mûrement rédigé: Succès, inouï, prodigieux, stupide!|mais notre peu d'aisance s'y oppose et nous en sommes réduits à glisser ici le texte de cette affiche, tel que nous l'avons mûrement rédigé: Succès, inouï, prodigieux, stupide!
la_fabrique_de_crimes_01_f000021|LA FABRIQUE DE CRIMES AFFREUX ROMAN Par un assassin L'Europe attend l'apparition de cette oeuvre extravagante où l'intérêt concentré au delà des bornes de l'épilepsie, incommode et atrophie le lecteur!|LA FABRIQUE DE CRIMES AFFREUX ROMAN Par un assassin L'Europe attend l'apparition de cette oeuvre extravagante où l'intérêt concentré au delà des bornes de l'épilepsie, incommode et atrophie le lecteur!
la_fabrique_de_crimes_01_f000022|Tropmann était un polisson auprès de l'auteur qui exécute des prestiges supérieurs à ceux de LÉOTARD.|Tropmann était un polisson auprès de l'auteur qui exécute des prestiges supérieurs à ceux de LÉOTARD.
la_fabrique_de_crimes_01_f000023|100 feuilletons, à soixante-treize assassinats donnent un total superbe de 7.|100 feuilletons, à soixante-treize assassinats donnent un total superbe de 7.
la_fabrique_de_crimes_01_f000024|300 victimes qui appartiennent a la France, comme cela se doit dans un roman national.|300 victimes qui appartiennent a la France, comme cela se doit dans un roman national.
la_fabrique_de_crimes_01_f000025|Afin de ne pas tromper les cinq parties du monde, on reprendra, avec une perte insignifiante, les chapitres qui ne contiendront pas la quantité voulue de Monstruosités coupables,|Afin de ne pas tromper les cinq parties du monde, on reprendra, avec une perte insignifiante, les chapitres qui ne contiendront pas la quantité voulue de Monstruosités coupables,
