novelle07_01_pirandello_f000001|Novelle per un anno di luigi pirandello|Novelle per un anno di luigi pirandello
novelle07_01_pirandello_f000002|TUTT’E TRE|TUTTE TRE
novelle07_01_pirandello_f000003|Ballarò venne su strabalzoni dal giardino agitando in aria invece delle mani, le maniche;|Ballarò venne su strabalzoni dal giardino agitando in aria invece delle mani, le maniche;
novelle07_01_pirandello_f000004|perduto come era in un abito smesso del padrone.|perduto come era in un abito smesso del padrone.
novelle07_01_pirandello_f000005|— Maria Santissima! Maria Santissima! La gente si fermava per via.|- Maria Santissima! Maria Santissima! La gente si fermava per via.
novelle07_01_pirandello_f000006|— Ballarò, che è stato? Non si voltava nemmeno;|- Ballarò, che è stato? Non si voltava nemmeno;
novelle07_01_pirandello_f000007|scansava quanti tentavano pararglisi di fronte, e via di corsa verso il Palazzo del Barone|scansava quanti tentavano pararglisi di fronte, e via di corsa verso il Palazzo del Barone
novelle07_01_pirandello_f000008|seguitando a ripetere quasi a ogni passo: — Maria Santissima! Maria Santissima! Quella corsa in salita|seguitando a ripetere quasi a ogni passo: - Maria Santissima! Maria Santissima! Quella corsa in salita
novelle07_01_pirandello_f000009|alla fine, e l’enormità della notizia che recava alla signora Baronessa lo stordirono tanto che|alla fine, e lenormità della notizia che recava alla signora Baronessa lo stordirono tanto che
novelle07_01_pirandello_f000010|subito com’entrò nel palazzo, ebbe un capogiro e piombò sulle natiche, tra attonito e smarrito.|subito comentrò nel palazzo, ebbe un capogiro e piombò sulle natiche, tra attonito e smarrito.
novelle07_01_pirandello_f000011|Trovò appena il fiato per annunziare: — Il signor Barone… correte… gli è preso uno sturbo… giú nel giardino… All’annunzio la Baronessa|Trovò appena il fiato per annunziare: - Il signor Barone correte gli è preso uno sturbo giú nel giardino Allannunzio la Baronessa
novelle07_01_pirandello_f000012|donna Vittoria Vivona, restò in prima come basita.|donna Vittoria Vivona, restò in prima come basita.
novelle07_01_pirandello_f000013|Con la bocca aperta, gli occhi sbarrati si portò piano le grosse mani ai capelli, e si mise a grattarsi la testa.|Con la bocca aperta, gli occhi sbarrati si portò piano le grosse mani ai capelli, e si mise a grattarsi la testa.
novelle07_01_pirandello_f000014|Tutt’a un tratto, balzò in piedi, quant’era lunga, con un tal grido che per poco non ne tremarono i muri dell’antico palazzo baronale.|Tutta un tratto, balzò in piedi, quantera lunga, con un tal grido che per poco non ne tremarono i muri dellantico palazzo baronale.
novelle07_01_pirandello_f000015|Subito dopo però, si diede ad agitar furiosamente quelle mani davanti alla bocca, quasi volesse disperdere o ricacciare indietro il grido;|Subito dopo però, si diede ad agitar furiosamente quelle mani davanti alla bocca, quasi volesse disperdere o ricacciare indietro il grido;
novelle07_01_pirandello_f000016|poi le protese in atto di parare, accennando che si chiudessero tutti gli usci;|poi le protese in atto di parare, accennando che si chiudessero tutti gli usci;
novelle07_01_pirandello_f000017|e con voce soffocata: — Per carità, per carità|e con voce soffocata: - Per carità, per carità
novelle07_01_pirandello_f000018|non lo senta Nicolina! Ha il bambino attaccato al petto! Lo scialle… datemi lo scialle! E sussultò tutta nel ventre|non lo senta Nicolina! Ha il bambino attaccato al petto! Lo scialle datemi lo scialle! E sussultò tutta nel ventre
novelle07_01_pirandello_f000019|nelle enormi poppe, di nuovo cacciandosi le mani nei ruvidi capelli color di rame:|nelle enormi poppe, di nuovo cacciandosi le mani nei ruvidi capelli color di rame:
novelle07_01_pirandello_f000020|— È morto, Ballarò? Oh Madre santa! Oh San Francescuccio di Paola, santo mio protettore|- È morto, Ballarò? Oh Madre santa! Oh San Francescuccio di Paola, santo mio protettore
novelle07_01_pirandello_f000021|non me lo fate morire! Cosí dicendo, fece per cavarsi dal petto la medaglina del santo;|non me lo fate morire! Cosí dicendo, fece per cavarsi dal petto la medaglina del santo;
novelle07_01_pirandello_f000022|strappò il busto, non riuscendo a sganciarlo con le dita che le ballavano;|strappò il busto, non riuscendo a sganciarlo con le dita che le ballavano;
novelle07_01_pirandello_f000023|trasse la medaglina e si mise a baciarla, a baciarla|trasse la medaglina e si mise a baciarla, a baciarla
novelle07_01_pirandello_f000024|tra i singhiozzi irrompenti e le lagrime che le grondavano dagli occhi bovini sul faccione giallastro, macchiato di grosse lentiggini;|tra i singhiozzi irrompenti e le lagrime che le grondavano dagli occhi bovini sul faccione giallastro, macchiato di grosse lentiggini;
novelle07_01_pirandello_f000025|finché non sopravvennero le serve, una delle quali le buttò addosso lo scialle.|finché non sopravvennero le serve, una delle quali le buttò addosso lo scialle.
novelle07_01_pirandello_f000026|Seguita da quelle e preceduta da Ballarò, col fagotto delle molte sottane tirato sú a mezza gamba|Seguita da quelle e preceduta da Ballarò, col fagotto delle molte sottane tirato sú a mezza gamba
novelle07_01_pirandello_f000027|si lasciò andare traballando patonfia per la scala del palazzo;|si lasciò andare traballando patonfia per la scala del palazzo;
novelle07_01_pirandello_f000028|e per un tratto, scordandosi di riabbassar quelle sottane, attraversò le vie della città con gli sconci polpacci delle gambe scoperti|e per un tratto, scordandosi di riabbassar quelle sottane, attraversò le vie della città con gli sconci polpacci delle gambe scoperti
novelle07_01_pirandello_f000029|le calze turchine di cotone grosso e le scarpe con gli elastici sfiancati, il busto strappato e le poppe sobbalzanti alla vista di tutti;|le calze turchine di cotone grosso e le scarpe con gli elastici sfiancati, il busto strappato e le poppe sobbalzanti alla vista di tutti;
novelle07_01_pirandello_f000030|mentre, stringendo nel pugno la medaglina, seguitava a gemere col vocione da maschio:|mentre, stringendo nel pugno la medaglina, seguitava a gemere col vocione da maschio:
novelle07_01_pirandello_f000031|— San Francescuccio di Paola, santo padruccio mio protettore, cento torce alla vostra chiesa!|- San Francescuccio di Paola, santo padruccio mio protettore, cento torce alla vostra chiesa!
novelle07_01_pirandello_f000032|fatemi la grazia, non me lo fate morire! Ballarò|fatemi la grazia, non me lo fate morire! Ballarò
novelle07_01_pirandello_f000033|battistrada, alleggerito ora dal peso della notizia, quasi rideva, da quello scemo che era|battistrada, alleggerito ora dal peso della notizia, quasi rideva, da quello scemo che era
novelle07_01_pirandello_f000034|per la soddisfazione d’essere uno di casa, in una congiuntura come quella, che attirava la curiosità della gente.|per la soddisfazione dessere uno di casa, in una congiuntura come quella, che attirava la curiosità della gente.
novelle07_01_pirandello_f000035|Rispondeva a tutti: — Sturbo, sturbo. Niente.|Rispondeva a tutti: - Sturbo, sturbo. Niente.
novelle07_01_pirandello_f000036|Un piccolo sturbo al signor Barone.|Un piccolo sturbo al signor Barone.
novelle07_01_pirandello_f000037|— Dove? Nel giardino di Filomena.|- Dove? Nel giardino di Filomena.
novelle07_01_pirandello_f000038|— Nel giardino di Filomena?|- Nel giardino di Filomena?
novelle07_01_pirandello_f000039|E tutti si davano a correre dietro alla Baronessa, senz’alcuna maraviglia che ella si recasse a vedere il marito là|E tutti si davano a correre dietro alla Baronessa, senzalcuna maraviglia che ella si recasse a vedere il marito là
novelle07_01_pirandello_f000040|nel giardino di quella Filomena, che per tanti anni era stata notoriamente «la femmina» del Barone|nel giardino di quella Filomena, che per tanti anni era stata notoriamente la femmina del Barone
novelle07_01_pirandello_f000041|e dalla quale egli – ormai da vecchio amico – soleva passare ogni giorno due o tre ore del pomeriggio, amoroso dei fiori|e dalla quale egli - ormai da vecchio amico - soleva passare ogni giorno due o tre ore del pomeriggio, amoroso dei fiori
novelle07_01_pirandello_f000042|dell’orto, degli alberetti di pesco e di melagrano di quel pezzo di terra regalato all’antica sua amante.|dellorto, degli alberetti di pesco e di melagrano di quel pezzo di terra regalato allantica sua amante.
novelle07_01_pirandello_f000043|Circa dieci anni addietro, questo barone, Don Francesco di Paola Vivona, era salito a un borgo montano|Circa dieci anni addietro, questo barone, Don Francesco di Paola Vivona, era salito a un borgo montano
novelle07_01_pirandello_f000044|a pochi chilometri dalla città, con la scorta di tutti i suoi nobili parenti a cavallo.|a pochi chilometri dalla città, con la scorta di tutti i suoi nobili parenti a cavallo.
novelle07_01_pirandello_f000045|Re di quel borgo era un antico massaro, il quale aveva avuto la fortuna di trovare nelle alture d’una sua terra sterile|Re di quel borgo era un antico massaro, il quale aveva avuto la fortuna di trovare nelle alture duna sua terra sterile
novelle07_01_pirandello_f000046|scabra d’affioramenti schistosi, una delle più ricche zolfare di Sicilia|scabra daffioramenti schistosi, una delle più ricche zolfare di Sicilia
novelle07_01_pirandello_f000047|accortamente fin da principio ceduta a ottime condizioni a un appaltatore belga|accortamente fin da principio ceduta a ottime condizioni a un appaltatore belga
novelle07_01_pirandello_f000048|venuto nell’isola in cerca d’un buon investimento di capitali per conto d’una società industriale del suo paese.|venuto nellisola in cerca dun buon investimento di capitali per conto duna società industriale del suo paese.
