sulamif_s000001|Все суета сует и томление духа, — так говорит Екклезиаст.|Все суета сует и томление духа, - так говорит Екклезиаст.
sulamif_s000002|И с бедной девушкой из виноградника, по имени Суламифь, которую одну из всех женщин любил царь всем своим сердцем.|И с бедной девушкой из виноградника, по имени Суламифь, которую одну из всех женщин любил царь всем своим сердцем.
sulamif_s000003|Семь дней наслаждался царь ее любовью и не мог насытиться ею. И великая радость освещала его лицо, точно золотое солнечное сияние.|Семь дней наслаждался царь ее любовью и не мог насытиться ею. И великая радость освещала его лицо, точно золотое солнечное сияние.
sulamif_s000004|Как называется эта звезда, мой возлюбленный? — спросила она.|Как называется эта звезда, мой возлюбленный? - спросила она.
sulamif_s000005|которая любит, — царица, потому что любовь прекрасна!|которая любит, - царица, потому что любовь прекрасна!
sulamif_s000006|Только лишь при возведении пирамид Хефрена, Хуфу и Микерина в Гизехе употреблено было такое несметное количество рабочих.|Только лишь при возведении пирамид Хефрена, Хуфу и Микерина в Гизехе употреблено было такое несметное количество рабочих.
sulamif_s000007|Каменные бани, обложенные порфиром, мраморные водоемы и прохладные фонтаны устроил царь, повелев провести воду из горных источников, низвергавшихся в Кедронский поток,|Каменные бани, обложенные порфиром, мраморные водоемы и прохладные фонтаны устроил царь, повелев провести воду из горных источников, низвергавшихся в Кедронский поток,
sulamif_s000008|дающее сладкие грезы, уже никогда не отстанут от него и только ему одному поклоняются и одно его чтут, пока истощение и безумие не прервут их жизни.|дающее сладкие грезы, уже никогда не отстанут от него и только ему одному поклоняются и одно его чтут, пока истощение и безумие не прервут их жизни.
sulamif_s000009|Но Суламифь вдруг встала на своем ложе и прислушалась.|Но Суламифь вдруг встала на своем ложе и прислушалась.
sulamif_s000010|Человек же этот, передав свой дорожный посох одному из товарищей, сказал, подняв руки кверху, как бы для клятвы:|Человек же этот, передав свой дорожный посох одному из товарищей, сказал, подняв руки кверху, как бы для клятвы:
sulamif_s000011|И дивились люди глубине и тонкости ответов Соломоновых.|И дивились люди глубине и тонкости ответов Соломоновых.
sulamif_s000012|Торопливо переговариваются серебряно-зеленые листы олив.|Торопливо переговариваются серебряно-зеленые листы олив.
sulamif_s000013|Весь трепеща и щелкая зубами, с глазами, побелевшими от страха, молодой воин уронил глухо:|Весь трепеща и щелкая зубами, с глазами, побелевшими от страха, молодой воин уронил глухо:
sulamif_s000014|Я исполнил все, что ты приказал, царь, — сказал этот человек. — Я поставил труп старика у дерева и дал каждому из братьев их луки и стрелы. Старший стрелял первым.|Я исполнил все, что ты приказал, царь, - сказал этот человек. - Я поставил труп старика у дерева и дал каждому из братьев их луки и стрелы. Старший стрелял первым.
sulamif_s000015|Это был главный жрец капища Молоха. Он произнес только одно слово умоляющим голосом:|Это был главный жрец капища Молоха. Он произнес только одно слово умоляющим голосом:
sulamif_s000016|Первым предстал перед Соломоном со своей жалобой некто Ахиор, ремеслом гранильщик. Работая в Беле Финикийском, он нашел драгоценный камень, обделал его и попросил своего друга Захарию,|Первым предстал перед Соломоном со своей жалобой некто Ахиор, ремеслом гранильщик. Работая в Беле Финикийском, он нашел драгоценный камень, обделал его и попросил своего друга Захарию,
sulamif_s000017|волновало сердце женщин, как аромат пролитого мирра, напоминающий о ночах любви.|волновало сердце женщин, как аромат пролитого мирра, напоминающий о ночах любви.
sulamif_s000018|я вспомнила тебя, и радость и страх овладели моим сердцем.|я вспомнила тебя, и радость и страх овладели моим сердцем.
sulamif_s000019|Это для тебя, мой милый, это для тебя, возлюбленный мой. Милый мой лучше десяти тысяч других, голова его — чистое золото, волосы его волнистые, черные, как ворон.|Это для тебя, мой милый, это для тебя, возлюбленный мой. Милый мой лучше десяти тысяч других, голова его - чистое золото, волосы его волнистые, черные, как ворон.
sulamif_s000020|Простой белый плащ надет на царе, скрепленный на правом плече и на левом боку двумя египетскими аграфами из зеленого золота, в форме свернувшихся крокодилов — символ бога Себаха.|Простой белый плащ надет на царе, скрепленный на правом плече и на левом боку двумя египетскими аграфами из зеленого золота, в форме свернувшихся крокодилов - символ бога Себаха.
sulamif_s000021|Скажи мне скорее, где ты живешь? Сегодня ночью я приду к тебе, — говорит он быстро.|Скажи мне скорее, где ты живешь? Сегодня ночью я приду к тебе, - говорит он быстро.
sulamif_s000022|Когда я умру, идите за холм, что в средине рощи за домом, и разройте его. Там найдете вы ящик с тремя отделениями: знайте, что верхнее — для старшего,|Когда я умру, идите за холм, что в средине рощи за домом, и разройте его. Там найдете вы ящик с тремя отделениями: знайте, что верхнее - для старшего,
sulamif_s000023|как у девушки, и лицо ее носило печать страшной, нечеловеческой красоты.|как у девушки, и лицо ее носило печать страшной, нечеловеческой красоты.
sulamif_s000024|Слава городу Абидосу, сохранившему прекрасную голову твою, Озирис.|Слава городу Абидосу, сохранившему прекрасную голову твою, Озирис.
