kleinzaches_01_f000001|Erstes Kapitel.|Erstes Kapitel.
kleinzaches_01_f000002|Der kleine Wechselbalg.|Der kleine Wechselbalg.
kleinzaches_01_f000003|Dringende Gefahr einer Pfarrersnase.|Dringende Gefahr einer Pfarrersnase.
kleinzaches_01_f000004|Wie Fürst Paphnutius in seinem Lande die Aufklärung einführte und die Fee Rosabelverde in ein Fräuleinstift kam.|Wie Fürst Paphnutius in seinem Lande die Aufklärung einführte und die Fee Rosabelverde in ein Fräuleinstift kam.
kleinzaches_01_f000005|Unfern eines anmutigen Dorfes, hart am Wege, lag auf dem von der Sonnenglut erhitzten Boden hingestreckt ein armes zerlumptes Bauerweib.|Unfern eines anmutigen Dorfes, hart am Wege, lag auf dem von der Sonnenglut erhitzten Boden hingestreckt ein armes zerlumptes Bauerweib.
kleinzaches_01_f000006|Vom Hunger gequält, vor Durst lechzend, ganz verschmachtet, war die Unglückliche unter der Last des im Korbe hoch aufgetürmten dürren Holzes, das sie im Walde unter den Bäumen und Sträuchern mühsam aufgelesen, niedergesunken,|Vom Hunger gequält, vor Durst lechzend, ganz verschmachtet, war die Unglückliche unter der Last des im Korbe hoch aufgetürmten dürren Holzes, das sie im Walde unter den Bäumen und Sträuchern mühsam aufgelesen, niedergesunken,
kleinzaches_01_f000007|und da sie kaum zu atmen vermochte, glaubte sie nicht anders, als daß sie nun wohl sterben, so sich aber ihr trostloses Elend auf einmal enden werde.|und da sie kaum zu atmen vermochte, glaubte sie nicht anders, als daß sie nun wohl sterben, so sich aber ihr trostloses Elend auf einmal enden werde.
kleinzaches_01_f000008|Doch gewann sie bald so viel Kraft, die Stricke, womit sie den Holzkorb auf ihrem Rücken befestigt, loszunesteln und sich langsam heraufzuschieben auf einen Grasfleck, der gerade in der Nähe stand.|Doch gewann sie bald so viel Kraft, die Stricke, womit sie den Holzkorb auf ihrem Rücken befestigt, loszunesteln und sich langsam heraufzuschieben auf einen Grasfleck, der gerade in der Nähe stand.
kleinzaches_01_f000009|Da brach sie nun aus in laute Klagen: Muß, jammerte sie, muß mich und meinen armen Mann allein denn alle Not und alles Elend treffen?|Da brach sie nun aus in laute Klagen: Muß, jammerte sie, muß mich und meinen armen Mann allein denn alle Not und alles Elend treffen?
kleinzaches_01_f000010|Sind wir denn nicht im ganzen Dorfe die einzigen, die aller Arbeit, alles sauer vergossenen Schweißes ungeachtet in steter Armut bleiben und kaum so viel erwerben, um unsern Hunger zu stillen?|Sind wir denn nicht im ganzen Dorfe die einzigen, die aller Arbeit, alles sauer vergossenen Schweißes ungeachtet in steter Armut bleiben und kaum so viel erwerben, um unsern Hunger zu stillen?
kleinzaches_01_f000011|Vor drei Jahren, als mein Mann beim Umgraben unseres Gartens die Goldstücke in der Erde fand, ja, da glaubten wir, das Glück sei endlich eingekehrt bei uns und nun kämen die guten Tage; aber was geschah!|Vor drei Jahren, als mein Mann beim Umgraben unseres Gartens die Goldstücke in der Erde fand, ja, da glaubten wir, das Glück sei endlich eingekehrt bei uns und nun kämen die guten Tage; aber was geschah!
kleinzaches_01_f000012|Diebe stahlen das Geld, Haus und Scheune brannten uns über dem Kopfe weg, das Getreide auf dem Acker zerschlug der Hagel, und um das Maß unseres Herzeleids vollzumachen bis über den Rand,|Diebe stahlen das Geld, Haus und Scheune brannten uns über dem Kopfe weg, das Getreide auf dem Acker zerschlug der Hagel, und um das Maß unseres Herzeleids vollzumachen bis über den Rand,
kleinzaches_01_f000013|strafte uns der Himmel noch mit diesem kleinen Wechselbalg, den ich zu Schand' und Spott des ganzen Dorfs gebar.|strafte uns der Himmel noch mit diesem kleinen Wechselbalg, den ich zu Schand' und Spott des ganzen Dorfs gebar.
kleinzaches_01_f000014|Zu St. Laurenztag ist nun der Junge drittehalb Jahre gewesen und kann auf seinen Spinnenbeinchen nicht stehen, nicht gehen und knurrt und miaut, statt zu reden, wie eine Katze.|Zu St. Laurenztag ist nun der Junge drittehalb Jahre gewesen und kann auf seinen Spinnenbeinchen nicht stehen, nicht gehen und knurrt und miaut, statt zu reden, wie eine Katze.
kleinzaches_01_f000015|Und dabei frißt die unselige Mißgeburt wie der stärkste Knabe von wenigstens acht Jahren, ohne daß es ihm im mindesten was anschlägt.|Und dabei frißt die unselige Mißgeburt wie der stärkste Knabe von wenigstens acht Jahren, ohne daß es ihm im mindesten was anschlägt.
kleinzaches_01_f000016|Gott erbarme sich über ihn und über uns, daß wir den Jungen groß füttern müssen uns selbst zur Qual und größerer Not; denn essen und trinken immer mehr und mehr wird der kleine Däumling wohl, aber arbeiten sein Lebetage nicht!|Gott erbarme sich über ihn und über uns, daß wir den Jungen groß füttern müssen uns selbst zur Qual und größerer Not; denn essen und trinken immer mehr und mehr wird der kleine Däumling wohl, aber arbeiten sein Lebetage nicht!
kleinzaches_01_f000017|Nein, nein, das ist mehr als ein Mensch aushalten kann auf dieser Erde!|Nein, nein, das ist mehr als ein Mensch aushalten kann auf dieser Erde!
kleinzaches_01_f000018|Ach könnt' ich nur sterben – nur sterben!|Ach könnt' ich nur sterben - nur sterben!
kleinzaches_01_f000019|Und damit fing die Arme an zu weinen und zu schluchzen, bis sie endlich, vom Schmerz übermannt, ganz entkräftet einschlief.|Und damit fing die Arme an zu weinen und zu schluchzen, bis sie endlich, vom Schmerz übermannt, ganz entkräftet einschlief.
kleinzaches_01_f000020|Mit Recht konnte das Weib über den abscheulichen Wechselbalg klagen, den sie vor drittehalb Jahren geboren.|Mit Recht konnte das Weib über den abscheulichen Wechselbalg klagen, den sie vor drittehalb Jahren geboren.
kleinzaches_01_f000021|Das, was man auf den ersten Blick sehr gut für ein seltsam verknorpeltes Stückchen Holz hätte ansehen können, war nämlich ein kaum zwei Spannen hoher, mißgestalteter Junge, der von dem Korbe, wo er querüber gelegen,|Das, was man auf den ersten Blick sehr gut für ein seltsam verknorpeltes Stückchen Holz hätte ansehen können, war nämlich ein kaum zwei Spannen hoher, mißgestalteter Junge, der von dem Korbe, wo er querüber gelegen,
kleinzaches_01_f000022|heruntergekrochen, sich jetzt knurrend im Grase wälzte.|heruntergekrochen, sich jetzt knurrend im Grase wälzte.
kleinzaches_01_f000023|Der Kopf stak dem Dinge tief zwischen den Schultern, die Stelle des Rückens vertrat ein kürbisähnlicher Auswuchs, und gleich unter der Brust hingen die haselgertdünnen Beinchen herab, so daß der Junge aussah wie ein gespalteter Rettich.|Der Kopf stak dem Dinge tief zwischen den Schultern, die Stelle des Rückens vertrat ein kürbisähnlicher Auswuchs, und gleich unter der Brust hingen die haselgertdünnen Beinchen herab, so daß der Junge aussah wie ein gespalteter Rettich.
kleinzaches_01_f000024|Vom Gesicht konnte ein stumpfes Auge nicht viel entdecken, schärfer hinblickend, wurde man aber wohl die lange spitze Nase, die aus schwarzen struppigen Haaren hervorstarrte, und ein paar kleine, schwarz funkelnde Äuglein gewahr,|Vom Gesicht konnte ein stumpfes Auge nicht viel entdecken, schärfer hinblickend, wurde man aber wohl die lange spitze Nase, die aus schwarzen struppigen Haaren hervorstarrte, und ein paar kleine, schwarz funkelnde Äuglein gewahr,
kleinzaches_01_f000025|die, zumal bei den übrigens ganz alten, eingefurchten Zügen des Gesichts, ein klein Alräunchen kundzutun schienen.|die, zumal bei den übrigens ganz alten, eingefurchten Zügen des Gesichts, ein klein Alräunchen kundzutun schienen.
kleinzaches_01_f000026|–[8] Als nun, wie gesagt, das Weib über ihren Gram in tiefen Schlaf gesunken war und ihr Söhnlein sich dicht an sie herangewälzt hatte, begab es sich, daß das Fräulein von Rosenschön, Dame des nahegelegenen Stifts,|-acht Als nun, wie gesagt, das Weib über ihren Gram in tiefen Schlaf gesunken war und ihr Söhnlein sich dicht an sie herangewälzt hatte, begab es sich, daß das Fräulein von Rosenschön, Dame des nahegelegenen Stifts,
kleinzaches_01_f000027|von einem Spaziergange heimkehrend, des Weges daherwandelte.|von einem Spaziergange heimkehrend, des Weges daherwandelte.
kleinzaches_01_f000028|Sie blieb stehen und wurde, da sie von Natur fromm und mitleidig, bei dem Anblick des Elends, der sich ihr darbot, sehr gerührt.|Sie blieb stehen und wurde, da sie von Natur fromm und mitleidig, bei dem Anblick des Elends, der sich ihr darbot, sehr gerührt.
