undine_01_f000001|Erstes Kapitel von Undine von Friedrich de la Motte Fouque.|Erstes Kapitel von Undine von Friedrich de la Motte Fouque.
undine_01_f000002|Diese librivox Aufnahme ist in der publik domain.|Diese librivox Aufnahme ist in der publik domain.
undine_01_f000003|Wie der Ritter zu dem Fischer kam|Wie der Ritter zu dem Fischer kam
undine_01_f000004|Es mögen nun wohl schon viele hundert Jahre her sein, da gab es einmal einen alten guten Fischer, der saß eines schönen Abends vor der Tür und flickte seine Netze.|Es mögen nun wohl schon viele hundert Jahre her sein, da gab es einmal einen alten guten Fischer, der saß eines schönen Abends vor der Tür und flickte seine Netze.
undine_01_f000005|Er wohnte aber in einer überaus anmutigen Gegend. Der grüne Boden, worauf seine Hütte gebaut war, streckte sich weit in einen großen Landsee hinaus,|Er wohnte aber in einer überaus anmutigen Gegend. Der grüne Boden, worauf seine Hütte gebaut war, streckte sich weit in einen großen Landsee hinaus,
undine_01_f000006|und es schien ebensowohl, die Erdzunge habe sich aus Liebe zu der bläulich klaren, wunderhellen Flut in diese hineingedrängt, als auch, das Wasser habe mit verliebten Armen nach der schönen Aue gegriffen,|und es schien ebensowohl, die Erdzunge habe sich aus Liebe zu der bläulich klaren, wunderhellen Flut in diese hineingedrängt, als auch, das Wasser habe mit verliebten Armen nach der schönen Aue gegriffen,
undine_01_f000007|nach ihren hochschwankenden Gräsern und Blumen und nach dem erquicklichen Schatten ihrer Bäume. Eins ging bei dem andern zu Gaste, und eben deshalb war jegliches so schön.|nach ihren hochschwankenden Gräsern und Blumen und nach dem erquicklichen Schatten ihrer Bäume. Eins ging bei dem andern zu Gaste, und eben deshalb war jegliches so schön.
undine_01_f000008|Von Menschen freilich war an dieser hübschen Stelle wenig oder gar nichts anzutreffen, den Fischer und seine Hausleute ausgenommen.|Von Menschen freilich war an dieser hübschen Stelle wenig oder gar nichts anzutreffen, den Fischer und seine Hausleute ausgenommen.
undine_01_f000009|Denn hinter der Erdzunge lag ein sehr wilder Wald, den die mehrsten Leute wegen seiner Finsternis und Unwegsamkeit, wie auch wegen der wundersamen Kreaturen und Gaukeleien,|Denn hinter der Erdzunge lag ein sehr wilder Wald, den die mehrsten Leute wegen seiner Finsternis und Unwegsamkeit, wie auch wegen der wundersamen Kreaturen und Gaukeleien,
undine_01_f000010|die man darin antreffen sollte, allzusehr scheueten, um sich ohne Not hineinzubegeben.|die man darin antreffen sollte, allzusehr scheueten, um sich ohne Not hineinzubegeben.
undine_01_f000011|Der alte fromme Fischer jedoch durchschritt ihn ohne Anfechtung zu vielen Malen, wenn er die köstlichen Fische, die er auf seiner schönen Landzunge fing,|Der alte fromme Fischer jedoch durchschritt ihn ohne Anfechtung zu vielen Malen, wenn er die köstlichen Fische, die er auf seiner schönen Landzunge fing,
undine_01_f000012|nach einer großen Stadt trug, welche nicht sehr weit hinter dem großen Walde lag.|nach einer großen Stadt trug, welche nicht sehr weit hinter dem großen Walde lag.
undine_01_f000013|Es ward ihm wohl mehrenteils deswegen so leicht, durch den Forst zu ziehn, weil er fast keine andre als fromme Gedanken hegte und noch außerdem jedesmal,|Es ward ihm wohl mehrenteils deswegen so leicht, durch den Forst zu ziehn, weil er fast keine andre als fromme Gedanken hegte und noch außerdem jedesmal,
undine_01_f000014|wenn er die verrufenen Schatten betrat, ein geistliches Lied aus heller Kehle und aufrichtigem Herzen anzustimmen gewohnt war.|wenn er die verrufenen Schatten betrat, ein geistliches Lied aus heller Kehle und aufrichtigem Herzen anzustimmen gewohnt war.
undine_01_f000015|Da er nun an diesem Abende ganz arglos bei den Netzen saß, kam ihn doch ein unversehener Schrecken an, als er es im Waldesdunkel rauschen hörte,|Da er nun an diesem Abende ganz arglos bei den Netzen saß, kam ihn doch ein unversehener Schrecken an, als er es im Waldesdunkel rauschen hörte,
undine_01_f000016|wie Roß und Mann, und sich das Geräusch immer näher nach der Landzunge herauszog.|wie Roß und Mann, und sich das Geräusch immer näher nach der Landzunge herauszog.
undine_01_f000017|Was er in manchen stürmigen Nächten von den Geheimnissen des Forstes geträumt hatte, zuckte ihm nun auf einmal durch den Sinn, vor allem das Bild eines riesenmäßig langen,|Was er in manchen stürmigen Nächten von den Geheimnissen des Forstes geträumt hatte, zuckte ihm nun auf einmal durch den Sinn, vor allem das Bild eines riesenmäßig langen,
undine_01_f000018|schneeweißen Mannes, der unaufhörlich auf eine seltsame Art mit dem Kopfe nickte.|schneeweißen Mannes, der unaufhörlich auf eine seltsame Art mit dem Kopfe nickte.
undine_01_f000019|Ja, als er die Augen nach dem Walde aufhob, kam es ihm ganz eigentlich vor, als sehe er durch das Laubgegitter den nickenden Mann hervorkommen.|Ja, als er die Augen nach dem Walde aufhob, kam es ihm ganz eigentlich vor, als sehe er durch das Laubgegitter den nickenden Mann hervorkommen.
