sous_les_mers_1_01_f000001|UN ÉCUEIL FUYANT|UN ÉCUEIL FUYANT
sous_les_mers_1_01_f000002|L'année 1866 fut marquée par un événement bizarre, un phénomène inexpliqué et inexplicable que personne n'a sans doute oublié.|L'année 1866 fut marquée par un événement bizarre, un phénomène inexpliqué et inexplicable que personne n'a sans doute oublié.
sous_les_mers_1_01_f000003|Sans parler des rumeurs qui agitaient les populations des ports et surexcitaient l'esprit public à l'intérieur des continents les gens de mer furent particulièrement émus.|Sans parler des rumeurs qui agitaient les populations des ports et surexcitaient l'esprit public à l'intérieur des continents les gens de mer furent particulièrement émus.
sous_les_mers_1_01_f000004|Les négociants, armateurs, capitaines de navires, skippers et masters de l'Europe et de l'Amérique, officiers des marines militaires de tous pays,|Les négociants, armateurs, capitaines de navires, skippers et masters de l'Europe et de l'Amérique, officiers des marines militaires de tous pays,
sous_les_mers_1_01_f000005|et, après eux, les gouvernements des divers États des deux continents, se préoccupèrent de ce fait au plus haut point.|et, après eux, les gouvernements des divers États des deux continents, se préoccupèrent de ce fait au plus haut point.
sous_les_mers_1_01_f000006|En effet, depuis quelque temps, plusieurs navires s'étaient rencontrés sur mer avec une chose énorme un objet long, fusiforme, parfois phosphorescent,|En effet, depuis quelque temps, plusieurs navires s'étaient rencontrés sur mer avec une chose énorme un objet long, fusiforme, parfois phosphorescent,
sous_les_mers_1_01_f000007|infiniment plus vaste et plus rapide qu'une baleine.|infiniment plus vaste et plus rapide qu'une baleine.
sous_les_mers_1_01_f000008|Les faits relatifs à cette apparition, consignés aux divers livres de bord, s'accordaient assez exactement sur la structure de l'objet ou de l'être en question,|Les faits relatifs à cette apparition, consignés aux divers livres de bord, s'accordaient assez exactement sur la structure de l'objet ou de l'être en question,
sous_les_mers_1_01_f000009|la vitesse inouïe de ses mouvements, la puissance surprenante de sa locomotion, la vie particulière dont il semblait doué.|la vitesse inouïe de ses mouvements, la puissance surprenante de sa locomotion, la vie particulière dont il semblait doué.
sous_les_mers_1_01_f000010|Si c'était un cétacé, il surpassait en volume tous ceux que la science avait classés jusqu'alors.|Si c'était un cétacé, il surpassait en volume tous ceux que la science avait classés jusqu'alors.
sous_les_mers_1_01_f000011|Ni Cuvier, ni Lacépède, ni M.Dumeril, ni M. de Quatrefages n'eussent admis l'existence d'un tel monstre -- à moins de l'avoir vu, ce qui s'appelle vu de leurs propres yeux de savants.|Ni Cuvier, ni Lacépède, ni M.Dumeril, ni M. de Quatrefages n'eussent admis l'existence d'un tel monstre -- à moins de l'avoir vu, ce qui s'appelle vu de leurs propres yeux de savants.
sous_les_mers_1_01_f000012|A prendre la moyenne des observations faites à diverses reprises -- en rejetant les évaluations timides qui assignaient à cet objet une longueur de deux cents pieds et en repoussant les opinions exagérées qui le disaient large d'un mille et long de trois -- on pouvait affirmer,|A prendre la moyenne des observations faites à diverses reprises -- en rejetant les évaluations timides qui assignaient à cet objet une longueur de deux cents pieds et en repoussant les opinions exagérées qui le disaient large d'un mille et long de trois -- on pouvait affirmer,
sous_les_mers_1_01_f000013|cependant, que cet être phénoménal dépassait de beaucoup toutes les dimensions admises jusqu'à ce jour par les ichtyologistes -- s'il existait toutefois.|cependant, que cet être phénoménal dépassait de beaucoup toutes les dimensions admises jusqu'à ce jour par les ichtyologistes -- s'il existait toutefois.
sous_les_mers_1_01_f000014|Or, il existait, le fait en lui-même n'était plus niable, et, avec ce penchant qui pousse au merveilleux la cervelle humaine, on comprendra l'émotion produite dans le monde entier par cette surnaturelle apparition.|Or, il existait, le fait en lui-même n'était plus niable, et, avec ce penchant qui pousse au merveilleux la cervelle humaine, on comprendra l'émotion produite dans le monde entier par cette surnaturelle apparition.
sous_les_mers_1_01_f000015|Quant à la rejeter au rang des fables, il fallait y renoncer.|Quant à la rejeter au rang des fables, il fallait y renoncer.
sous_les_mers_1_01_f000016|En effet, le 20 juillet 1866, le steamer Governor-Higginson, de Calcutta and Burnach steam navigation Company, avait rencontré cette masse mouvante à cinq milles dans l'est des côtes de l'Australie.|En effet, le 20 juillet 1866, le steamer Governor-Higginson, de Calcutta and Burnach steam navigation Company, avait rencontré cette masse mouvante à cinq milles dans l'est des côtes de l'Australie.
sous_les_mers_1_01_f000017|Le capitaine Baker se crut, tout d'abord, en présence d'un écueil inconnu; il se disposait même à en déterminer la situation exacte, quand deux colonnes d'eau, projetées par l'inexplicable objet, s'élancèrent en sifflant à cent cinquante pieds dans l'air.|Le capitaine Baker se crut, tout d'abord, en présence d'un écueil inconnu; il se disposait même à en déterminer la situation exacte, quand deux colonnes d'eau, projetées par l'inexplicable objet, s'élancèrent en sifflant à cent cinquante pieds dans l'air.
sous_les_mers_1_01_f000018|Donc, à moins que cet écueil ne fût soumis aux expansions intermittentes d'un geyser, le Governor-Higginson avait affaire bel et bien à quelque mammifère aquatique,|Donc, à moins que cet écueil ne fût soumis aux expansions intermittentes d'un geyser, le Governor-Higginson avait affaire bel et bien à quelque mammifère aquatique,
sous_les_mers_1_01_f000019|inconnu jusque-là, qui rejetait par ses évents des colonnes d'eau, mélangées d'air et de vapeur.|inconnu jusque-là, qui rejetait par ses évents des colonnes d'eau, mélangées d'air et de vapeur.
sous_les_mers_1_01_f000020|Pareil fait fut également observé le 23 juillet de la même année, dans les mers du Pacifique, par le Cristobal-Colon, de West India and Pacific steam navigation Company.|Pareil fait fut également observé le 23 juillet de la même année, dans les mers du Pacifique, par le Cristobal-Colon, de West India and Pacific steam navigation Company.
sous_les_mers_1_01_f000021|Donc, ce cétacé extraordinaire pouvait se transporter d'un endroit à un autre avec une vélocité surprenante, puisque à trois jours d'intervalle,|Donc, ce cétacé extraordinaire pouvait se transporter d'un endroit à un autre avec une vélocité surprenante, puisque à trois jours d'intervalle,
sous_les_mers_1_01_f000022|le Governor-Higginson et le Cristobal-Colon l'avaient observé en deux points de la carte séparés par une distance de plus de sept cents lieues marines.|le Governor-Higginson et le Cristobal-Colon l'avaient observé en deux points de la carte séparés par une distance de plus de sept cents lieues marines.
sous_les_mers_1_01_f000023|Quinze jours plus tard, à deux mille lieues de là l' Helvetia, de la Compagnie Nationale, et le Shannon, du Royal-Mail, marchant à contrebord dans cette portion de l'Atlantique comprise entre les États-Unis et l'Europe,|Quinze jours plus tard, à deux mille lieues de là l' Helvetia, de la Compagnie Nationale, et le Shannon, du Royal-Mail, marchant à contrebord dans cette portion de l'Atlantique comprise entre les États-Unis et l'Europe,
sous_les_mers_1_01_f000024|se signalèrent respectivement le monstre par 42°15' de latitude nord, et 60°35' de longitude à l'ouest du méridien de Greenwich.|se signalèrent respectivement le monstre par 4215' de latitude nord, et 6035' de longitude à l'ouest du méridien de Greenwich.
sous_les_mers_1_01_f000025|Dans cette observation simultanée, on crut pouvoir évaluer la longueur minimum du mammifère à plus de trois cent cinquante pieds anglais, puisque le Shannon et l' Helvetia étaient de dimension inférieure à lui, bien qu'ils mesurassent cent mètres de l'étrave à l'étambot.|Dans cette observation simultanée, on crut pouvoir évaluer la longueur minimum du mammifère à plus de trois cent cinquante pieds anglais, puisque le Shannon et l' Helvetia étaient de dimension inférieure à lui, bien qu'ils mesurassent cent mètres de l'étrave à l'étambot.
sous_les_mers_1_01_f000026|Or, les plus vastes baleines, celles qui fréquentent les parages des îles Aléoutiennes, le Kulammak et l'Umgullick, n'ont jamais dépassé la longueur de cinquante-six mètres,|Or, les plus vastes baleines, celles qui fréquentent les parages des îles Aléoutiennes, le Kulammak et l'Umgullick, n'ont jamais dépassé la longueur de cinquante-six mètres,
sous_les_mers_1_01_f000027|-- si même elles l'atteignent.|-- si même elles l'atteignent.
sous_les_mers_1_01_f000028|Ces rapports arrivés coup sur coup, de nouvelles observations faites à bord du transatlantique le Pereire, un abordage entre l' Etna,|Ces rapports arrivés coup sur coup, de nouvelles observations faites à bord du transatlantique le Pereire, un abordage entre l' Etna,
sous_les_mers_1_01_f000029|de la ligne Inman, et le monstre, un procès-verbal dressé par les officiers de la frégate française la Normandie, un très sérieux relèvement obtenu par l'état-major du commodore Fitz-James à bord du Lord-Clyde, émurent profondément l'opinion publique.|de la ligne Inman, et le monstre, un procès-verbal dressé par les officiers de la frégate française la Normandie, un très sérieux relèvement obtenu par l'état-major du commodore Fitz-James à bord du Lord-Clyde, émurent profondément l'opinion publique.
sous_les_mers_1_01_f000030|Dans les pays d'humeur légère, on plaisanta le phénomène, mais les pays graves et pratiques, l'Angleterre, l'Amérique, l'Allemagne, s'en préoccupèrent vivement.|Dans les pays d'humeur légère, on plaisanta le phénomène, mais les pays graves et pratiques, l'Angleterre, l'Amérique, l'Allemagne, s'en préoccupèrent vivement.
sous_les_mers_1_01_f000031|Partout dans les grands centres, le monstre devint à la mode; on le chanta dans les cafés, on le bafoua dans les journaux, on le joua sur les théâtres.|Partout dans les grands centres, le monstre devint à la mode; on le chanta dans les cafés, on le bafoua dans les journaux, on le joua sur les théâtres.
sous_les_mers_1_01_f000032|Les canards eurent là une belle occasion de pondre des oeufs de toute couleur.|Les canards eurent là une belle occasion de pondre des oeufs de toute couleur.
sous_les_mers_1_01_f000033|On vit réapparaître dans les journaux -- à court de copie -- tous les êtres imaginaires et gigantesques, depuis la baleine blanche,|On vit réapparaître dans les journaux -- à court de copie -- tous les êtres imaginaires et gigantesques, depuis la baleine blanche,
