tom_sawyer_01_f000001|Vorwort des Autors.|Vorwort des Autors.
tom_sawyer_01_f000002|Die meisten der hier erzählten Abenteuer haben sich tatsächlich zugetragen.|Die meisten der hier erzählten Abenteuer haben sich tatsächlich zugetragen.
tom_sawyer_01_f000003|Das eine oder das andere habe ich selbst erlebt, die anderen meine Schulkameraden.|Das eine oder das andere habe ich selbst erlebt, die anderen meine Schulkameraden.
tom_sawyer_01_f000004|Huck Finn ist nach dem Leben gezeichnet, nicht weniger Tom Sawyer, doch entspricht dieser nicht einer bestimmten Persönlichkeit,|Huck Finn ist nach dem Leben gezeichnet, nicht weniger Tom Sawyer, doch entspricht dieser nicht einer bestimmten Persönlichkeit,
tom_sawyer_01_f000005|sondern wurde mit charakteristischen Zügen mehrerer|sondern wurde mit charakteristischen Zügen mehrerer
tom_sawyer_01_f000006|meiner Altersgenossen ausgestattet und darf daher jenem gegenüber als einigermaßen kompliziertes psychologisches Problem gelten.|meiner Altersgenossen ausgestattet und darf daher jenem gegenüber als einigermaßen kompliziertes psychologisches Problem gelten.
tom_sawyer_01_f000007|Ich muß hier bemerken, daß zur Zeit meiner Erzählung - vor dreißig bis vierzig Jahren - unter den Unmündigen und Unwissenden des Westens noch die seltsamsten,|Ich muß hier bemerken, daß zur Zeit meiner Erzählung - vor dreißig bis vierzig Jahren - unter den Unmündigen und Unwissenden des Westens noch die seltsamsten,
tom_sawyer_01_f000008|unwahrscheinlichsten Vorurteile und Aberglauben herrschten.|unwahrscheinlichsten Vorurteile und Aberglauben herrschten.
tom_sawyer_01_f000009|Obwohl dies Buch vor allem zur Unterhaltung der kleinen Welt geschrieben wurde, so darf ich doch wohl hoffen,|Obwohl dies Buch vor allem zur Unterhaltung der kleinen Welt geschrieben wurde, so darf ich doch wohl hoffen,
tom_sawyer_01_f000010|daß es auch von Erwachsenen nicht ganz unbeachtet gelassen werde, habe ich doch darin versucht, ihnen auf angenehme Weise zu zeigen,|daß es auch von Erwachsenen nicht ganz unbeachtet gelassen werde, habe ich doch darin versucht, ihnen auf angenehme Weise zu zeigen,
tom_sawyer_01_f000011|was sie einst selbst waren, wie sie fühlten, dachten, sprachen, und welcher Art ihr Ehrgeiz und ihre Unternehmungen waren.|was sie einst selbst waren, wie sie fühlten, dachten, sprachen, und welcher Art ihr Ehrgeiz und ihre Unternehmungen waren.
tom_sawyer_01_f000012|Erstes Kapitel.|Erstes Kapitel.
tom_sawyer_01_f000013|Tom!|Tom!
tom_sawyer_01_f000014|Keine Antwort.|Keine Antwort.
tom_sawyer_01_f000015|Tom!|Tom!
tom_sawyer_01_f000016|Alles still.|Alles still.
tom_sawyer_01_f000017|Soll mich doch wundern, wo der Bengel wieder steckt! Tom!|Soll mich doch wundern, wo der Bengel wieder steckt! Tom!
tom_sawyer_01_f000018|Die alte Dame schob ihre Brille hinunter und schaute darüber hinweg; dann schob sie sie auf die Stirn und schaute darunter weg.|Die alte Dame schob ihre Brille hinunter und schaute darüber hinweg; dann schob sie sie auf die Stirn und schaute darunter weg.
tom_sawyer_01_f000019|Selten oder nie schaute sie nach einem so kleinen Ding, wie ein Knabe ist, durch die Gläser dieser ihrer Staatsbrille, die der Stolz ihres Herzens war und mehr stilvoll als brauchbar;|Selten oder nie schaute sie nach einem so kleinen Ding, wie ein Knabe ist, durch die Gläser dieser ihrer Staatsbrille, die der Stolz ihres Herzens war und mehr stilvoll als brauchbar;
tom_sawyer_01_f000020|sie würde durch ein paar Herdringe ebensoviel gesehen haben.|sie würde durch ein paar Herdringe ebensoviel gesehen haben.
tom_sawyer_01_f000021|Unruhig hielt sie einen Augenblick Umschau und sagte, nicht gerade erzürnt, aber doch immer laut genug, um im ganzen Zimmer gehört zu werden:|Unruhig hielt sie einen Augenblick Umschau und sagte, nicht gerade erzürnt, aber doch immer laut genug, um im ganzen Zimmer gehört zu werden:
tom_sawyer_01_f000022|Ich werde strenges Gericht halten müssen, wenn ich dich erwische, ich werde - Hier brach sie ab, denn sie hatte sich inzwischen niedergebeugt und stocherte mit dem Besen unter dem Bett herum,|Ich werde strenges Gericht halten müssen, wenn ich dich erwische, ich werde - Hier brach sie ab, denn sie hatte sich inzwischen niedergebeugt und stocherte mit dem Besen unter dem Bett herum,
tom_sawyer_01_f000023|und dann mußte sie wieder Atem holen, um ihrem Ärger Ausdruck zu verleihen.|und dann mußte sie wieder Atem holen, um ihrem Ärger Ausdruck zu verleihen.
tom_sawyer_01_f000024|Sie hatte nichts als die Katze aufgestöbert.|Sie hatte nichts als die Katze aufgestöbert.
tom_sawyer_01_f000025|So ein Junge ist mir noch gar nicht vorgekommen!|So ein Junge ist mir noch gar nicht vorgekommen!
tom_sawyer_01_f000026|Sie ging zur offenen Tür, blieb stehen und spähte zwischen den Weinranken und dem blühenden Unkraut, welche zusammen den Garten ausmachten, hindurch.|Sie ging zur offenen Tür, blieb stehen und spähte zwischen den Weinranken und dem blühenden Unkraut, welche zusammen den Garten ausmachten, hindurch.
tom_sawyer_01_f000027|Kein Tom. So erhob sie denn ihre Stimme und rief in alle Ecken hinein: Tom, Tom!|Kein Tom. So erhob sie denn ihre Stimme und rief in alle Ecken hinein: Tom, Tom!
tom_sawyer_01_f000028|Hinter ihr wurde ein schwaches Geräusch hörbar und sie wandte sich noch eben rechtzeitig um, um einen kleinen Burschen zu erwischen und an der Flucht zu hindern.|Hinter ihr wurde ein schwaches Geräusch hörbar und sie wandte sich noch eben rechtzeitig um, um einen kleinen Burschen zu erwischen und an der Flucht zu hindern.
tom_sawyer_01_f000029|Also, da steckst du? An die Speisekammer habe ich freilich nicht gedacht! Was hast du denn da wieder gemacht, he?|Also, da steckst du? An die Speisekammer habe ich freilich nicht gedacht! Was hast du denn da wieder gemacht, he?
tom_sawyer_01_f000030|Nichts.|Nichts.
tom_sawyer_01_f000031|Nichts! Schau deine Hände an und deinen Mund. Was ist das?|Nichts! Schau deine Hände an und deinen Mund. Was ist das?
tom_sawyer_01_f000032|Bei Gott, ich weiß es nicht, Tante!|Bei Gott, ich weiß es nicht, Tante!
tom_sawyer_01_f000033|Aber ich weiß es, es ist Marmelade. Wie oft habe ich dir gesagt, wenn du über die Marmelade gingest, würde ich dich bläuen. Gib mir den Stock her!|Aber ich weiß es, es ist Marmelade. Wie oft habe ich dir gesagt, wenn du über die Marmelade gingest, würde ich dich bläuen. Gib mir den Stock her!
tom_sawyer_01_f000034|Der Stock zitterte in ihren Händen. Die Gefahr war dringend.|Der Stock zitterte in ihren Händen. Die Gefahr war dringend.
tom_sawyer_01_f000035|Holla, Tante, sieh dich mal schnell um!|Holla, Tante, sieh dich mal schnell um!
tom_sawyer_01_f000036|Die alte Dame fuhr herum und brachte ihre Röcke in Sicherheit, während der Bursche, den Augenblick wahrnehmend, auf den hohen Bretterzaun kletterte und jenseits verschwand.|Die alte Dame fuhr herum und brachte ihre Röcke in Sicherheit, während der Bursche, den Augenblick wahrnehmend, auf den hohen Bretterzaun kletterte und jenseits verschwand.
tom_sawyer_01_f000037|Tante Polly stand sprachlos, dann begann sie gutmütig zu lächeln.|Tante Polly stand sprachlos, dann begann sie gutmütig zu lächeln.
tom_sawyer_01_f000038|Der Kuckuck hole den Jungen! Werde ich denn das niemals lernen?|Der Kuckuck hole den Jungen! Werde ich denn das niemals lernen?
tom_sawyer_01_f000039|Hat er mir denn nicht schon Streiche genug gespielt, daß ich immer wieder auf den Leim krieche?|Hat er mir denn nicht schon Streiche genug gespielt, daß ich immer wieder auf den Leim krieche?
tom_sawyer_01_f000040|Aber alte Torheit ist die größte Torheit, und ein alter Hund lernt keine neuen Kunststücke mehr.|Aber alte Torheit ist die größte Torheit, und ein alter Hund lernt keine neuen Kunststücke mehr.
tom_sawyer_01_f000041|Aber, du lieber Gott, er macht jeden Tag neue, und wie kann jemand bei ihm wissen, was kommt!|Aber, du lieber Gott, er macht jeden Tag neue, und wie kann jemand bei ihm wissen, was kommt!
tom_sawyer_01_f000042|Es scheint, er weiß ganz genau, wie lange er mich quälen kann, bis ich dahinter komme, und ist gar zu gerissen,|Es scheint, er weiß ganz genau, wie lange er mich quälen kann, bis ich dahinter komme, und ist gar zu gerissen,
tom_sawyer_01_f000043|wenn es gilt, etwas ausfindig zu machen, um mich für einen Augenblick zu verblüffen oder mich wider Willen lachen zu machen,|wenn es gilt, etwas ausfindig zu machen, um mich für einen Augenblick zu verblüffen oder mich wider Willen lachen zu machen,
tom_sawyer_01_f000044|es ist immer dieselbe Geschichte, und ich bringe es nicht fertig, ihn zu prügeln.|es ist immer dieselbe Geschichte, und ich bringe es nicht fertig, ihn zu prügeln.
tom_sawyer_01_f000045|Ich tue meine Pflicht nicht an dem Knaben, wie ich sollte, Gott weiß es.|Ich tue meine Pflicht nicht an dem Knaben, wie ich sollte, Gott weiß es.
tom_sawyer_01_f000046|,Spare die Rute, und du verdirbst dein Kinde, heißt es.|,Spare die Rute, und du verdirbst dein Kinde, heißt es.
tom_sawyer_01_f000047|Ich begehe vielleicht unrecht und kann es vor mir und ihm nicht verantworten, fürchte ich.|Ich begehe vielleicht unrecht und kann es vor mir und ihm nicht verantworten, fürchte ich.
tom_sawyer_01_f000048|Er steckt voller Narrenspossen und allerhand Unsinn - aber einerlei!|Er steckt voller Narrenspossen und allerhand Unsinn - aber einerlei!
tom_sawyer_01_f000049|Er ist meiner toten Schwester Kind, ein armes Kind, und ich habe nicht das Herz, ihn irgendwie am Gängelband zu führen.|Er ist meiner toten Schwester Kind, ein armes Kind, und ich habe nicht das Herz, ihn irgendwie am Gängelband zu führen.
tom_sawyer_01_f000050|Wenn ich ihn sich selbst überlasse, drückt mich mein Gewissen, und so oft ich ihn schlagen muß, möchte mit das alte Herz brechen.|Wenn ich ihn sich selbst überlasse, drückt mich mein Gewissen, und so oft ich ihn schlagen muß, möchte mit das alte Herz brechen.
