reisenachtilsit_1_f000001|Die Reise nach Tilsit Eine litauische Geschichte Wilwischken liegt am Haff.|Die Reise nach Tilsit Eine litauische Geschichte Wilwischken liegt am Haff.
reisenachtilsit_1_f000002|Ganz dicht am Haff liegt Wilwischken.|Ganz dicht am Haff liegt Wilwischken.
reisenachtilsit_1_f000003|Und wenn man von dem großen Wasser her in den Parwefluß einbiegen will, muß man so nah an den Häusern vorbei, daß man Lust bekommt, ihnen vom Kahn aus mit ein paar Zwiebeln es können auch Gelbrüben sein die Fenster einzuschmeißen.|Und wenn man von dem großen Wasser her in den Parwefluß einbiegen will, muß man so nah an den Häusern vorbei, daß man Lust bekommt, ihnen vom Kahn aus mit ein paar Zwiebeln es können auch Gelbrüben sein die Fenster einzuschmeißen.
reisenachtilsit_1_f000004|Um die schönen, blanken Fenster wäre es freilich schade.|Um die schönen, blanken Fenster wäre es freilich schade.
reisenachtilsit_1_f000005|Denn Wilwischken ist ein sauberes Dorf und ein reiches Dorf.|Denn Wilwischken ist ein sauberes Dorf und ein reiches Dorf.
reisenachtilsit_1_f000006|Seine Einwohner betreiben neben der Haff- und der Flußfischerei einträgliche Acker- und Gartenwirtschaft, und die Zwiebeln von Wilwischken sind berühmt.|Seine Einwohner betreiben neben der Haff- und der Flußfischerei einträgliche Acker- und Gartenwirtschaft, und die Zwiebeln von Wilwischken sind berühmt.
reisenachtilsit_1_f000007|Die stattlichste Wirtschaft von allen ist die, die an der Mündung der Parwe gleichsam die scharfe Ecke bildet, und sie gehört dem Ansas Balczus.|Die stattlichste Wirtschaft von allen ist die, die an der Mündung der Parwe gleichsam die scharfe Ecke bildet, und sie gehört dem Ansas Balczus.
reisenachtilsit_1_f000008|Der Ansas Balczus ist nicht etwa ein gewöhnlicher Fischer, der bei jedem Raubfang sein Teil einscharren muß und nie genug kriegt, der am Montagabend seine Barsche in Heydekrug unterm Preis ausbietet und am Dienstagnachmittag betrunken heimfährt;|Der Ansas Balczus ist nicht etwa ein gewöhnlicher Fischer, der bei jedem Raubfang sein Teil einscharren muß und nie genug kriegt, der am Montagabend seine Barsche in Heydekrug unterm Preis ausbietet und am Dienstagnachmittag betrunken heimfährt;
reisenachtilsit_1_f000009|der Ansas Balczus ist beinahe schon ein Herr, der mit den Deutschen deutsch spricht wie ein Deutscher, der sich sein Glas Grog süßt wie ein Deutscher und der sich bei seinen Prozessen so gut zu verteidigen weiß, daß er die Anwaltskosten sparen kann.|der Ansas Balczus ist beinahe schon ein Herr, der mit den Deutschen deutsch spricht wie ein Deutscher, der sich sein Glas Grog süßt wie ein Deutscher und der sich bei seinen Prozessen so gut zu verteidigen weiß, daß er die Anwaltskosten sparen kann.
reisenachtilsit_1_f000010|Er hat sich auch eine feine Frau genommen, der Ansas Balczus.|Er hat sich auch eine feine Frau genommen, der Ansas Balczus.
reisenachtilsit_1_f000011|Sie stammt aus Minge und ist die Tochter von dem reichen Jaksztat, dem die großen Haffwiesen gehören.|Sie stammt aus Minge und ist die Tochter von dem reichen Jaksztat, dem die großen Haffwiesen gehören.
reisenachtilsit_1_f000012|Daß er die Indre Jaksztat bekommen würde, hätte keiner geglaubt, denn um die rissen sich alle, und sie ging so blaß und sanft an ihnen vorbei, als ob sie eine Sonnentochter gewesen wäre.|Daß er die Indre Jaksztat bekommen würde, hätte keiner geglaubt, denn um die rissen sich alle, und sie ging so blaß und sanft an ihnen vorbei, als ob sie eine Sonnentochter gewesen wäre.
reisenachtilsit_1_f000013|Nun hat er sie aber und kann stolz auf sie sein.|Nun hat er sie aber und kann stolz auf sie sein.
reisenachtilsit_1_f000014|Sie hat ihm drei hübsche Kinder geboren, und sie sorgt für die Wirtschaft, als wäre sie mit der Laime, der freundlichen Göttin, im Bunde.|Sie hat ihm drei hübsche Kinder geboren, und sie sorgt für die Wirtschaft, als wäre sie mit der Laime, der freundlichen Göttin, im Bunde.
reisenachtilsit_1_f000015|Ihre Butter wird ihr von den Händlern schon weggerissen, wenn sie noch in der Milch steckt, ihr Johannisbeerwein ist der kräftigste weit und breit, und im Brautwinkel stehen seit vorigen Weihnachten zwei rote Plüschsessel.|Ihre Butter wird ihr von den Händlern schon weggerissen, wenn sie noch in der Milch steckt, ihr Johannisbeerwein ist der kräftigste weit und breit, und im Brautwinkel stehen seit vorigen Weihnachten zwei rote Plüschsessel.
reisenachtilsit_1_f000016|Man erzählt sich sogar, daß sie der kleinen Elske, wenn sie sieben Jahre alt sein wird, ein Klavier kaufen will.|Man erzählt sich sogar, daß sie der kleinen Elske, wenn sie sieben Jahre alt sein wird, ein Klavier kaufen will.
reisenachtilsit_1_f000017|Und dabei geht sie noch ebenso sanft und blaß ihres Wegs, wie sie es als Mädchen getan hat, und wird so rot wie ein Nelkenbeet, wenn man sie anspricht.|Und dabei geht sie noch ebenso sanft und blaß ihres Wegs, wie sie es als Mädchen getan hat, und wird so rot wie ein Nelkenbeet, wenn man sie anspricht.
reisenachtilsit_1_f000018|So ist die Indre Balczus. Und wenn ich der Ansas wäre, ich würde meine Hände zum Himmel heben, morgens und abends, daß sie meine Frau ist und keine andere.|So ist die Indre Balczus. Und wenn ich der Ansas wäre, ich würde meine Hände zum Himmel heben, morgens und abends, daß sie meine Frau ist und keine andere.
reisenachtilsit_1_f000019|Und so war es auch früher, aber seit die Busze als Magd ins Haus gekommen ist, hat es sich sehr verändert.|Und so war es auch früher, aber seit die Busze als Magd ins Haus gekommen ist, hat es sich sehr verändert.
reisenachtilsit_1_f000020|So sehr verändert, daß die Nachbarfrauen schon lange die Köpfe zusammenstecken, wenn von dem Hof des Balczus Schimpfen und Weinen herüberschallt.|So sehr verändert, daß die Nachbarfrauen schon lange die Köpfe zusammenstecken, wenn von dem Hof des Balczus Schimpfen und Weinen herüberschallt.
reisenachtilsit_1_f000021|Das Schimpfen kommt von dem Ansas. Die Stimme kennt ein jeder.|Das Schimpfen kommt von dem Ansas. Die Stimme kennt ein jeder.
reisenachtilsit_1_f000022|Aber weinen tut nicht die Indre wenn siees tut, so nur ganz leis und in der Nacht –, es sind die drei Kinder, die da weinen über all das Üble, das ihre Mutter erleiden muß.|Aber weinen tut nicht die Indre wenn siees tut, so nur ganz leis und in der Nacht -, es sind die drei Kinder, die da weinen über all das Üble, das ihre Mutter erleiden muß.
reisenachtilsit_1_f000023|Und manchmal mischt sich auch ein Lachen darein, ein gar nicht gutes Lachen, hart wie Glas und schadenfroh wie Hähergeschrei.|Und manchmal mischt sich auch ein Lachen darein, ein gar nicht gutes Lachen, hart wie Glas und schadenfroh wie Hähergeschrei.
reisenachtilsit_1_f000024|Der Teufel hat diese Busze ins Haus gebracht.|Der Teufel hat diese Busze ins Haus gebracht.
reisenachtilsit_1_f000025|Wenn sie nicht selbst eine Besitzerstochter wäre und als solche stolzen und hoffärtigen Sinnes, hätte sie so viel Schaden gar nicht anrichten können.|Wenn sie nicht selbst eine Besitzerstochter wäre und als solche stolzen und hoffärtigen Sinnes, hätte sie so viel Schaden gar nicht anrichten können.
reisenachtilsit_1_f000026|Warum muß die überhaupt dienen gehen mit ihren blinkernden Achataugen und dem Fleisch wie von Apfelblüten?|Warum muß die überhaupt dienen gehen mit ihren blinkernden Achataugen und dem Fleisch wie von Apfelblüten?
reisenachtilsit_1_f000027|Wer weiß, wie vielen die schon die Köpfe verdreht hat!|Wer weiß, wie vielen die schon die Köpfe verdreht hat!
reisenachtilsit_1_f000028|Aber sie nimmt sie und läßt sie laufen, und wenn sie irgendwo einen ganz verrückt gemacht hat, dann lacht sie und geht in einen anderen Dienst.|Aber sie nimmt sie und läßt sie laufen, und wenn sie irgendwo einen ganz verrückt gemacht hat, dann lacht sie und geht in einen anderen Dienst.
reisenachtilsit_1_f000029|Hier in dem Hause des Balczus sitzt sie nun als das leibhaftige Gegenteil der stillen und sanftmütigen Frau.|Hier in dem Hause des Balczus sitzt sie nun als das leibhaftige Gegenteil der stillen und sanftmütigen Frau.
reisenachtilsit_1_f000030|Singt und schmeißt und rumort vom Morgenstern an bis in die späte Nacht, schafft für dreie und wird schon aufgebracht, wenn man ihr nur sagt, sie möchte sich schonen.|Singt und schmeißt und rumort vom Morgenstern an bis in die späte Nacht, schafft für dreie und wird schon aufgebracht, wenn man ihr nur sagt, sie möchte sich schonen.
reisenachtilsit_1_f000031|Seit nun gar der Wirt bei ihr in der Kammer gewesen ist, kennt sie überhaupt keinen Spaß mehr.|Seit nun gar der Wirt bei ihr in der Kammer gewesen ist, kennt sie überhaupt keinen Spaß mehr.
reisenachtilsit_1_f000032|Es ist ein Elend, mitanzusehen, wie sie die Herrschaft mehr und mehr an sich reißt, und er ist schwach und tut, was sie will.|Es ist ein Elend, mitanzusehen, wie sie die Herrschaft mehr und mehr an sich reißt, und er ist schwach und tut, was sie will.
reisenachtilsit_1_f000033|Sonst kommt das wohl in Wirtschaften vor, wo die Frau arm eingezogen ist oder aber kränklichen Leibes und darum die Dinge gehen läßt, wie sie gehen.|Sonst kommt das wohl in Wirtschaften vor, wo die Frau arm eingezogen ist oder aber kränklichen Leibes und darum die Dinge gehen läßt, wie sie gehen.
reisenachtilsit_1_f000034|Aber der Indre gegenüber, dem reichen Jaksztat seiner schönen Tochter, die bloß zu fein und zu hochgeboren ist, um sich mit so einem Biest auflegen zu können, da versteht man die Welt nicht mehr.|Aber der Indre gegenüber, dem reichen Jaksztat seiner schönen Tochter, die bloß zu fein und zu hochgeboren ist, um sich mit so einem Biest auflegen zu können, da versteht man die Welt nicht mehr.
reisenachtilsit_1_f000035|Eines Tages, als er wieder betrunken gewesen ist und sie geschlagen hat, kommt die Nachbarin, die Ane Doczys, zu ihr und sagt: Indre, wir können das nicht mehr mit ansehen, wir ringsum.|Eines Tages, als er wieder betrunken gewesen ist und sie geschlagen hat, kommt die Nachbarin, die Ane Doczys, zu ihr und sagt: Indre, wir können das nicht mehr mit ansehen, wir ringsum.
reisenachtilsit_1_f000036|Wir haben beschlossen, ich schreibes deinem Vater.|Wir haben beschlossen, ich schreibes deinem Vater.
reisenachtilsit_1_f000037|Die Indre wird noch blasser, als sie schon ist, und sagt: Tutes nicht, sonst nimmt er mich mit, und was wird dann aus den Kindern?|Die Indre wird noch blasser, als sie schon ist, und sagt: Tutes nicht, sonst nimmt er mich mit, und was wird dann aus den Kindern?
reisenachtilsit_1_f000038|Wir tunes doch, sagt die Doczene, denn solch ein Frevel darf nicht sein auf der Welt.|Wir tunes doch, sagt die Doczene, denn solch ein Frevel darf nicht sein auf der Welt.
reisenachtilsit_1_f000039|Und die Indre bittet auch noch für ihren Mann und sagt: Spricht es sich immer weiter herum, so kommt er ganz sicher ins Unglück.|Und die Indre bittet auch noch für ihren Mann und sagt: Spricht es sich immer weiter herum, so kommt er ganz sicher ins Unglück.
reisenachtilsit_1_f000040|Heiraten darf er sie nicht wegen des Ehebruchs.|Heiraten darf er sie nicht wegen des Ehebruchs.
reisenachtilsit_1_f000041|Auf den müßte ich klagen, denn nur so kann ich die Kinder zugesprochen kriegen. Schon jetzt betrinkt er sich immer häufiger.|Auf den müßte ich klagen, denn nur so kann ich die Kinder zugesprochen kriegen. Schon jetzt betrinkt er sich immer häufiger.
reisenachtilsit_1_f000042|Was dann erst wird, das überlegt sich ein jeder.|Was dann erst wird, das überlegt sich ein jeder.
reisenachtilsit_1_f000043|Aber soll denn das immer so fortgehen? fragt die Doczene.|Aber soll denn das immer so fortgehen? fragt die Doczene.
reisenachtilsit_1_f000044|Sie ist schon aus fünf Brotstellen weggelaufen, wenn sie genug gehabt hat, sagt die Indre, und mit ihm wird siees nicht anders machen.|Sie ist schon aus fünf Brotstellen weggelaufen, wenn sie genug gehabt hat, sagt die Indre, und mit ihm wird siees nicht anders machen.
reisenachtilsit_1_f000045|Aber die Ane Doczys, mitleidigen Herzens, wie Nachbarinnen sind, denen es morgen ebenso gehen kann, warnt sie wieder und wieder.|Aber die Ane Doczys, mitleidigen Herzens, wie Nachbarinnen sind, denen es morgen ebenso gehen kann, warnt sie wieder und wieder.
reisenachtilsit_1_f000046|Wir haben uns auch erkundigt, sagt sie, das sind dann immer Saufbengels gewesen und Duselköpfe.|Wir haben uns auch erkundigt, sagt sie, das sind dann immer Saufbengels gewesen und Duselköpfe.
reisenachtilsit_1_f000047|So einen wie deinen Mann läßt die nicht los.|So einen wie deinen Mann läßt die nicht los.
reisenachtilsit_1_f000048|Dies Wort führt der Indre so recht zu Gemüte, was für einen vortrefflichen Mann sie gehabt hat, ehe die Busze ins Haus kam.|Dies Wort führt der Indre so recht zu Gemüte, was für einen vortrefflichen Mann sie gehabt hat, ehe die Busze ins Haus kam.
reisenachtilsit_1_f000049|Aber sie weint und klagt nicht, denn es ist nicht ihre Art.|Aber sie weint und klagt nicht, denn es ist nicht ihre Art.
reisenachtilsit_1_f000050|Sie wendet nur ein wenig das eingefallene Gesicht und sagt: Wie Gott will.|Sie wendet nur ein wenig das eingefallene Gesicht und sagt: Wie Gott will.
reisenachtilsit_1_f000051|Nun, vorerst geht es so, wie die Doczene will.|Nun, vorerst geht es so, wie die Doczene will.
