das_letzte_marchen_004_f000001|Abschnitt 4 von das letzte Märchen vom Paul Keller.|Abschnitt vier von das letzte Marchen vom Paul Keller.
das_letzte_marchen_004_f000002|Diese Librivox Aufnahme ist in der public Domain.|Diese Librivox Aufnahme ist in der public Domain.
das_letzte_marchen_004_f000003|Im Märchenwalde.|Im Märchenwalde.
das_letzte_marchen_004_f000004|Ich verzichtete darauf, eine neue Redaktionssitzung anzuberaumen.|Ich verzichtete darauf, eine neue Redaktionssitzung anzuberaumen.
das_letzte_marchen_004_f000005|Ich beauftragte Herrn von Stimpekrex schriftlich, eine politische Umschau binnen vier Tagen auszuarbeiten und mir einzureichen; Dr. Nein würde alsdann den Auftrag von mir erhalten, über dieselben Dinge zu schreiben.|Ich beauftragte Herrn von Stimpekrex schriftlich, eine politische Umschau binnen vier Tagen auszuarbeiten und mir einzureichen; Dr. Nein würde alsdann den Auftrag von mir erhalten, über dieselben Dinge zu schreiben.
das_letzte_marchen_004_f000006|Beide Artikel würden veröffentlicht werden.|Beide Artikel würden veröffentlicht werden.
das_letzte_marchen_004_f000007|Der Leser möge sich dann aus Meinung und Gegenmeinung die eigne Meinung bilden.|Der Leser möge sich dann aus Meinung und Gegenmeinung die eigne Meinung bilden.
das_letzte_marchen_004_f000008|Beide Redakteure protestierten heftig gegen eine solch unerhörte Praxis.|Beide Redakteure protestierten heftig gegen eine solch unerhörte Praxis.
das_letzte_marchen_004_f000009|Sie meinten auf eine eigne Meinung der Leser zu rechnen, sei eine wilde Spekulation.|Sie meinten auf eine eigne Meinung der Leser zu rechnen, sei eine wilde Spekulation.
das_letzte_marchen_004_f000010|Ich beachtete aber diese Proteste nicht.|Ich beachtete aber diese Proteste nicht.
das_letzte_marchen_004_f000011|Herrn von Stimpekrex antwortete ich nur, daß er nunmehr seinen Artikel schon binnen drei Tagen zu liefern hätte;|Herrn von Stimpekrex antwortete ich nur, daß er nunmehr seinen Artikel schon binnen drei Tagen zu liefern hätte;
das_letzte_marchen_004_f000012|Herrn Dr. Nein, in dessen Brief eine Injurie enthalten war, schrieb ich, er möchte freiwillig tausend Mark Geldstrafe in die Hilfskasse für unbemittelte Schriftsteller legen, wenn er nicht sehr unliebsame Erfahrungen machen wolle.|Herrn Dr. Nein, in dessen Brief eine Injurie enthalten war, schrieb ich, er möchte freiwillig tausend Mark Geldstrafe in die Hilfskasse für unbemittelte Schriftsteller legen, wenn er nicht sehr unliebsame Erfahrungen machen wolle.
das_letzte_marchen_004_f000013|Tausend Mark waren eine sehr bescheidene Summe, denn ein Mehrfaches davon erhalten in Herididasufoturanien die Parlamentarier an täglichen Diäten.|Tausend Mark waren eine sehr bescheidene Summe, denn ein Mehrfaches davon erhalten in Herididasufoturanien die Parlamentarier an täglichen Diäten.
das_letzte_marchen_004_f000014|Am nächsten Tage schickte mir Dr. Nein eine offene Karte, auf der er schrieb, er habe die tausend Mark zwar bezahlt, aber es sei eine Schweinerei usw.|Am nächsten Tage schickte mir Dr. Nein eine offene Karte, auf der er schrieb, er habe die tausend Mark zwar bezahlt, aber es sei eine Schweinerei usw.
das_letzte_marchen_004_f000015|Wenn ich nun auch einsah, daß ein Mann, der jahrhundertelang Parlamentarier war, notwendig in seinem Stil verwildern mußte, so fand ich es doch für unerläßlich, meine Selbstherllichkeit wie einen ehernen Felsen zu befestigen, und gab also Herrn Dr. Nein die Weisung, zu den ersten tausend Mark noch weitere fünftausend hinzuzulegen.|Wenn ich nun auch einsah, daß ein Mann, der jahrhundertelang Parlamentarier war, notwendig in seinem Stil verwildern mußte, so fand ich es doch für unerläßlich, meine Selbstherllichkeit wie einen ehernen Felsen zu befestigen, und gab also Herrn Dr. Nein die Weisung, zu den ersten tausend Mark noch weitere fünftausend hinzuzulegen.
das_letzte_marchen_004_f000016|Darauf schrieb er, die Korrespondenz mit mir sei ihm auf die Dauer zu teuer, weswegen er vorläufig seine Proteste einstelle.|Darauf schrieb er, die Korrespondenz mit mir sei ihm auf die Dauer zu teuer, weswegen er vorläufig seine Proteste einstelle.
das_letzte_marchen_004_f000017|Schnaff beauftragte ich, für einige Spalten Lokales zu sorgen; ich selbst übernahm den belletristischen Teil.|Schnaff beauftragte ich, für einige Spalten Lokales zu sorgen; ich selbst übernahm den belletristischen Teil.
das_letzte_marchen_004_f000018|Es war an einem Nachmittag, als ich nachdenklich die Straßen von Marilkaporta entlang schlenderte.|Es war an einem Nachmittag, als ich nachdenklich die Straßen von Marilkaporta entlang schlenderte.
das_letzte_marchen_004_f000019|Ich hatte Sorgen.|Ich hatte Sorgen.
