novelle02_01_pirandello_f000001|Novelle per un anno di Luigi Pirandello|Novelle per un anno di Luigi Pirandello
novelle02_01_pirandello_f000002|LA VITA NUDA|LA VITA NUDA
novelle02_01_pirandello_f000003|— Un morto, che pure è morto, caro mio, vuole anche lui la sua casa.|- Un morto, che pure è morto, caro mio, vuole anche lui la sua casa.
novelle02_01_pirandello_f000004|E se è un morto per bene, bella la vuole;|E se è un morto per bene, bella la vuole;
novelle02_01_pirandello_f000005|e ha ragione! Da starci comodo, e di marmo la vuole, e decorata anche.|e ha ragione! Da starci comodo, e di marmo la vuole, e decorata anche.
novelle02_01_pirandello_f000006|E se poi è un morto che può spendere, la vuole anche con qualche profonda… come si dice?|E se poi è un morto che può spendere, la vuole anche con qualche profonda come si dice?
novelle02_01_pirandello_f000007|allegoria, già!, con qualche profonda allegoria d’un grande scultore come me: una bella lapide latina: HIC JACET… chi fu|allegoria, già!, con qualche profonda allegoria dun grande scultore come me: una bella lapide latina: HIC JACET chi fu
novelle02_01_pirandello_f000008|chi non fu… un bel giardinetto attorno|chi non fu un bel giardinetto attorno
novelle02_01_pirandello_f000009|con l’insalatina e tutto, e una bella cancellata a riparo dei cani e dei…|con linsalatina e tutto, e una bella cancellata a riparo dei cani e dei
novelle02_01_pirandello_f000010|— M’hai seccato! — urlò voltandosi tutt’acceso e in sudore, Costantino Pogliani.|- Mhai seccato! - urlò voltandosi tuttacceso e in sudore, Costantino Pogliani.
novelle02_01_pirandello_f000011|Ciro Colli levò la testa dal petto, con la barbetta a punta ridotta ormai un gancio, a furia di torcersela;|Ciro Colli levò la testa dal petto, con la barbetta a punta ridotta ormai un gancio, a furia di torcersela;
novelle02_01_pirandello_f000012|stette un pezzo a sbirciar l’amico di sotto al cappelluccio a pan di zucchero calato sul naso|stette un pezzo a sbirciar lamico di sotto al cappelluccio a pan di zucchero calato sul naso
novelle02_01_pirandello_f000013|e con placidissima convinzione disse, quasi posando la parola: — Asino. Là. Stava seduto su la schiena;|e con placidissima convinzione disse, quasi posando la parola: - Asino. Là. Stava seduto su la schiena;
novelle02_01_pirandello_f000014|le gambe lunghe distese, una qua, una là, sul tappetino che il Pogliani aveva già bastonato ben bene e messo in ordine innanzi al canapè.|le gambe lunghe distese, una qua, una là, sul tappetino che il Pogliani aveva già bastonato ben bene e messo in ordine innanzi al canapè.
novelle02_01_pirandello_f000015|Si struggeva dalla stizza il Pogliani nel vederlo sdrajato lí|Si struggeva dalla stizza il Pogliani nel vederlo sdrajato lí
novelle02_01_pirandello_f000016|mentr’egli s’affannava tanto a rassettar lo studio, disponendo i gessi in modo che facessero bella figura|mentregli saffannava tanto a rassettar lo studio, disponendo i gessi in modo che facessero bella figura
novelle02_01_pirandello_f000017|buttando indietro i bozzettacci ingialliti e polverosi, che gli eran ritornati sconfitti dai concorsi|buttando indietro i bozzettacci ingialliti e polverosi, che gli eran ritornati sconfitti dai concorsi
novelle02_01_pirandello_f000018|portando avanti con precauzione i cavalletti coi lavori che avrebbe potuto mostrare,|portando avanti con precauzione i cavalletti coi lavori che avrebbe potuto mostrare,
novelle02_01_pirandello_f000019|nascosti ora da pezze bagnate. E sbuffava. — Insomma, te ne vai, sí o no? — No.|nascosti ora da pezze bagnate. E sbuffava. - Insomma, te ne vai, sí o no? - No.
novelle02_01_pirandello_f000020|— Non mi sedere lí sul pulito, almeno, santo Dio! Come te lo devo dire che aspetto certe signore? — Non ci credo. — Ecco qua la lettera.|- Non mi sedere lí sul pulito, almeno, santo Dio! Come te lo devo dire che aspetto certe signore? - Non ci credo. - Ecco qua la lettera.
novelle02_01_pirandello_f000021|Guarda! L’ho ricevuta ieri dal commendator Seralli: Egregio amico,|Guarda! Lho ricevuta ieri dal commendator Seralli: Egregio amico,
novelle02_01_pirandello_f000022|La avverto che domattina, verso le undici… — Sono già le undici? — Passate! — Non ci credo.|La avverto che domattina, verso le undici - Sono già le undici? - Passate! - Non ci credo.
novelle02_01_pirandello_f000023|Seguita! — …verranno a trovarLa, indirizzate da me, la signora Con… Come dice qua? — Confucio.|Seguita! - verranno a trovarLa, indirizzate da me, la signora Con Come dice qua? - Confucio.
novelle02_01_pirandello_f000024|— Cont… o Consalvi, non si legge bene, e la figliuola, le quali hanno bisogno dell’opera sua. Sicuro che… ecc. ecc.|- Cont o Consalvi, non si legge bene, e la figliuola, le quali hanno bisogno dellopera sua. Sicuro che ecc. ecc.
novelle02_01_pirandello_f000025|— Non te la sei scritta da te, codesta lettera?|- Non te la sei scritta da te, codesta lettera?
novelle02_01_pirandello_f000026|— domandò Ciro Colli, riabbassando la testa sul petto.|- domandò Ciro Colli, riabbassando la testa sul petto.
novelle02_01_pirandello_f000027|— Imbecille! — esclamò, gemette quasi, il Pogliani che, nell’esasperazione, non sapeva più se piangere o ridere.|- Imbecille! - esclamò, gemette quasi, il Pogliani che, nellesasperazione, non sapeva più se piangere o ridere.
novelle02_01_pirandello_f000028|Il Colli alzò un dito e fece segno di no. — Non me lo dire. Me n’ho per male.|Il Colli alzò un dito e fece segno di no. - Non me lo dire. Me nho per male.
novelle02_01_pirandello_f000029|Perché, se fossi imbecille, ma sai che personcina per la quale sarei io?|Perché, se fossi imbecille, ma sai che personcina per la quale sarei io?
novelle02_01_pirandello_f000030|Guarderei la gente come per compassione.|Guarderei la gente come per compassione.
novelle02_01_pirandello_f000031|Ben vestito, ben calzato, con una bella cravatta elioprò… eliotrò… come si dice?|Ben vestito, ben calzato, con una bella cravatta elioprò eliotrò come si dice?
novelle02_01_pirandello_f000032|… tropio, e il panciotto di velluto nero come il tuo… Ah| tropio, e il panciotto di velluto nero come il tuo Ah
novelle02_01_pirandello_f000033|quanto mi piacerei col panciotto di velluto come il tuo, scannato miserabile che non sono altro! Senti.|quanto mi piacerei col panciotto di velluto come il tuo, scannato miserabile che non sono altro! Senti.
novelle02_01_pirandello_f000034|Facciamo cosí, per il tuo bene.|Facciamo cosí, per il tuo bene.
novelle02_01_pirandello_f000035|Se è vero che codeste signore Confucio debbono venire rimettiamo in disordine lo studio, o si faranno un pessimo concetto di te.|Se è vero che codeste signore Confucio debbono venire rimettiamo in disordine lo studio, o si faranno un pessimo concetto di te.
novelle02_01_pirandello_f000036|Sarebbe meglio che ti trovassero anche intento al lavoro, col sudore… come si dice?|Sarebbe meglio che ti trovassero anche intento al lavoro, col sudore come si dice?
novelle02_01_pirandello_f000037|col pane… insomma col sudore del pane della tua fronte.|col pane insomma col sudore del pane della tua fronte.
