la_mare_au_diable_00_f000001|NOTICE|NOTICE
la_mare_au_diable_00_f000002|Quand j’ai commencé, par la Mare au Diable, une série de romans champêtres, que je me proposais de réunir sous le titre de Veillées du Chanvreur, je n’ai eu aucun système, aucune prétention révolutionnaire en littérature.|Quand jai commencé, par la Mare au Diable, une série de romans champêtres, que je me proposais de réunir sous le titre de Veillées du Chanvreur, je nai eu aucun système, aucune prétention révolutionnaire en littérature.
la_mare_au_diable_00_f000003|Personne ne fait une révolution à soi tout seul, et il en est, surtout dans les arts, que l’humanité accomplit sans trop savoir comment, parce que c’est tout le monde qui s’en charge.|Personne ne fait une révolution à soi tout seul, et il en est, surtout dans les arts, que lhumanité accomplit sans trop savoir comment, parce que cest tout le monde qui sen charge.
la_mare_au_diable_00_f000004|Mais ceci n’est pas applicable au roman de mœurs rustiques: il a existé de tout temps et sous toutes les formes, tantôt pompeuses, tantôt maniérées, tantôt naïves.|Mais ceci nest pas applicable au roman de mœurs rustiques: il a existé de tout temps et sous toutes les formes, tantôt pompeuses, tantôt maniérées, tantôt naïves.
la_mare_au_diable_00_f000005|Je l’ai dit, et dois le répéter ici, le rêve de la vie champêtre a été de tout temps l’idéal des villes et même celui des cours.|Je lai dit, et dois le répéter ici, le rêve de la vie champêtre a été de tout temps lidéal des villes et même celui des cours.
la_mare_au_diable_00_f000006|Je n’ai rien fait de neuf en suivant la pente qui ramène l’homme civilisé aux charmes de la vie primitive.|Je nai rien fait de neuf en suivant la pente qui ramène lhomme civilisé aux charmes de la vie primitive.
la_mare_au_diable_00_f000007|Je n’ai voulu ni faire une nouvelle langue, ni me chercher une nouvelle manière.|Je nai voulu ni faire une nouvelle langue, ni me chercher une nouvelle manière.
la_mare_au_diable_00_f000008|On me l’a cependant affirmé dans bon nombre de feuilletons, mais je sais mieux que personne à quoi m’en tenir sur mes propres desseins,|On me la cependant affirmé dans bon nombre de feuilletons, mais je sais mieux que personne à quoi men tenir sur mes propres desseins,
la_mare_au_diable_00_f000009|et je m’étonne toujours que la critique en cherche si long, quand l’idée la plus simple, la circonstance la plus vulgaire, sont les seules inspirations auxquelles les productions de l’art doivent l’être.|et je métonne toujours que la critique en cherche si long, quand lidée la plus simple, la circonstance la plus vulgaire, sont les seules inspirations auxquelles les productions de lart doivent lêtre.
la_mare_au_diable_00_f000010|Pour la Mare au Diable en particulier, le fait que j’ai rapporté dans l’avant-propos, une gravure d’Holbein, qui m’avait frappé, une scène réelle que j’eus sous les yeux dans le même moment,|Pour la Mare au Diable en particulier, le fait que jai rapporté dans lavant-propos, une gravure dHolbein, qui mavait frappé, une scène réelle que jeus sous les yeux dans le même moment,
la_mare_au_diable_00_f000011|au temps des semailles, voilà tout ce qui m’a poussé à écrire cette histoire modeste, placée au milieu des humbles paysages que je parcourais chaque jour.|au temps des semailles, voilà tout ce qui ma poussé à écrire cette histoire modeste, placée au milieu des humbles paysages que je parcourais chaque jour.
la_mare_au_diable_00_f000012|Si on me demande ce que j’ai voulu faire, je répondrai que j’ai voulu faire une chose très touchante et très simple, et que je n’ai pas réussi à mon gré.|Si on me demande ce que jai voulu faire, je répondrai que jai voulu faire une chose très touchante et très simple, et que je nai pas réussi à mon gré.
la_mare_au_diable_00_f000013|J’ai bien vu, j’ai bien senti le beau dans le simple, mais voir et peindre sont deux! Tout ce que l’artiste peut espérer de mieux, c’est d’engager ceux qui ont des yeux à regarder aussi.|Jai bien vu, jai bien senti le beau dans le simple, mais voir et peindre sont deux! Tout ce que lartiste peut espérer de mieux, cest dengager ceux qui ont des yeux à regarder aussi.
la_mare_au_diable_00_f000014|Voyez donc la simplicité, vous autres, voyez le ciel et les champs, et les arbres, et les paysans surtout dans ce qu’ils ont de bon et de vrai:|Voyez donc la simplicité, vous autres, voyez le ciel et les champs, et les arbres, et les paysans surtout dans ce quils ont de bon et de vrai:
la_mare_au_diable_00_f000015|vous les verrez un peu dans mon livre, vous les verrez beaucoup mieux dans la nature.|vous les verrez un peu dans mon livre, vous les verrez beaucoup mieux dans la nature.
la_mare_au_diable_00_f000016|GEORGE SAND.|GEORGE SAND.
la_mare_au_diable_00_f000017|Nohant, 12 avril 1851.|Nohant, 12 avril 1851.
la_mare_au_diable_01_f000001|L’AUTEUR AU LECTEUR A la sueur de ton visaige Tu gagnerois ta pauvre vie, Après long travail et usaige, Voicy la mort qui te convie.|LAUTEUR AU LECTEUR A la sueur de ton visaige Tu gagnerois ta pauvre vie, Après long travail et usaige, Voicy la mort qui te convie.
la_mare_au_diable_01_f000002|Le quatrain en vieux français, placé au-dessous d’une composition d’Holbein, est d’une tristesse profonde dans sa naïveté.|Le quatrain en vieux français, placé au-dessous dune composition dHolbein, est dune tristesse profonde dans sa naïveté.
la_mare_au_diable_01_f000003|La gravure représente un laboureur conduisant sa charrue au milieu d’un champ.|La gravure représente un laboureur conduisant sa charrue au milieu dun champ.
la_mare_au_diable_01_f000004|Une vaste campagne s’étend au loin, on y voit de pauvres cabanes; le soleil se couche derrière la colline.|Une vaste campagne sétend au loin, on y voit de pauvres cabanes; le soleil se couche derrière la colline.
la_mare_au_diable_01_f000005|C’est la fin d’une rude journée de travail. Le paysan est vieux, trapu, couvert de haillons.|Cest la fin dune rude journée de travail. Le paysan est vieux, trapu, couvert de haillons.
la_mare_au_diable_01_f000006|L’attelage de quatre chevaux qu’il pousse en avant est maigre, exténué; le soc s’enfonce dans un fonds raboteux et rebelle.|Lattelage de quatre chevaux quil pousse en avant est maigre, exténué; le soc senfonce dans un fonds raboteux et rebelle.
la_mare_au_diable_01_f000007|Un seul être est allègre et ingambe dans cette scène de sueur et usaige.|Un seul être est allègre et ingambe dans cette scène de sueur et usaige.
la_mare_au_diable_01_f000008|C’est un personnage fantastique, un squelette armé d’un fouet, qui court dans le sillon à côté des chevaux effrayés et les frappe, servant de valet de charrue au vieux laboureur.|Cest un personnage fantastique, un squelette armé dun fouet, qui court dans le sillon à côté des chevaux effrayés et les frappe, servant de valet de charrue au vieux laboureur.
la_mare_au_diable_01_f000009|C’est la mort, ce spectre qu’Holbein a introduit allégoriquement dans la succession de sujets philosophiques et religieux, à la fois lugubres et bouffons,|Cest la mort, ce spectre quHolbein a introduit allégoriquement dans la succession de sujets philosophiques et religieux, à la fois lugubres et bouffons,
la_mare_au_diable_01_f000010|intitulée les Simulachres de la mort.|intitulée les Simulachres de la mort.
la_mare_au_diable_01_f000011|Dans cette collection, ou plutôt dans cette vaste composition où la mort, jouant son rôle à toutes les pages, est le lien et la pensée dominante,|Dans cette collection, ou plutôt dans cette vaste composition où la mort, jouant son rôle à toutes les pages, est le lien et la pensée dominante,
la_mare_au_diable_01_f000012|Holbein a fait comparaître les souverains, les pontifes, les amants, les joueurs, les ivrognes, les nonnes, les courtisanes, les brigands, les pauvres, les guerriers, les moines, les juifs, les voyageurs, tout le monde de son temps et du nôtre;|Holbein a fait comparaître les souverains, les pontifes, les amants, les joueurs, les ivrognes, les nonnes, les courtisanes, les brigands, les pauvres, les guerriers, les moines, les juifs, les voyageurs, tout le monde de son temps et du nôtre;
la_mare_au_diable_01_f000013|et partout le spectre de la mort raille, menace et triomphe.|et partout le spectre de la mort raille, menace et triomphe.
la_mare_au_diable_01_f000014|D’un seul tableau elle est absente. C’est celui où le pauvre Lazare, couché sur un fumier à la porte du riche, déclare qu’il ne la craint pas,|Dun seul tableau elle est absente. Cest celui où le pauvre Lazare, couché sur un fumier à la porte du riche, déclare quil ne la craint pas,
la_mare_au_diable_01_f000015|sans doute parce qu’il n’a rien à perdre et que sa vie est une mort anticipée.|sans doute parce quil na rien à perdre et que sa vie est une mort anticipée.
la_mare_au_diable_01_f000016|Cette pensée stoïcienne du christianisme demi-païen de la Renaissance est-elle bien consolante, et les âmes religieuses y trouvent-elles leur compte?|Cette pensée stoïcienne du christianisme demi-païen de la Renaissance est-elle bien consolante, et les âmes religieuses y trouvent-elles leur compte?
la_mare_au_diable_01_f000017|L’ambitieux, le fourbe, le tyran, le débauché, tous ces pécheurs superbes qui abusent de la vie, et que la mort tient par les cheveux, vont être punis, sans doute;|Lambitieux, le fourbe, le tyran, le débauché, tous ces pécheurs superbes qui abusent de la vie, et que la mort tient par les cheveux, vont être punis, sans doute;
la_mare_au_diable_01_f000018|mais l’aveugle, le mendiant, le fou, le pauvre paysan, sont-ils dédommagés de leur longue misère par la seule réflexion que la mort n’est pas un mal pour eux? Non! Une tristesse implacable, une effroyable fatalité pèse sur l’œuvre de l’artiste.|mais laveugle, le mendiant, le fou, le pauvre paysan, sont-ils dédommagés de leur longue misère par la seule réflexion que la mort nest pas un mal pour eux? Non! Une tristesse implacable, une effroyable fatalité pèse sur lœuvre de lartiste.
la_mare_au_diable_01_f000019|Cela ressemble à une malédiction amère lancée sur le sort de l’humanité.|Cela ressemble à une malédiction amère lancée sur le sort de lhumanité.
la_mare_au_diable_01_f000020|C’est bien là la satire douloureuse, la peinture vraie de la société qu’Holbein avait sous les yeux.|Cest bien là la satire douloureuse, la peinture vraie de la société quHolbein avait sous les yeux.
la_mare_au_diable_01_f000021|Crime et malheur, voilà ce qui le frappait; mais nous, artistes d’un autre siècle, que peindrons-nous?|Crime et malheur, voilà ce qui le frappait; mais nous, artistes dun autre siècle, que peindrons-nous?
la_mare_au_diable_01_f000022|Chercherons-nous dans la pensée de la mort la rémunération de l’humanité présente? l’invoquerons- nous comme le châtiment de l’injustice et le dédommagement de la souffrance?|Chercherons-nous dans la pensée de la mort la rémunération de lhumanité présente? linvoquerons- nous comme le châtiment de linjustice et le dédommagement de la souffrance?
la_mare_au_diable_01_f000023|Non, nous n’avons plus affaire à la mort, mais à la vie.|Non, nous navons plus affaire à la mort, mais à la vie.
la_mare_au_diable_01_f000024|Nous ne croyons plus ni au néant de la tombe, ni au salut acheté par un renoncement forcé; nous voulons que la vie soit bonne, parce que nous voulons qu’elle soit féconde.|Nous ne croyons plus ni au néant de la tombe, ni au salut acheté par un renoncement forcé; nous voulons que la vie soit bonne, parce que nous voulons quelle soit féconde.
