jizn_gnora_s000001|казалось, отбивает такт некоего мысленного расчета, какой она производит.|казалось, отбивает такт некоего мысленного расчета, какой она производит.
jizn_gnora_s000002|Комон увидел, что к нему мчатся со всех сторон, и улизнуть трудно.|Комон увидел, что к нему мчатся со всех сторон, и улизнуть трудно.
jizn_gnora_s000003|Очень скоро, — сказал Геннисон, надевая пальто и беря шляпу. — Итак, недели две, не больше, осталось нам ждать. Да.|Очень скоро,- сказал Геннисон, надевая пальто и беря шляпу.- Итак, недели две, не больше, осталось нам ждать. Да.
jizn_gnora_s000004|те дни умирания в океане, в бреду, полном нежных огненных призраков, отравили меня.|те дни умирания в океане, в бреду, полном нежных огненных призраков, отравили меня.
jizn_gnora_s000005|мысль, что мне будут видны в черном колодце бездны светлые глыбы миров, что телескоп отдаст меня жуткой бесконечности мирового эфира, - страшно взволновала меня.|мысль, что мне будут видны в черном колодце бездны светлые глыбы миров, что телескоп отдаст меня жуткой бесконечности мирового эфира, - страшно взволновала меня.
jizn_gnora_s000006|Четыре раза, спасаясь от поимки, Гимнаст оборачивался, швырял пули, и каждый раз происходило некоторое смертельное замешательство. Наконец, выбежав на площадь,|Четыре раза, спасаясь от поимки, Гимнаст оборачивался, швырял пули, и каждый раз происходило некоторое смертельное замешательство. Наконец, выбежав на площадь,
jizn_gnora_s000007|Иногда матросы осыпали меня насмешками, и, должно быть, действительно казался я смешон с моей претензией быть матросом корабля дальнего плавания,|Иногда матросы осыпали меня насмешками, и, должно быть, действительно казался я смешон с моей претензией быть матросом корабля дальнего плавания,
jizn_gnora_s000008|как приговоренный, отталкивающий веревку.|как приговоренный, отталкивающий веревку.
jizn_gnora_s000009|I.|I.
jizn_gnora_s000010|Бриг покачивало; раздражение океана не утихает сразу. Упустив жертву, он фыркает и морщится. Мард облокотился на стол, склонив к чистой странице журнала свое лошадиное лицо,|Бриг покачивало; раздражение океана не утихает сразу. Упустив жертву, он фыркает и морщится. Мард облокотился на стол, склонив к чистой странице журнала свое лошадиное лицо,
jizn_gnora_s000011|Александр Дюма.|Александр Дюма.
