index	filename	transcription
0	ms_enrol_2mins_teamstext_cleanspeech_acerlaptop_A122PMN7S5SU33.wav	<CNOISE/> You get him five country, two bedrooms then you saw a <UNKNOWN/> off. Somebody <UNKNOWN/> alone he sruvive <UNKNOWN/> because this sound all same turning its name. <UNKNOWN/> even then <UNKNOWN/> .<CNOISE/><UNKNOWN/> she can remove all <UNKNOWN/> material <UNKNOWN/> another <UNKNOWN/> of research. <CNOISE/><UNKNOWN/> he came for example right issues <UNKNOWN/> that is what childhood is he told himself. <CNOISE/><UNKNOWN/> opened <UNKNOWN/> how many do you have <UNKNOWN/> they won't be found <UNKNOWN/> you are. She sounded like <UNKNOWN/> frist. <CNOISE/><UNKNOWN/> from time to time. <UNKNOWN/> no chemical fertilizer and poison <UNKNOWN/> are used <UNKNOWN/> to the damage <UNKNOWN/> with the break down of a. <CNOISE/> You can die like real people <UNKNOWN/> with the break down <UNKNOWN/> to some fact. <UNKNOWN/> few minute <UNKNOWN/> until <UNKNOWN/> inside the elevator.
1	ms_enrol_30s_teamstext_cleanspeech_acerlaptop_A122PMN7S5SU33.wav	 <CNOISE/> Hey there<SN/> Bill I will talk for a few seconds <SN/> to help you get to know me.<SN/> It takes more than just a sentence or two<SN/> because there are lots of details about my wife<SN/> and you need to learn to be able to recognize<SN/> me when I speak<SN/> up in a minute. And it's O. K. if I don't read<SN/> this but maybe you can let me<SN/> know if I need to start<SN/> over. O. K.<SN/> there are things, I'll talk to you now<SN/> for a second to help you get to know me and ask<SN/> more than just a sentence or two, because there are lots<SN/> of details about.
2	ms_pns_acerlaptop_A122PMN7S5SU33_baby_crying_neighborwithnoise_dist_2m_fileid_7.wav	 <CNOISE/><UNKNOWN/>
3	ms_pns_acerlaptop_A122PMN7S5SU33_baby_crying_neighborwithnoise_dist_3m_fileid_6.wav	 <OVERLAP><UNKNOWN/> we were <UNKNOWN/> accepted <UNKNOWN/> if was a <UNKNOWN/> . <OVERLAP/>
4	ms_pns_acerlaptop_A122PMN7S5SU33_baby_crying_primarywithnoise_fileid_10.wav	 <CNOISE/> The woman get the real queen out of the house while she had jumped away from a <UNKNOWN/> life again but haunted by her time <UNKNOWN/> of it about <UNKNOWN/> right now we're not <UNKNOWN/> from which to thread it <UNKNOWN/> .
5	ms_pns_acerlaptop_A122PMN7S5SU33_creaking_chair_neighborwithnoise_dist_1m_fileid_3.wav	 <CNOISE/><UNKNOWN/><SN/> A phone <UNKNOWN/><SN/> station that really <UNKNOWN/> for the time <UNKNOWN/> myself <UNKNOWN/> I'll pay <UNKNOWN/> to be <UNKNOWN/><SN/> .
6	ms_pns_acerlaptop_A122PMN7S5SU33_creaking_chair_neighborwithnoise_dist_1m_fileid_9.wav	 <CNOISE/><UNKNOWN/> We ever experience another <UNKNOWN/> camera along <UNKNOWN/> .
7	ms_pns_acerlaptop_A122PMN7S5SU33_Door_shutting_neighborwithnoise_dist_2m_fileid_8.wav	 <CNOISE/><UNKNOWN/><SN/> Hungarian <UNKNOWN/><SN/> wanted another <UNKNOWN/> planets <UNKNOWN/> or <UNKNOWN/>
8	ms_pns_acerlaptop_A122PMN7S5SU33_door_shutting_primarywithnoise_fileid_1.wav	 <UNKNOWN/><SN/> Of a doctor <UNKNOWN/> and so he brought <UNKNOWN/> again atomic energy <UNKNOWN/> the smell of sexual <UNKNOWN/> powers <UNKNOWN/><SN/> nobody does what they <UNKNOWN/><SN/> last year.
9	ms_pns_acerlaptop_A122PMN7S5SU33_door_shutting_primarywithnoise_fileid_2.wav	 <UNKNOWN/> Though she would not put any modesty<SN/> but neither was she <UNKNOWN/> before <SN/> <UNKNOWN/><SN/> did<SN/> not love a <UNKNOWN/> upside down <UNKNOWN/><SN/> a foolish thought <SN/> <UNKNOWN/><SN/> of the<SN/> night before <UNKNOWN/><SN/> <SN/> .
