meraviglieduemila_01_salgari_f000001|Le meraviglie del Duemila di Emilio Salgari|Le meraviglie del Duemila di Emilio Salgari
meraviglieduemila_01_salgari_f000002|Capitulo Primo Il fiore della risurrezione.|Capitulo Primo Il fiore della risurrezione.
meraviglieduemila_01_salgari_f000003|Il piccolo battello a vapore che fa il servizio postale una volta alla settimana, fra Nuova York|Il piccolo battello a vapore che fa il servizio postale una volta alla settimana, fra Nuova York
meraviglieduemila_01_salgari_f000004|la più popolosa città degli Stati Uniti d’America settentrionale e la piccola borgata dell’isola Nantucket|la più popolosa città degli Stati Uniti dAmerica settentrionale e la piccola borgata dellisola Nantucket
meraviglieduemila_01_salgari_f000005|quella mattina era entrato nel piccolo porto con un solo passeggero.|quella mattina era entrato nel piccolo porto con un solo passeggero.
meraviglieduemila_01_salgari_f000006|Accadeva spesso, durante l’autunno, terminata la stagione balneare, che rarissime persone approdassero a quell’isola|Accadeva spesso, durante lautunno, terminata la stagione balneare, che rarissime persone approdassero a quellisola
meraviglieduemila_01_salgari_f000007|abitata solo da qualche migliaio di famiglie di pescatori che non s’occupavano d’altro che d’affondare le loro reti nei flutti dell’Atlantico.|abitata solo da qualche migliaio di famiglie di pescatori che non soccupavano daltro che daffondare le loro reti nei flutti dellAtlantico.
meraviglieduemila_01_salgari_f000008|— Signor Brandok — aveva gridato il pilota, quando il battello a vapore s’era ormeggiato al ponte di legno — siamo giunti.|- Signor Brandok - aveva gridato il pilota, quando il battello a vapore sera ormeggiato al ponte di legno - siamo giunti.
meraviglieduemila_01_salgari_f000009|Il passeggero, che durante la traversata era rimasto sempre seduto a prora senza scambiare una parola con nessuno|Il passeggero, che durante la traversata era rimasto sempre seduto a prora senza scambiare una parola con nessuno
meraviglieduemila_01_salgari_f000010|s’era alzato con una certa aria annoiata, che non era sfuggita nè al pilota, nè ai quattro marinai.|sera alzato con una certa aria annoiata, che non era sfuggita nè al pilota, nè ai quattro marinai.
meraviglieduemila_01_salgari_f000011|— I divertimenti di Nuova York non lo hanno guarito dal suo spleen|- I divertimenti di Nuova York non lo hanno guarito dal suo spleen
meraviglieduemila_01_salgari_f000012|— mormorò il timoniere del piccolo battello volgendosi verso i suoi uomini.|- mormorò il timoniere del piccolo battello volgendosi verso i suoi uomini.
meraviglieduemila_01_salgari_f000013|— Eppure, che cosa manca a lui?|- Eppure, che cosa manca a lui?
meraviglieduemila_01_salgari_f000014|Bello, giovane e ricco... se fossi io al suo posto!...|Bello, giovane e ricco... se fossi io al suo posto!...
meraviglieduemila_01_salgari_f000015|Il passeggero era difatti un bel giovane, tra i venticinque e i ventott’anni, di statura alta come sono ordinariamente tutti gli americani|Il passeggero era difatti un bel giovane, tra i venticinque e i ventottanni, di statura alta come sono ordinariamente tutti gli americani
meraviglieduemila_01_salgari_f000016|questi fratelli gemelli degli inglesi, coi lineamenti regolarissimi, gli occhi azzurri ed i capelli biondi.|questi fratelli gemelli degli inglesi, coi lineamenti regolarissimi, gli occhi azzurri ed i capelli biondi.
meraviglieduemila_01_salgari_f000017|Aveva invece negli sguardi un non so che di triste e di vago che colpiva coloro che lo avvicinavano|Aveva invece negli sguardi un non so che di triste e di vago che colpiva coloro che lo avvicinavano
meraviglieduemila_01_salgari_f000018|e nelle sue mosse qualcosa di pesante e di stanco, che contrastava vivamente col suo aspetto robusto e florido.|e nelle sue mosse qualcosa di pesante e di stanco, che contrastava vivamente col suo aspetto robusto e florido.
meraviglieduemila_01_salgari_f000019|Si sarebbe sospettato che un male misterioso minasse la sua gioventù e la sua salute, nonostante la bella tinta rosea della sua pelle|Si sarebbe sospettato che un male misterioso minasse la sua gioventù e la sua salute, nonostante la bella tinta rosea della sua pelle
meraviglieduemila_01_salgari_f000020|quella tinta che indica la ricchezza e la bontà del sangue delle forti razze anglosassoni.|quella tinta che indica la ricchezza e la bontà del sangue delle forti razze anglosassoni.
meraviglieduemila_01_salgari_f000021|Come abbiamo detto, udita la voce del pilota, il signor Brandok s’era alzato quasi a fatica|Come abbiamo detto, udita la voce del pilota, il signor Brandok sera alzato quasi a fatica
meraviglieduemila_01_salgari_f000022|come se si risvegliasse in quel momento da un lungo sonno.|come se si risvegliasse in quel momento da un lungo sonno.
meraviglieduemila_01_salgari_f000023|Sbadigliò due o tre volte, gettò uno sguardo assonnato sulla riva|Sbadigliò due o tre volte, gettò uno sguardo assonnato sulla riva
meraviglieduemila_01_salgari_f000024|toccò appena la tesa del suo cappello per rispondere al saluto rispettoso dei marinai e scese lentamente sul pontile di legno.|toccò appena la tesa del suo cappello per rispondere al saluto rispettoso dei marinai e scese lentamente sul pontile di legno.
meraviglieduemila_01_salgari_f000025|Invece di dirigersi verso la borgata, le cui casette s’allineavano a duecento passi dal porticciolo, si mise a camminare lungo la spiaggia|Invece di dirigersi verso la borgata, le cui casette sallineavano a duecento passi dal porticciolo, si mise a camminare lungo la spiaggia
meraviglieduemila_01_salgari_f000026|colle mani affondate nelle tasche dei pantaloni e gli occhi semichiusi, come fosse in preda ad una specie di sonnambulismo.|colle mani affondate nelle tasche dei pantaloni e gli occhi semichiusi, come fosse in preda ad una specie di sonnambulismo.
meraviglieduemila_01_salgari_f000027|Giunto all’estremità della borgata si fermò e aprì gli occhi, fissandoli su un gruppo di monelli scalzi ad onta dell’aria frizzante|Giunto allestremità della borgata si fermò e aprì gli occhi, fissandoli su un gruppo di monelli scalzi ad onta dellaria frizzante
meraviglieduemila_01_salgari_f000028|che si rincorrevano lungo le dune ridendo e schiamazzando.|che si rincorrevano lungo le dune ridendo e schiamazzando.
meraviglieduemila_01_salgari_f000029|— Ecco degli esseri felici — mormorò con un tono d’invidia.|- Ecco degli esseri felici - mormorò con un tono dinvidia.
meraviglieduemila_01_salgari_f000030|— Essi almeno non sanno che cosa sia lo spleen.|- Essi almeno non sanno che cosa sia lo spleen.
meraviglieduemila_01_salgari_f000031|Stette qualche istante immobile, poi scosse il capo, mandò un lungo sospiro e riprese la passeggiata|Stette qualche istante immobile, poi scosse il capo, mandò un lungo sospiro e riprese la passeggiata
meraviglieduemila_01_salgari_f000032|per fermarsi alcuni minuti dopo dinanzi a una bella casetta a due piani, tutta bianca|per fermarsi alcuni minuti dopo dinanzi a una bella casetta a due piani, tutta bianca
meraviglieduemila_01_salgari_f000033|colle persiane verniciate e un giardinetto chiuso da una cancellata in legno. — Che cosa farà il dottore?|colle persiane verniciate e un giardinetto chiuso da una cancellata in legno. - Che cosa farà il dottore?
meraviglieduemila_01_salgari_f000034|— mormorò, guardando le finestre.|- mormorò, guardando le finestre.
meraviglieduemila_01_salgari_f000035|— Starà tormentando qualche cavia o qualche povero coniglio.|- Starà tormentando qualche cavia o qualche povero coniglio.
meraviglieduemila_01_salgari_f000036|Il segreto di poter rivivere dopo cent’anni, bell’idea! Io credo che quel buon Toby perda inutilmente il suo tempo.|Il segreto di poter rivivere dopo centanni, bellidea! Io credo che quel buon Toby perda inutilmente il suo tempo.
meraviglieduemila_01_salgari_f000037|Eppure egli è molto più, felice di me.|Eppure egli è molto più, felice di me.
meraviglieduemila_01_salgari_f000038|Tornò a sospirare, attraversò lentamente il giardinetto il cui cancello era aperto e salì la scala|Tornò a sospirare, attraversò lentamente il giardinetto il cui cancello era aperto e salì la scala
meraviglieduemila_01_salgari_f000039|senza quasi rispondere al saluto di una grassa e rubiconda fantesca che gli aveva gridato dalla cucina: — Buon giorno, signor Brandok;|senza quasi rispondere al saluto di una grassa e rubiconda fantesca che gli aveva gridato dalla cucina: - Buon giorno, signor Brandok;
meraviglieduemila_01_salgari_f000040|il mio padrone è nel suo studio.|il mio padrone è nel suo studio.
meraviglieduemila_01_salgari_f000041|Il giovine era già al secondo piano.|Il giovine era già al secondo piano.
meraviglieduemila_01_salgari_f000042|Aprì una porta ed entrò in una stanza piuttosto vasta e bene illuminata da due ampie finestre|Aprì una porta ed entrò in una stanza piuttosto vasta e bene illuminata da due ampie finestre
meraviglieduemila_01_salgari_f000043|tutta circondata da scaffali di noce pieni di un numero infinito di storte e di bottiglie variopinte.|tutta circondata da scaffali di noce pieni di un numero infinito di storte e di bottiglie variopinte.
meraviglieduemila_01_salgari_f000044|Nel mezzo, curvo su una tavola, vi era un uomo sui cinquantacinque anni, di forme quasi erculee|Nel mezzo, curvo su una tavola, vi era un uomo sui cinquantacinque anni, di forme quasi erculee
meraviglieduemila_01_salgari_f000045|con una lunga barba un po’ brizzolata e tutto intento ad osservare un coniglio che pareva, a prima vista, o morto o addormentato.|con una lunga barba un po brizzolata e tutto intento ad osservare un coniglio che pareva, a prima vista, o morto o addormentato.
meraviglieduemila_01_salgari_f000046|Udendo aprirsi la porta si levò gli occhiali e si voltò con una certa vivacità|Udendo aprirsi la porta si levò gli occhiali e si voltò con una certa vivacità
meraviglieduemila_01_salgari_f000047|esclamando con voce giuliva: — Ah! sei tornato, amico James?|esclamando con voce giuliva: - Ah! sei tornato, amico James?
meraviglieduemila_01_salgari_f000048|Ti sei stancato presto di Nuova York e mi pare che tu non abbia un’aria molto soddisfatta.|Ti sei stancato presto di Nuova York e mi pare che tu non abbia unaria molto soddisfatta.
meraviglieduemila_01_salgari_f000049|Il giovine si lasciò cadere sopra una sedia che si trovava presso la tavola e rispose con un mesto sorriso. — Dunque?|Il giovine si lasciò cadere sopra una sedia che si trovava presso la tavola e rispose con un mesto sorriso. - Dunque?
meraviglieduemila_01_salgari_f000050|— chiese l’uomo attempato, dopo un breve silenzio.|- chiese luomo attempato, dopo un breve silenzio.
meraviglieduemila_01_salgari_f000051|— Sono più annoiato di prima ed è un miracolo che sia qui — rispose Brandok. — Perchè?|- Sono più annoiato di prima ed è un miracolo che sia qui - rispose Brandok. - Perchè?
meraviglieduemila_01_salgari_f000052|— Avevo già deciso di fare un bel salto dal faro della Libertà e di sfracellarmi sul molo.|- Avevo già deciso di fare un bel salto dal faro della Libertà e di sfracellarmi sul molo.
meraviglieduemila_01_salgari_f000053|— Una brutta sciocchezza, mio caro James.|- Una brutta sciocchezza, mio caro James.
meraviglieduemila_01_salgari_f000054|A ventisei anni, con un milione di dollari...|A ventisei anni, con un milione di dollari...
meraviglieduemila_01_salgari_f000055|— E cento milioni di noia che mi fa sbadigliare da mattina a sera — disse il giovine, interrompendolo.|- E cento milioni di noia che mi fa sbadigliare da mattina a sera - disse il giovine, interrompendolo.
meraviglieduemila_01_salgari_f000056|— La vita diventa ogni giorno più insopportabile e finirò per sopprimermi.|- La vita diventa ogni giorno più insopportabile e finirò per sopprimermi.
meraviglieduemila_01_salgari_f000057|Un viaggio all’altro mondo non mi dispiacerebbe. Forse là m’annoierò meno.|Un viaggio allaltro mondo non mi dispiacerebbe. Forse là mannoierò meno.
meraviglieduemila_01_salgari_f000058|— Viaggia in questo mondo, amico. — Dove vuoi che vada, Toby? — disse Brandok.|- Viaggia in questo mondo, amico. - Dove vuoi che vada, Toby? - disse Brandok.
meraviglieduemila_01_salgari_f000059|— Ho visitato l’Australia, l’Asia, l’Africa, l’Europa e mezza America.|- Ho visitato lAustralia, lAsia, lAfrica, lEuropa e mezza America.
meraviglieduemila_01_salgari_f000060|Che cosa vuoi che vada a vedere?|Che cosa vuoi che vada a vedere?
meraviglieduemila_01_salgari_f000061|Il dottore s’era messo a passeggiare per la stanza, con le mani dietro al dorso|Il dottore sera messo a passeggiare per la stanza, con le mani dietro al dorso
meraviglieduemila_01_salgari_f000062|la testa bassa, come se un profondo pensiero lo preoccupasse.|la testa bassa, come se un profondo pensiero lo preoccupasse.
meraviglieduemila_01_salgari_f000063|Ad un tratto si fermò dinanzi al coniglio, dicendo: — James, ti piacerebbe vedere come camminerà il mondo fra cent’anni?|Ad un tratto si fermò dinanzi al coniglio, dicendo: - James, ti piacerebbe vedere come camminerà il mondo fra centanni?
meraviglieduemila_01_salgari_f000064|Il giovane Brandok aveva alzato la testa che teneva inclinata su una spalla, interrogando il dottore collo sguardo.|Il giovane Brandok aveva alzato la testa che teneva inclinata su una spalla, interrogando il dottore collo sguardo.
meraviglieduemila_01_salgari_f000065|— Sì, — riprese Toby — io voglio vedere che cosa sarà l’America fra venti lustri.|- Sì, - riprese Toby - io voglio vedere che cosa sarà lAmerica fra venti lustri.
meraviglieduemila_01_salgari_f000066|Chissà quali meraviglie avranno inventato allora gli uomini.|Chissà quali meraviglie avranno inventato allora gli uomini.
meraviglieduemila_01_salgari_f000067|Macchine straordinarie, navi colossali, palloni dirigibili e mille altre cose strabilianti.|Macchine straordinarie, navi colossali, palloni dirigibili e mille altre cose strabilianti.
meraviglieduemila_01_salgari_f000068|Ormai il genio umano non ha più freno e gl’inventori nascono come i funghi.|Ormai il genio umano non ha più freno e glinventori nascono come i funghi.
meraviglieduemila_01_salgari_f000069|— Hai trovato finalmente il modo di prolungar la vita?|- Hai trovato finalmente il modo di prolungar la vita?
meraviglieduemila_01_salgari_f000070|— chiese Brandok, con tono leggermente ironico. — Di fermarla, invece. — Ah! — Ne vuoi una prova?|- chiese Brandok, con tono leggermente ironico. - Di fermarla, invece. - Ah! - Ne vuoi una prova?
meraviglieduemila_01_salgari_f000071|— Possibile che tu abbia fatta una simile scoperta?|- Possibile che tu abbia fatta una simile scoperta?
meraviglieduemila_01_salgari_f000072|— esclamò Brandok, con stupore.|- esclamò Brandok, con stupore.
meraviglieduemila_01_salgari_f000073|— So che tu da molti anni ti dedichi a certi esperimenti.|- So che tu da molti anni ti dedichi a certi esperimenti.
meraviglieduemila_01_salgari_f000074|— E sono pienamente riusciti — disse il dottore. — Vedi questo coniglio? — È morto?|- E sono pienamente riusciti - disse il dottore. - Vedi questo coniglio? - È morto?
meraviglieduemila_01_salgari_f000075|— No, dorme da quattordici anni. — È impossibile.|- No, dorme da quattordici anni. - È impossibile.
meraviglieduemila_01_salgari_f000076|— Fra poco te lo farò risuscitare con una semplice puntura e un bagno tiepido.|- Fra poco te lo farò risuscitare con una semplice puntura e un bagno tiepido.
meraviglieduemila_01_salgari_f000077|— Quale filtro misterioso hai scoperto?|- Quale filtro misterioso hai scoperto?
meraviglieduemila_01_salgari_f000078|Non ti prendi gioco di me, Toby? — A quale scopo?|Non ti prendi gioco di me, Toby? - A quale scopo?
meraviglieduemila_01_salgari_f000079|Chiudiamo le porte perchè nessuno ci oda o ci veda, e tu assisterai ad una risurrezione meravigliosa.|Chiudiamo le porte perchè nessuno ci oda o ci veda, e tu assisterai ad una risurrezione meravigliosa.
meraviglieduemila_01_salgari_f000080|Fece girare le chiavi, chiuse un po’ le finestre|Fece girare le chiavi, chiuse un po le finestre
meraviglieduemila_01_salgari_f000081|accostò una sedia al tavolino e dopo aver offerto al suo giovine amico un sigaro, disse: — Ascoltami ora; poi verrà l’esperimento.|accostò una sedia al tavolino e dopo aver offerto al suo giovine amico un sigaro, disse: - Ascoltami ora; poi verrà lesperimento.
meraviglieduemila_01_salgari_f000082|Toby, dopo essere stato alcuni momenti silenzioso, raccolto in se stesso|Toby, dopo essere stato alcuni momenti silenzioso, raccolto in se stesso
meraviglieduemila_01_salgari_f000083|s’era alzato per prendere da uno degli scaffali un vaso di vetro contenente una piccola pianta disseccata, che pareva unica nel suo genere.|sera alzato per prendere da uno degli scaffali un vaso di vetro contenente una piccola pianta disseccata, che pareva unica nel suo genere.
meraviglieduemila_01_salgari_f000084|— Ne hai mai veduta una simile, amico James?|- Ne hai mai veduta una simile, amico James?
meraviglieduemila_01_salgari_f000085|Il giovine Brandok guardò il dottore con una certa sorpresa|Il giovine Brandok guardò il dottore con una certa sorpresa
meraviglieduemila_01_salgari_f000086|dicendo: — Vorrei sapere che cosa c’entra questa pianticella coi conigli che dormono da tanti anni.|dicendo: - Vorrei sapere che cosa centra questa pianticella coi conigli che dormono da tanti anni.
meraviglieduemila_01_salgari_f000087|Immagino che non avrai l’intenzione di aumentare le mie noie.|Immagino che non avrai lintenzione di aumentare le mie noie.
meraviglieduemila_01_salgari_f000088|— Niente affatto — riprese Toby, imperturbabilmente.|- Niente affatto - riprese Toby, imperturbabilmente.
meraviglieduemila_01_salgari_f000089|— Tu dunque non conosci questo fiore, quantunque tu abbia assai viaggiato?|- Tu dunque non conosci questo fiore, quantunque tu abbia assai viaggiato?
meraviglieduemila_01_salgari_f000090|— Sai bene che io di botanica non me ne sono mai occupato.|- Sai bene che io di botanica non me ne sono mai occupato.
meraviglieduemila_01_salgari_f000091|— Allora non hai mai udito parlare del fiore della risurrezione? — No, mai — disse il giovine.|- Allora non hai mai udito parlare del fiore della risurrezione? - No, mai - disse il giovine.
meraviglieduemila_01_salgari_f000092|— Ascoltami dunque: la storia è interessante e non t’annoierà.|- Ascoltami dunque: la storia è interessante e non tannoierà.
