odysseus_01_f000001|Erster Abend.|Erster Abend.
odysseus_01_f000002|Telemachos Entschluß.|Telemachos Entschluß.
odysseus_01_f000003|Ihr habt längst begann der Lehrer, nachdem sich der Kreis seiner Zöglinge um ihn gesammelt hatte von dem berühmten trojanischen Kriege gehört.|Ihr habt längst begann der Lehrer, nachdem sich der Kreis seiner Zöglinge um ihn gesammelt hatte von dem berühmten trojanischen Kriege gehört.
odysseus_01_f000004|Ihr wißt, daß es nach einer zehnjährigen Belagerung endlich der vereinigten Macht der Griechen gelungen war die stolze Stadt des Priamos zu erobern.|Ihr wißt, daß es nach einer zehnjährigen Belagerung endlich der vereinigten Macht der Griechen gelungen war die stolze Stadt des Priamos zu erobern.
odysseus_01_f000005|Troja, oder wie Homer sie gern nennt, die heilige Ilios wurde zerstört und verbrannt, und die Fürsten, die nun des Kampfes und der Abenteuer genug hatten, zogen ihre Schiffe ins Meer und segelten mit ihren Gefährten in die Heimat zurück.|Troja, oder wie Homer sie gern nennt, die heilige Ilios wurde zerstört und verbrannt, und die Fürsten, die nun des Kampfes und der Abenteuer genug hatten, zogen ihre Schiffe ins Meer und segelten mit ihren Gefährten in die Heimat zurück.
odysseus_01_f000006|Mancher erreichte dieselbe glücklich, mancher aber ward von Stürmen auf dem Meere umhergetrieben und irrte lange unter Elend und Gefahren aller Art umher.|Mancher erreichte dieselbe glücklich, mancher aber ward von Stürmen auf dem Meere umhergetrieben und irrte lange unter Elend und Gefahren aller Art umher.
odysseus_01_f000007|Agamemnon, der tapferste der übriggebliebenen Helden, erfuhr noch größeres Unglück.|Agamemnon, der tapferste der übriggebliebenen Helden, erfuhr noch größeres Unglück.
odysseus_01_f000008|Frommen Herzens den Göttern für seine Rückfahrt dankend, erblickte er den väterlichen Palast, eilte freudig in die Arme seiner lang entbehrten Gattin, ohne zu wissen,|Frommen Herzens den Göttern für seine Rückfahrt dankend, erblickte er den väterlichen Palast, eilte freudig in die Arme seiner lang entbehrten Gattin, ohne zu wissen,
odysseus_01_f000009|daß die Treulose sich während seiner zehnjährigen Abwesenheit mit einem andern vermählt hatte.|daß die Treulose sich während seiner zehnjährigen Abwesenheit mit einem andern vermählt hatte.
odysseus_01_f000010|Die Ehebrecherin empfängt ihn mit verstellter Zärtlichkeit und bereitet ihm ein Bad; er entkleidet sich und streckt die müden Glieder mit Wohlbehagen.|Die Ehebrecherin empfängt ihn mit verstellter Zärtlichkeit und bereitet ihm ein Bad; er entkleidet sich und streckt die müden Glieder mit Wohlbehagen.
odysseus_01_f000011|Da plötzlich, indem er sorglos ruht, überfällt ihn der Räuber seines Eigentums und seiner Gattin mit derselben und tötet ihn mit dem Schwerte.|Da plötzlich, indem er sorglos ruht, überfällt ihn der Räuber seines Eigentums und seiner Gattin mit derselben und tötet ihn mit dem Schwerte.
odysseus_01_f000012|Nicht so handelte die edle Penelope, des tapfern Odysseus schöne Gemahlin.|Nicht so handelte die edle Penelope, des tapfern Odysseus schöne Gemahlin.
odysseus_01_f000013|Auch sie hätte, wenn sie gewollt, sich längst wieder eines Gemahls erfreuen können; denn eine Menge junger Fürsten und Edlen bestürmte sie, da ihr Gatte von Troja nicht zurückgekehrt war, mit Bewerbungen, und jeder wünschte sie zur Ehe zu gewinnen.|Auch sie hätte, wenn sie gewollt, sich längst wieder eines Gemahls erfreuen können; denn eine Menge junger Fürsten und Edlen bestürmte sie, da ihr Gatte von Troja nicht zurückgekehrt war, mit Bewerbungen, und jeder wünschte sie zur Ehe zu gewinnen.
odysseus_01_f000014|War sie doch ebenso klug als schön, dazu besaß sie großen Reichtum von Schafen und Rindern und allerlei Vieh, und wer mit ihr vermählt ward, der durfte hoffen an Odysseuse Stelle als der Erste auf der Insel die übrigen kleinen Fürsten derselben zu beherrschen.|War sie doch ebenso klug als schön, dazu besaß sie großen Reichtum von Schafen und Rindern und allerlei Vieh, und wer mit ihr vermählt ward, der durfte hoffen an Odysseuse Stelle als der Erste auf der Insel die übrigen kleinen Fürsten derselben zu beherrschen.
