ferien_vom_ich_001_f000001|Abschnitt 1.|Abschnitt eins.
ferien_vom_ich_001_f000002|NACH MEINER HEIMKEHR.|NACH MEINER HEIMKEHR.
ferien_vom_ich_001_f000003|Der alte Johannisbrunnen rauscht wieder vor meinem Fenster.|Der alte Johannisbrunnen rauscht wieder vor meinem Fenster.
ferien_vom_ich_001_f000004|Hoch ragt das Bild des Täufers; aus der ehernen Schale, die seine erhobene Hand hält, plätschert das Wasser hinab ins steinerne Becken.|Hoch ragt das Bild des Täufers; aus der ehernen Schale, die seine erhobene Hand hält, plätschert das Wasser hinab ins steinerne Becken.
ferien_vom_ich_001_f000005|In alter Zeit soll ein heidnisches Heer an diesem Brunnen vorübergezogen sein; die Recken haben den rauhen Nacken gebeugt und sind hier getauft worden.|In alter Zeit soll ein heidnisches Heer an diesem Brunnen vorübergezogen sein; die Recken haben den rauhen Nacken gebeugt und sind hier getauft worden.
ferien_vom_ich_001_f000006|Am nächsten Tage fielen alle in der Schlacht.|Am nächsten Tage fielen alle in der Schlacht.
ferien_vom_ich_001_f000007|Ihre Leichname blieben liegen unter den dunklen Bäumen der Waldschlucht, da die Krieger heimtückisch erschlagen wurden; aber am Abend, als die Sonne rot am Himmel brannte, kamen weiße Schemen zum Stadttore herein, die hatten Kränze um die Stirnen und lächelten wie Kinder.|Ihre Leichname blieben liegen unter den dunklen Bäumen der Waldschlucht, da die Krieger heimtückisch erschlagen wurden; aber am Abend, als die Sonne rot am Himmel brannte, kamen weiße Schemen zum Stadttore herein, die hatten Kränze um die Stirnen und lächelten wie Kinder.
ferien_vom_ich_001_f000008|Als sie am Brunnen vorbeizogen, ließ der heilige Baptista die eherne Taufschale fallen und faltete die Hände; denn diese reinen Seelen brauchten kein Wasser der Gnade mehr.|Als sie am Brunnen vorbeizogen, ließ der heilige Baptista die eherne Taufschale fallen und faltete die Hände; denn diese reinen Seelen brauchten kein Wasser der Gnade mehr.
ferien_vom_ich_001_f000009|Die Gekränzten zogen langsam zum Stadttore hinaus, den Weihnachtsberg hinauf, und als sie auf der goldglänzenden Höhe standen, winkten sie noch einmal herab ins Tal und zogen dann fort, weit über die rote Sonne hinaus, und der Heilige am Brunnenplatz schaute ihnen nach.|Die Gekränzten zogen langsam zum Stadttore hinaus, den Weihnachtsberg hinauf, und als sie auf der goldglänzenden Höhe standen, winkten sie noch einmal herab ins Tal und zogen dann fort, weit über die rote Sonne hinaus, und der Heilige am Brunnenplatz schaute ihnen nach.
ferien_vom_ich_001_f000010|Erst als es Nacht war, bückte er sich nach der verlorenen Taufschale, und nun hält er sie wieder in erhobener Hand seit vielen Jahrhunderten.|Erst als es Nacht war, bückte er sich nach der verlorenen Taufschale, und nun hält er sie wieder in erhobener Hand seit vielen Jahrhunderten.
ferien_vom_ich_001_f000011|Das ist eine der vielen Sagen und Legenden von Waltersburg.|Das ist eine der vielen Sagen und Legenden von Waltersburg.
ferien_vom_ich_001_f000012|Die Waltersburger haben ganz eigene Geschichten.|Die Waltersburger haben ganz eigene Geschichten.
ferien_vom_ich_001_f000013|Sie borgen nicht von fremden Gauen und Städten; ihr romantisches Tal war immer so reich, daß sie Fremdes nicht nötig hatten.|Sie borgen nicht von fremden Gauen und Städten; ihr romantisches Tal war immer so reich, daß sie Fremdes nicht nötig hatten.
ferien_vom_ich_001_f000014|Der Johannisbrunnen!|Der Johannisbrunnen!
ferien_vom_ich_001_f000015|In seinem Becken ließ ich als Kind meine Schifflein schwimmen.|In seinem Becken ließ ich als Kind meine Schifflein schwimmen.
ferien_vom_ich_001_f000016|Sie schwammen nach Amerika, nach Jerusalem oder gar bis ins Riesengebirge.|Sie schwammen nach Amerika, nach Jerusalem oder gar bis ins Riesengebirge.
ferien_vom_ich_001_f000017|Mein Bruder Joachim, der mit auf dem Brunnenrande saß, lächelte oft verächtlich über diese Reiserouten.|Mein Bruder Joachim, der mit auf dem Brunnenrande saß, lächelte oft verächtlich über diese Reiserouten.
ferien_vom_ich_001_f000018|Er war drei Jahre älter als ich und schon Gymnasiast.|Er war drei Jahre älter als ich und schon Gymnasiast.
ferien_vom_ich_001_f000019|Da verachtete er meine Abcschützen-Geographie.|Da verachtete er meine Abcschützen-Geographie.
ferien_vom_ich_001_f000020|Mit Schifflein spielte er nicht mehr; er liebte nur wissenschaftliche Unterhaltung.|Mit Schifflein spielte er nicht mehr; er liebte nur wissenschaftliche Unterhaltung.
ferien_vom_ich_001_f000021|So warf er Fische aus Blech, die ein eisernes Maul hatten, ins Wasser und angelte mit einem Magneten nach ihnen.|So warf er Fische aus Blech, die ein eisernes Maul hatten, ins Wasser und angelte mit einem Magneten nach ihnen.
ferien_vom_ich_001_f000022|Er hatte ein Senkblei, und wenn seine Fische nicht bissen, sagte er: es läge am Wetter oder ich stände mit meinem infam weißen Spitzenkragen zu nahe am Wasser und verscheuchte die Fische.|Er hatte ein Senkblei, und wenn seine Fische nicht bissen, sagte er: es läge am Wetter oder ich stände mit meinem infam weißen Spitzenkragen zu nahe am Wasser und verscheuchte die Fische.
ferien_vom_ich_001_f000023|Unterdes fuhren meine Schiffe nach Jerusalem oder ins Riesengebirge, und oben auf dem grünen Balkon am Brunnenplatz saß unsere Mutter bei ihrer Handarbeit und schaute manchmal zu uns herunter.|Unterdes fuhren meine Schiffe nach Jerusalem oder ins Riesengebirge, und oben auf dem grünen Balkon am Brunnenplatz saß unsere Mutter bei ihrer Handarbeit und schaute manchmal zu uns herunter.
ferien_vom_ich_001_f000024|Wie kommt es doch, daß Menschen von einem solchen Brunnenrand fortziehen können, daß er ihnen nicht lieber und größer ist als alle Küsten des Ozeans?|Wie kommt es doch, daß Menschen von einem solchen Brunnenrand fortziehen können, daß er ihnen nicht lieber und größer ist als alle Küsten des Ozeans?
ferien_vom_ich_001_f000025|Mein Bruder und ich sind fortgezogen, und die gute Frau auf dem grünen Balkon ist allein geblieben.|Mein Bruder und ich sind fortgezogen, und die gute Frau auf dem grünen Balkon ist allein geblieben.
ferien_vom_ich_001_f000026|Als Studenten kamen wir noch regelmäßig zu den Ferien.|Als Studenten kamen wir noch regelmäßig zu den Ferien.
