novelle09_01_pirandello_f000001|Novelle per un anno di Luigi Pirandello|Novelle per un anno di Luigi Pirandello
novelle09_01_pirandello_f000002|DONNA MIMMA|DONNA MIMMA
novelle09_01_pirandello_f000003|Prima Parte Capitulo Uno|Prima Parte Capitulo Uno
novelle09_01_pirandello_f000004|Donna Mimma Parte|Donna Mimma Parte
novelle09_01_pirandello_f000005|Quando donna Mimma col fazzoletto di seta celeste annodato largo sotto il mento passa per le vie del paesello assolate|Quando donna Mimma col fazzoletto di seta celeste annodato largo sotto il mento passa per le vie del paesello assolate
novelle09_01_pirandello_f000006|si può credere benissimo che la sua personcina linda, ancora dritta e vivace|si può credere benissimo che la sua personcina linda, ancora dritta e vivace
novelle09_01_pirandello_f000007|sebbene modestamente raccolta nel lungo «manto» nero frangiato|sebbene modestamente raccolta nel lungo manto nero frangiato
novelle09_01_pirandello_f000008|non projetti ombra su l’acciottolato di queste viuzze qua, né sul lastricato della piazza grande di là.|non projetti ombra su lacciottolato di queste viuzze qua, né sul lastricato della piazza grande di là.
novelle09_01_pirandello_f000009|Si può credere benissimo, perché agli occhi di tutti i bimbi e anche dei grandi che|Si può credere benissimo, perché agli occhi di tutti i bimbi e anche dei grandi che
novelle09_01_pirandello_f000010|vedendola passare, si sentono pur essi diventare bimbi a un tratto|vedendola passare, si sentono pur essi diventare bimbi a un tratto
novelle09_01_pirandello_f000011|donna Mimma reca un’aria con sé, per cui subito, sopra e attorno a lei, tutto diventa come finto: di carta il cielo;|donna Mimma reca unaria con sé, per cui subito, sopra e attorno a lei, tutto diventa come finto: di carta il cielo;
novelle09_01_pirandello_f000012|il sole, una spera di porporina, come la stella del presepio.|il sole, una spera di porporina, come la stella del presepio.
novelle09_01_pirandello_f000013|Tutto il paesello, con quel bel sole d’oro e quel bel cielo azzurro nuovo su le casette vecchie|Tutto il paesello, con quel bel sole doro e quel bel cielo azzurro nuovo su le casette vecchie
novelle09_01_pirandello_f000014|con quelle sue chiesine dai campaniletti tozzi e le viuzze e la piazza grande con la fontana in mezzo e in fondo la chiesa madre|con quelle sue chiesine dai campaniletti tozzi e le viuzze e la piazza grande con la fontana in mezzo e in fondo la chiesa madre
novelle09_01_pirandello_f000015|appena ella vi passa, diventa subito tutt’intorno come un grosso giocattolo di Befana|appena ella vi passa, diventa subito tuttintorno come un grosso giocattolo di Befana
novelle09_01_pirandello_f000016|di quelli che a pezzo a pezzo si cavano dalla scatolona ovale che odora di colla deliziosamente.|di quelli che a pezzo a pezzo si cavano dalla scatolona ovale che odora di colla deliziosamente.
novelle09_01_pirandello_f000017|Ogni dadolino – e ce ne son tanti – è una casa con le sue finestre e la sua veranda|Ogni dadolino - e ce ne son tanti - è una casa con le sue finestre e la sua veranda
novelle09_01_pirandello_f000018|da mettere in fila o in giro per far la strada o la piazza;|da mettere in fila o in giro per far la strada o la piazza;
