maerchen_001_f000001|Der glückliche Prinz.|Der glückliche Prinz.
maerchen_001_f000002|Hoch über der Stadt auf einer schlanken Säule stand die Statue des glücklichen Prinzen.|Hoch über der Stadt auf einer schlanken Säule stand die Statue des glücklichen Prinzen.
maerchen_001_f000003|Er war ganz und gar mit dünnen Blättern von reinem Gold überzogen, als Augen hatte er zwei strahlende Saphire, und ein großer roter Rubin glühte auf seinem Schwertgriff.|Er war ganz und gar mit dünnen Blättern von reinem Gold überzogen, als Augen hatte er zwei strahlende Saphire, und ein großer roter Rubin glühte auf seinem Schwertgriff.
maerchen_001_f000004|Er wurde auch wirklich sehr bewundert.|Er wurde auch wirklich sehr bewundert.
maerchen_001_f000005|Er ist so schön wie ein Wetterhahn, bemerkte einer der Ratsherren, der nach dem Ruf strebte, künstlerischen Geschmack zu besitzen;|Er ist so schön wie ein Wetterhahn, bemerkte einer der Ratsherren, der nach dem Ruf strebte, künstlerischen Geschmack zu besitzen;
maerchen_001_f000006|nur nicht ganz so nützlich, fügte er hinzu, denn er fürchtete, die Leute könnten ihn für unpraktisch halten, und das war er wirklich nicht.|nur nicht ganz so nützlich, fügte er hinzu, denn er fürchtete, die Leute könnten ihn für unpraktisch halten, und das war er wirklich nicht.
maerchen_001_f000007|Warum kannst du nicht wie der glückliche Prinz sein? fragte eine vernünftige Mutter ihren kleinen Jungen, der verlangend nach dem Mond schrie.|Warum kannst du nicht wie der glückliche Prinz sein? fragte eine vernünftige Mutter ihren kleinen Jungen, der verlangend nach dem Mond schrie.
maerchen_001_f000008|Der glückliche Prinz denkt nicht im Traum daran, nach etwas zu schreien.|Der glückliche Prinz denkt nicht im Traum daran, nach etwas zu schreien.
maerchen_001_f000009|Gott sei Dank, es gibt wenigstens einen Menschen auf der Welt, der ganz glücklich ist, murrte ein enttäuschter Mann, als er einen Blick auf die wundervolle Statue warf.|Gott sei Dank, es gibt wenigstens einen Menschen auf der Welt, der ganz glücklich ist, murrte ein enttäuschter Mann, als er einen Blick auf die wundervolle Statue warf.
maerchen_001_f000010|Er sieht ganz aus wie ein Engel, sagten die Waisenkinder, als sie in ihren, hellroten Mänteln und den reinen, weißen Lätzchen aus dem Dom kamen.|Er sieht ganz aus wie ein Engel, sagten die Waisenkinder, als sie in ihren, hellroten Mänteln und den reinen, weißen Lätzchen aus dem Dom kamen.
maerchen_001_f000011|Woher wißt ihr das? fragte der Mathematikprofessor, ihr habt doch nie einen Engel gesehen.|Woher wißt ihr das? fragte der Mathematikprofessor, ihr habt doch nie einen Engel gesehen.
maerchen_001_f000012|O doch, in unseren Träumen, antworteten die Kinder; und der Mathematikprofessor runzelte die Stirne und blickte sehr strenge drein, denn er billigte es nicht, daß Kinder träumten.|O doch, in unseren Träumen, antworteten die Kinder; und der Mathematikprofessor runzelte die Stirne und blickte sehr strenge drein, denn er billigte es nicht, daß Kinder träumten.
maerchen_001_f000013|Eines Abends flog eine kleine Schwalbe über die Stadt.|Eines Abends flog eine kleine Schwalbe über die Stadt.
maerchen_001_f000014|Ihre Freunde waren schon vor sechs Wochen nach Ägypten geflogen, aber sie war zurückgeblieben, denn sie liebte das allerschönste Schilfrohr.|Ihre Freunde waren schon vor sechs Wochen nach Ägypten geflogen, aber sie war zurückgeblieben, denn sie liebte das allerschönste Schilfrohr.
