novelle04_01_pirandello_f000001|Novelle per un anno di luigi pirandello|Novelle per un anno di luigi pirandello
novelle04_01_pirandello_f000002|L’UOMO SOLO.|LUOMO SOLO.
novelle04_01_pirandello_f000003|Si riunivano all’aperto, ora che la stagione lo permetteva, attorno a un tavolinetto del caffè sotto gli alberi di via Veneto.|Si riunivano allaperto, ora che la stagione lo permetteva, attorno a un tavolinetto del caffè sotto gli alberi di via Veneto.
novelle04_01_pirandello_f000004|Venivano prima i Groa, padre e figlio.|Venivano prima i Groa, padre e figlio.
novelle04_01_pirandello_f000005|E tanta era la loro solitudine che, pur cosí vicini, parevano l’uno dall’altro lontanissimi.|E tanta era la loro solitudine che, pur cosí vicini, parevano luno dallaltro lontanissimi.
novelle04_01_pirandello_f000006|Appena seduti, sprofondavano in un silenzio smemorato, che li allontanava anche da tutto|Appena seduti, sprofondavano in un silenzio smemorato, che li allontanava anche da tutto
novelle04_01_pirandello_f000007|cosí che se qualche cosa cadeva loro per caso sotto gli occhi, dovevano strizzare un po’ le palpebre per guardarla.|cosí che se qualche cosa cadeva loro per caso sotto gli occhi, dovevano strizzare un po le palpebre per guardarla.
novelle04_01_pirandello_f000008|Venivano alla fine insieme gli altri due: Filippo Romelli e Carlo Spina.|Venivano alla fine insieme gli altri due: Filippo Romelli e Carlo Spina.
novelle04_01_pirandello_f000009|Il Romelli era vedovo da cinque mesi; lo Spina, scapolo.|Il Romelli era vedovo da cinque mesi; lo Spina, scapolo.
novelle04_01_pirandello_f000010|Mariano Groa era diviso dalla moglie da circa un anno e s’era tenuto con sé l’unico figliuolo|Mariano Groa era diviso dalla moglie da circa un anno e sera tenuto con sé lunico figliuolo
novelle04_01_pirandello_f000011|Torellino, già studente di liceo, smilzo, tutto naso, dai lividi occhietti infossati e un po’ loschi.|Torellino, già studente di liceo, smilzo, tutto naso, dai lividi occhietti infossati e un po loschi.
novelle04_01_pirandello_f000012|Là attorno al tavolino, dopo i saluti, raramente scambiavano tra loro qualche parola.|Là attorno al tavolino, dopo i saluti, raramente scambiavano tra loro qualche parola.
novelle04_01_pirandello_f000013|Sorseggiavano una piccola Pilsen, succhiavano qualche sciroppo con un cannuccio di paglia, e stavano a guardare|Sorseggiavano una piccola Pilsen, succhiavano qualche sciroppo con un cannuccio di paglia, e stavano a guardare
novelle04_01_pirandello_f000014|a guardar tutte le donne che passavano per via, sole, a coppie|a guardar tutte le donne che passavano per via, sole, a coppie
novelle04_01_pirandello_f000015|o accompagnate dai mariti: spose, giovinette, giovani madri coi loro bambini;|o accompagnate dai mariti: spose, giovinette, giovani madri coi loro bambini;
novelle04_01_pirandello_f000016|e quelle che scendevano dalla tranvia, dirette a Villa Borghese, e quelle che ne tornavano in carrozza|e quelle che scendevano dalla tranvia, dirette a Villa Borghese, e quelle che ne tornavano in carrozza
novelle04_01_pirandello_f000017|e le forestiere che entravano al grande albergo dirimpetto o ne uscivano, a piedi, in automobile.|e le forestiere che entravano al grande albergo dirimpetto o ne uscivano, a piedi, in automobile.
novelle04_01_pirandello_f000018|Non staccavano gli occhi da una che per attaccarli subito a un’altra|Non staccavano gli occhi da una che per attaccarli subito a unaltra
novelle04_01_pirandello_f000019|e la seguivano con lo sguardo, studiandone ogni mossa o fissandone qualche tratto, il seno|e la seguivano con lo sguardo, studiandone ogni mossa o fissandone qualche tratto, il seno
novelle04_01_pirandello_f000020|i fianchi, la gola, le rosee braccia trasparenti dai merletti delle maniche: storditi|i fianchi, la gola, le rosee braccia trasparenti dai merletti delle maniche: storditi
novelle04_01_pirandello_f000021|inebriati da tutto quel brulichío, da tutto quel fremito di vita|inebriati da tutto quel brulichío, da tutto quel fremito di vita
novelle04_01_pirandello_f000022|da tanta varietà d’aspetti e di colori e di espressioni|da tanta varietà daspetti e di colori e di espressioni
novelle04_01_pirandello_f000023|e tenuti in un’ansia angosciosa di confusi sentimenti e pensieri e rimpianti e desiderii, ora per uno sguardo fuggevole|e tenuti in unansia angosciosa di confusi sentimenti e pensieri e rimpianti e desiderii, ora per uno sguardo fuggevole
novelle04_01_pirandello_f000024|ora per un sorriso lieve di compiacenza che riuscivano a cogliere da questa o da quella|ora per un sorriso lieve di compiacenza che riuscivano a cogliere da questa o da quella
novelle04_01_pirandello_f000025|tra il frastuono delle vetture e il passerajo fitto, continuo che veniva dalle prossime ville.|tra il frastuono delle vetture e il passerajo fitto, continuo che veniva dalle prossime ville.
novelle04_01_pirandello_f000026|Sentivano tutti e quattro, ciascuno a suo modo, il bisogno cocente della donna, di quel bene che nella vita può dar solo la donna|Sentivano tutti e quattro, ciascuno a suo modo, il bisogno cocente della donna, di quel bene che nella vita può dar solo la donna
novelle04_01_pirandello_f000027|che tante di quelle donne già davano col loro amore, con la loro presenza|che tante di quelle donne già davano col loro amore, con la loro presenza
novelle04_01_pirandello_f000028|con le loro cure, e forse senz’esserne ricompensate a dovere dagli uomini ingrati.|con le loro cure, e forse senzesserne ricompensate a dovere dagli uomini ingrati.
novelle04_01_pirandello_f000029|Appena questo dubbio sorgeva in essi per l’aria triste di qualcuna|Appena questo dubbio sorgeva in essi per laria triste di qualcuna
novelle04_01_pirandello_f000030|i loro sguardi s’affrettavano a esprimere un intenso accoramento o un’acerba condanna o una pietosa adorazione. E quelle giovinette?|i loro sguardi saffrettavano a esprimere un intenso accoramento o unacerba condanna o una pietosa adorazione. E quelle giovinette?
novelle04_01_pirandello_f000031|Chi sa com’eran disposte e pronte a dar la gioja del loro corpo!|Chi sa comeran disposte e pronte a dar la gioja del loro corpo!
novelle04_01_pirandello_f000032|E dovevano invece sciuparsi in un’attesa forse vana tra finte ritrosie in pubblico e chi sa che smanie in segreto.|E dovevano invece sciuparsi in unattesa forse vana tra finte ritrosie in pubblico e chi sa che smanie in segreto.
novelle04_01_pirandello_f000033|Ciascuno, con quel quadro fascinoso davanti, pensando alla propria casa senza donna|Ciascuno, con quel quadro fascinoso davanti, pensando alla propria casa senza donna
novelle04_01_pirandello_f000034|vuota, squallida, muta, compreso da una profonda amarezza, sospirava.|vuota, squallida, muta, compreso da una profonda amarezza, sospirava.
novelle04_01_pirandello_f000035|Filippo Romelli, il vedovo, piccolino di statura, pulito, in quel suo abito nero da lutto ancora senza una grinza|Filippo Romelli, il vedovo, piccolino di statura, pulito, in quel suo abito nero da lutto ancora senza una grinza
novelle04_01_pirandello_f000036|preciso in tutti i lineamenti fini, d’omettino bello vezzeggiato dalla moglie|preciso in tutti i lineamenti fini, domettino bello vezzeggiato dalla moglie
novelle04_01_pirandello_f000037|si recava tutte le domeniche al camposanto a portar fiori alla sua morta|si recava tutte le domeniche al camposanto a portar fiori alla sua morta
novelle04_01_pirandello_f000038|e più degli altri due sentiva l’orrore della propria casa attufata dai ricordi|e più degli altri due sentiva lorrore della propria casa attufata dai ricordi
novelle04_01_pirandello_f000039|dove ogni oggetto, nell’ombra e nel silenzio, pareva stesse ancora ad aspettare colei che non vi poteva più far ritorno|dove ogni oggetto, nellombra e nel silenzio, pareva stesse ancora ad aspettare colei che non vi poteva più far ritorno
novelle04_01_pirandello_f000040|colei che lo accoglieva ogni volta con tanta festa e lo curava e lo lisciava e gli ripeteva con gli occhi ridenti come e quanto fosse contenta d’esser sua.|colei che lo accoglieva ogni volta con tanta festa e lo curava e lo lisciava e gli ripeteva con gli occhi ridenti come e quanto fosse contenta desser sua.
novelle04_01_pirandello_f000041|In tutte le donne che vedeva passare per via lui badava ora a sorprender la grazia di qualche mossa che gli richiamasse viva l’immagine della sua donna|In tutte le donne che vedeva passare per via lui badava ora a sorprender la grazia di qualche mossa che gli richiamasse viva limmagine della sua donna
novelle04_01_pirandello_f000042|non com’era ultimamente, ma qual era stata un tempo|non comera ultimamente, ma qual era stata un tempo
novelle04_01_pirandello_f000043|quando gli aveva dato quella tal gioja che quest’altra, ora, gli ridestava pungente nella memoria;|quando gli aveva dato quella tal gioja che questaltra, ora, gli ridestava pungente nella memoria;
novelle04_01_pirandello_f000044|e subito serrava le labbra per l’impeto della commozione che gli saliva amara alla gola|e subito serrava le labbra per limpeto della commozione che gli saliva amara alla gola
novelle04_01_pirandello_f000045|e socchiudeva un po’ gli occhi, come fanno al vento gli uccelli abbandonati su un ramo.|e socchiudeva un po gli occhi, come fanno al vento gli uccelli abbandonati su un ramo.
novelle04_01_pirandello_f000046|Anche nella sua donna, negli ultimi tempi, aveva amato il ricordo delle gioje passate, che non potevano più, ormai, esser per lui.|Anche nella sua donna, negli ultimi tempi, aveva amato il ricordo delle gioje passate, che non potevano più, ormai, esser per lui.
novelle04_01_pirandello_f000047|Nessuna donna più lo avrebbe amato, ora, per se stesso. Aveva già quasi cinquant’anni.|Nessuna donna più lo avrebbe amato, ora, per se stesso. Aveva già quasi cinquantanni.
novelle04_01_pirandello_f000048|Ah, per lui la sorte era stata veramente crudele! Vedersi strappare la compagna in quel punto|Ah, per lui la sorte era stata veramente crudele! Vedersi strappare la compagna in quel punto
novelle04_01_pirandello_f000049|alla soglia della vecchiaja, quando ne aveva più bisogno, quando anche l’amore|alla soglia della vecchiaja, quando ne aveva più bisogno, quando anche lamore
novelle04_01_pirandello_f000050|sempre irrequieto nella gioventú|sempre irrequieto nella gioventú
novelle04_01_pirandello_f000051|cominciava a pregiar soltanto la tranquillità del nido fedele! Ed ecco che ora gli toccava a risentire l’irrequietezza di esso|cominciava a pregiar soltanto la tranquillità del nido fedele! Ed ecco che ora gli toccava a risentire lirrequietezza di esso
novelle04_01_pirandello_f000052|fuori tempo, e perciò ridicola e disperata.|fuori tempo, e perciò ridicola e disperata.
novelle04_01_pirandello_f000053|Allo Spina, amico suo indivisibile da tanti anni, aveva detto più volte: — Verità sacrosanta|Allo Spina, amico suo indivisibile da tanti anni, aveva detto più volte: - Verità sacrosanta
novelle04_01_pirandello_f000054|amico mio: l’uomo non può esser tranquillo, se non s’è assicurate tre cose: il pane, la casa, l’amore. Donne, tu ne trovi adesso;|amico mio: luomo non può esser tranquillo, se non sè assicurate tre cose: il pane, la casa, lamore. Donne, tu ne trovi adesso;
novelle04_01_pirandello_f000055|ti posso anche ammettere che, quanto a questo, tu stai meglio di me, per ora.|ti posso anche ammettere che, quanto a questo, tu stai meglio di me, per ora.
