altehaus_001_f000001|Kapitel 1.|Kapitel eins.
altehaus_001_f000002|In einer der Hauptstraßen von Hellburg stand noch vor gar nicht so langen Jahren ein steinernes, uraltes Gebäude aus früherer Zeit – wie Viele sogar behaupteten,|In einer der Hauptstraßen von Hellburg stand noch vor gar nicht so langen Jahren ein steinernes, uraltes Gebäude aus früherer Zeit - wie Viele sogar behaupteten,
altehaus_001_f000003|das älteste Gebäude der Stadt – mit wunderlich geschnitzten Giebeln und Gewänden, künstlich gespannten Fenster- und Türbogen und großen eisernen drachen- und lindwurmköpfigen Dachrinnen,|das älteste Gebäude der Stadt - mit wunderlich geschnitzten Giebeln und Gewänden, künstlich gespannten Fenster- und Türbogen und großen eisernen drachen- und lindwurmköpfigen Dachrinnen,
altehaus_001_f000004|die der Zeit, wie allen die Straßen auf- oder abwehenden Stürmen die langen, grimmig ausgeschnittenen Zähne gezeigt hatten, und bei heftigen Regengüssen,|die der Zeit, wie allen die Straßen auf- oder abwehenden Stürmen die langen, grimmig ausgeschnittenen Zähne gezeigt hatten, und bei heftigen Regengüssen,
altehaus_001_f000005|zum Ärger der Vorübergehenden, ganze Ströme Wassers in die Mitte der Straße sprudelten.|zum Ärger der Vorübergehenden, ganze Ströme Wassers in die Mitte der Straße sprudelten.
altehaus_001_f000006|Über der Tür waren zwei sonderbare Gestalten in Stein ausgehauen, die einen Türken und einen Christen vorstellten, und auch zwischen den Fenstern hatte der Baumeister,|Über der Tür waren zwei sonderbare Gestalten in Stein ausgehauen, die einen Türken und einen Christen vorstellten, und auch zwischen den Fenstern hatte der Baumeister,
altehaus_001_f000007|dessen Urenkel mit zu den Ahnen der jetzigen Generation gehörten, manche behelmte und bewehrte Gestalt angebracht.|dessen Urenkel mit zu den Ahnen der jetzigen Generation gehörten, manche behelmte und bewehrte Gestalt angebracht.
altehaus_001_f000008|Nirgends aber fand sich ein Heiligenbild, nirgends ein Engelsköpfchen, das sonst mit seinen dicken Bäckchen trostbringend aus manchen Verzierungen anderer, fast eben so alter Gebäude herausbläst.|Nirgends aber fand sich ein Heiligenbild, nirgends ein Engelsköpfchen, das sonst mit seinen dicken Bäckchen trostbringend aus manchen Verzierungen anderer, fast eben so alter Gebäude herausbläst.
altehaus_001_f000009|Kein frommer Märtyrer mit zerrissenen Gliedern und rundem Heiligenscheine war in der ganzen Masse von Schnitzwerk zu finden; kein frommes Sprüchlein,|Kein frommer Märtyrer mit zerrissenen Gliedern und rundem Heiligenscheine war in der ganzen Masse von Schnitzwerk zu finden; kein frommes Sprüchlein,
altehaus_001_f000010|kein Vers, kein Kreuz angebracht, selbst nicht aus dem Schilde des Ritters über der Tür.|kein Vers, kein Kreuz angebracht, selbst nicht aus dem Schilde des Ritters über der Tür.
altehaus_001_f000011|Wie die Dachrinnen Untiere darstellten, die nur hinten an den Schwänzen von irgend einer wohltätigen Macht zurückgehalten und verhindert wurden, sich auf die ruhig Vorübergehenden niederzustürzen,|Wie die Dachrinnen Untiere darstellten, die nur hinten an den Schwänzen von irgend einer wohltätigen Macht zurückgehalten und verhindert wurden, sich auf die ruhig Vorübergehenden niederzustürzen,
