novelle01_01_pirandello_f000001|Novelle per un anno di Luigi Pirandello|Novelle per un anno di Luigi Pirandello
novelle01_01_pirandello_f000002|SCIALLE NERO PRIMO PARTE UNO|SCIALLE NERO PRIMO PARTE UNO
novelle01_01_pirandello_f000003|Aspetta qua, — disse il Bandi al D’Andrea. — Vado a prevenirla.|Aspetta qua, - disse il Bandi al DAndrea. - Vado a prevenirla.
novelle01_01_pirandello_f000004|Se s’ostina ancora, entrerai per forza.|Se sostina ancora, entrerai per forza.
novelle01_01_pirandello_f000005|Miopi tutti e due, parlavano vicinissimi, in piedi, l’uno di fronte all’altro.|Miopi tutti e due, parlavano vicinissimi, in piedi, luno di fronte allaltro.
novelle01_01_pirandello_f000006|Parevano fratelli, della stessa età, della stessa corporatura: alti, magri, rigidi|Parevano fratelli, della stessa età, della stessa corporatura: alti, magri, rigidi
novelle01_01_pirandello_f000007|di quella rigidezza angustiosa di chi fa tutto a puntino, con meticolosità.|di quella rigidezza angustiosa di chi fa tutto a puntino, con meticolosità.
novelle01_01_pirandello_f000008|Ed era raro il caso che, parlando cosí tra loro, l’uno non aggiustasse all’altro col dito il sellino delle lenti sul naso|Ed era raro il caso che, parlando cosí tra loro, luno non aggiustasse allaltro col dito il sellino delle lenti sul naso
novelle01_01_pirandello_f000009|o il nodo della cravatta sotto il mento, oppure, non trovando nulla da aggiustare, non toccasse all’altro i bottoni della giacca.|o il nodo della cravatta sotto il mento, oppure, non trovando nulla da aggiustare, non toccasse allaltro i bottoni della giacca.
novelle01_01_pirandello_f000010|Parlavano, del resto, pochissimo.|Parlavano, del resto, pochissimo.
novelle01_01_pirandello_f000011|E la tristezza taciturna della loro indole si mostrava chiaramente nello squallore dei volti.|E la tristezza taciturna della loro indole si mostrava chiaramente nello squallore dei volti.
novelle01_01_pirandello_f000012|Cresciuti insieme, avevano studiato ajutandosi a vicenda fino all’Università, dove poi l’uno s’era laureato in legge, l’altro in medicina.|Cresciuti insieme, avevano studiato ajutandosi a vicenda fino allUniversità, dove poi luno sera laureato in legge, laltro in medicina.
novelle01_01_pirandello_f000013|Divisi ora, durante il giorno, dalle diverse professioni|Divisi ora, durante il giorno, dalle diverse professioni
novelle01_01_pirandello_f000014|sul tramonto facevano ancora insieme quotidianamente la loro passeggiata lungo il viale all’uscita del paese.|sul tramonto facevano ancora insieme quotidianamente la loro passeggiata lungo il viale alluscita del paese.
novelle01_01_pirandello_f000015|Si conoscevano cosí a fondo, che bastava un lieve cenno, uno sguardo, una parola, perché l’uno comprendesse subito il pensiero dell’altro.|Si conoscevano cosí a fondo, che bastava un lieve cenno, uno sguardo, una parola, perché luno comprendesse subito il pensiero dellaltro.
novelle01_01_pirandello_f000016|Dimodoché quella loro passeggiata principiava ogni volta con un breve scambio di frasi e seguitavano poi in silenzio|Dimodoché quella loro passeggiata principiava ogni volta con un breve scambio di frasi e seguitavano poi in silenzio
novelle01_01_pirandello_f000017|come se l’uno avesse dato all’altro da ruminare per un pezzo.|come se luno avesse dato allaltro da ruminare per un pezzo.
novelle01_01_pirandello_f000018|E andavano a testa bassa, come due cavalli stanchi;|E andavano a testa bassa, come due cavalli stanchi;
novelle01_01_pirandello_f000019|entrambi con le mani dietro la schiena.|entrambi con le mani dietro la schiena.
novelle01_01_pirandello_f000020|A nessuno dei due veniva mai la tentazione di volgere un po’ il capo verso la ringhiera del viale per godere la vista dell’aperta campagna sottostante|A nessuno dei due veniva mai la tentazione di volgere un po il capo verso la ringhiera del viale per godere la vista dellaperta campagna sottostante
novelle01_01_pirandello_f000021|svariata di poggi e di valli e di piani, col mare in fondo|svariata di poggi e di valli e di piani, col mare in fondo
novelle01_01_pirandello_f000022|che s’accendeva tutto agli ultimi fuochi del tramonto: vista di tanta bellezza|che saccendeva tutto agli ultimi fuochi del tramonto: vista di tanta bellezza
novelle01_01_pirandello_f000023|che pareva perfino incredibile che quei due vi potessero passar davanti cosí, senza neppure voltarsi a guardare.|che pareva perfino incredibile che quei due vi potessero passar davanti cosí, senza neppure voltarsi a guardare.
novelle01_01_pirandello_f000024|Giorni addietro il Bandi aveva detto al D’Andrea: — Eleonora non sta bene.|Giorni addietro il Bandi aveva detto al DAndrea: - Eleonora non sta bene.
novelle01_01_pirandello_f000025|Il D’Andrea aveva guardato negli occhi l’amico e compreso che il male della sorella doveva esser lieve: — Vuoi che venga a visitarla? — Dice di no.|Il DAndrea aveva guardato negli occhi lamico e compreso che il male della sorella doveva esser lieve: - Vuoi che venga a visitarla? - Dice di no.
novelle01_01_pirandello_f000026|E tutti e due, passeggiando, s’erano messi a pensare con le ciglia aggrottate|E tutti e due, passeggiando, serano messi a pensare con le ciglia aggrottate
novelle01_01_pirandello_f000027|quasi per rancore, a quella donna che aveva fatto loro da madre e a cui dovevano tutto.|quasi per rancore, a quella donna che aveva fatto loro da madre e a cui dovevano tutto.
novelle01_01_pirandello_f000028|Il D’Andrea aveva perduto da ragazzo i genitori ed era stato accolto in casa d’uno zio|Il DAndrea aveva perduto da ragazzo i genitori ed era stato accolto in casa duno zio
novelle01_01_pirandello_f000029|che non avrebbe potuto in alcun modo provvedere alla riuscita di lui.|che non avrebbe potuto in alcun modo provvedere alla riuscita di lui.
novelle01_01_pirandello_f000030|Eleonora Bandi, rimasta orfana anch’essa a diciotto anni col fratello molto più piccolo di lei|Eleonora Bandi, rimasta orfana anchessa a diciotto anni col fratello molto più piccolo di lei
novelle01_01_pirandello_f000031|industriandosi dapprima con minute e sagge economie su quel po’ che le avevano lasciato i genitori|industriandosi dapprima con minute e sagge economie su quel po che le avevano lasciato i genitori
novelle01_01_pirandello_f000032|poi lavorando, dando lezioni di pianoforte e di canto, aveva potuto mantenere agli studii il fratello, e anche l’amico indivisibile di lui.|poi lavorando, dando lezioni di pianoforte e di canto, aveva potuto mantenere agli studii il fratello, e anche lamico indivisibile di lui.
novelle01_01_pirandello_f000033|— In compenso però, — soleva dire ridendo ai due giovani — mi son presa tutta la carne che manca a voi due.|- In compenso però, - soleva dire ridendo ai due giovani - mi son presa tutta la carne che manca a voi due.
novelle01_01_pirandello_f000034|Era infatti un donnone che non finiva mai;|Era infatti un donnone che non finiva mai;
novelle01_01_pirandello_f000035|ma aveva tuttavia dolcissimi i lineamenti del volto|ma aveva tuttavia dolcissimi i lineamenti del volto
novelle01_01_pirandello_f000036|e l’aria ispirata di quegli angeloni di marmo che si vedono nelle chiese, con le tuniche svolazzanti.|e laria ispirata di quegli angeloni di marmo che si vedono nelle chiese, con le tuniche svolazzanti.
novelle01_01_pirandello_f000037|E lo sguardo dei begli occhi neri, che le lunghe ciglia quasi vellutavano|E lo sguardo dei begli occhi neri, che le lunghe ciglia quasi vellutavano
novelle01_01_pirandello_f000038|e il suono della voce armoniosa pareva volessero anch’essi attenuare|e il suono della voce armoniosa pareva volessero anchessi attenuare
novelle01_01_pirandello_f000039|con un certo studio che le dava pena, l’impressione d’alterigia che quel suo corpo cosí grande poteva destare sulle prime; e ne sorrideva mestamente.|con un certo studio che le dava pena, limpressione dalterigia che quel suo corpo cosí grande poteva destare sulle prime; e ne sorrideva mestamente.
novelle01_01_pirandello_f000040|Sonava e cantava, forse non molto correttamente ma con foga appassionata.|Sonava e cantava, forse non molto correttamente ma con foga appassionata.
novelle01_01_pirandello_f000041|Se non fosse nata e cresciuta fra i pregiudizii d’una piccola città e non avesse avuto l’impedimento di quel fratellino|Se non fosse nata e cresciuta fra i pregiudizii duna piccola città e non avesse avuto limpedimento di quel fratellino
novelle01_01_pirandello_f000042|si sarebbe forse avventurata alla vita di teatro.|si sarebbe forse avventurata alla vita di teatro.
novelle01_01_pirandello_f000043|Era stato quello, un tempo, il suo sogno; nient’altro che un sogno però.|Era stato quello, un tempo, il suo sogno; nientaltro che un sogno però.
novelle01_01_pirandello_f000044|Aveva ormai circa quarant’anni.|Aveva ormai circa quarantanni.
novelle01_01_pirandello_f000045|La considerazione, del resto, di cui godeva in paese per quelle sue doti artistiche la compensava, almeno in parte, del sogno fallito|La considerazione, del resto, di cui godeva in paese per quelle sue doti artistiche la compensava, almeno in parte, del sogno fallito
novelle01_01_pirandello_f000046|e la soddisfazione d’averne invece attuato un altro|e la soddisfazione daverne invece attuato un altro
novelle01_01_pirandello_f000047|quello cioè d’avere schiuso col proprio lavoro l’avvenire a due poveri orfani, la compensava del lungo sacrifizio di se stessa.|quello cioè davere schiuso col proprio lavoro lavvenire a due poveri orfani, la compensava del lungo sacrifizio di se stessa.
novelle01_01_pirandello_f000048|Il dottor D’Andrea attese un buon pezzo nel salotto, che l’amico ritornasse a chiamarlo.|Il dottor DAndrea attese un buon pezzo nel salotto, che lamico ritornasse a chiamarlo.
novelle01_01_pirandello_f000049|Quel salotto pieno di luce, quantunque dal tetto basso, arredato di mobili già consunti, d’antica foggia|Quel salotto pieno di luce, quantunque dal tetto basso, arredato di mobili già consunti, dantica foggia
novelle01_01_pirandello_f000050|respirava quasi un’aria d’altri tempi e pareva s’appagasse|respirava quasi unaria daltri tempi e pareva sappagasse
novelle01_01_pirandello_f000051|nella quiete dei due grandi specchi a riscontro, dell’immobile visione della sua antichità scolorita.|nella quiete dei due grandi specchi a riscontro, dellimmobile visione della sua antichità scolorita.
novelle01_01_pirandello_f000052|I vecchi ritratti di famiglia appesi alle pareti erano, là dentro, i veri e soli inquilini.|I vecchi ritratti di famiglia appesi alle pareti erano, là dentro, i veri e soli inquilini.
