imalavoglia_00_verga_f000001|Prefazione.|Prefazione.
imalavoglia_00_verga_f000002|Questo racconto è lo studio sincero e spassionato del come probabilmente devono nascere e svilupparsi nelle più umili condizioni|Questo racconto è lo studio sincero e spassionato del come probabilmente devono nascere e svilupparsi nelle più umili condizioni
imalavoglia_00_verga_f000003|le prime irrequietudini pel benessere;|le prime irrequietudini pel benessere;
imalavoglia_00_verga_f000004|e quale perturbazione debba arrecare in una famigliuola vissuta fino allora relativamente felice|e quale perturbazione debba arrecare in una famigliuola vissuta fino allora relativamente felice
imalavoglia_00_verga_f000005|la vaga bramosìa dell’ignoto, l’accorgersi che non si sta bene, o che si potrebbe star meglio.|la vaga bramosìa dellignoto, laccorgersi che non si sta bene, o che si potrebbe star meglio.
imalavoglia_00_verga_f000006|Il movente dell’attività umana che produce la fiumana del progresso è preso qui alle sue sorgenti|Il movente dellattività umana che produce la fiumana del progresso è preso qui alle sue sorgenti
imalavoglia_00_verga_f000007|nelle proporzioni più modeste e materiali.|nelle proporzioni più modeste e materiali.
imalavoglia_00_verga_f000008|Il meccanismo delle passioni che la determinano in quelle basse sfere è meno complicato, e potrà quindi osservarsi con maggior precisione.|Il meccanismo delle passioni che la determinano in quelle basse sfere è meno complicato, e potrà quindi osservarsi con maggior precisione.
imalavoglia_00_verga_f000009|Basta lasciare al quadro le sue tinte schiette e tranquille, e il suo disegno semplice.|Basta lasciare al quadro le sue tinte schiette e tranquille, e il suo disegno semplice.
imalavoglia_00_verga_f000010|Man mano che cotesta ricerca del meglio di cui l’uomo è travagliato cresce e si dilata|Man mano che cotesta ricerca del meglio di cui luomo è travagliato cresce e si dilata
imalavoglia_00_verga_f000011|tende anche ad elevarsi, e segue il suo moto ascendente nelle classi sociali.|tende anche ad elevarsi, e segue il suo moto ascendente nelle classi sociali.
imalavoglia_00_verga_f000012|Nei Malavoglia non è ancora che la lotta pei bisogni materiali.|Nei Malavoglia non è ancora che la lotta pei bisogni materiali.
imalavoglia_00_verga_f000013|Soddisfatti questi, la ricerca diviene avidità di ricchezze, e si incarnerà in un tipo borghese, Mastro-don Gesualdo|Soddisfatti questi, la ricerca diviene avidità di ricchezze, e si incarnerà in un tipo borghese, Mastro-don Gesualdo
imalavoglia_00_verga_f000014|incorniciato nel quadro ancora ristretto di una piccola città di provincia|incorniciato nel quadro ancora ristretto di una piccola città di provincia
imalavoglia_00_verga_f000015|ma del quale i colori cominceranno ad essere più vivaci, e il disegno a farsi più ampio e variato.|ma del quale i colori cominceranno ad essere più vivaci, e il disegno a farsi più ampio e variato.
imalavoglia_00_verga_f000016|Poi diventerà vanità aristocratica nella Duchessa de Leyra;|Poi diventerà vanità aristocratica nella Duchessa de Leyra;
imalavoglia_00_verga_f000017|e ambizione nell’Onorevole Scipioni, per arrivare all’Uomo di lusso, il quale riunisce tutte coteste bramosìe|e ambizione nellOnorevole Scipioni, per arrivare allUomo di lusso, il quale riunisce tutte coteste bramosìe
imalavoglia_00_verga_f000018|tutte coteste vanità, tutte coteste ambizioni, per comprenderle e soffrirne, se le sente nel sangue, e ne è consunto.|tutte coteste vanità, tutte coteste ambizioni, per comprenderle e soffrirne, se le sente nel sangue, e ne è consunto.
imalavoglia_00_verga_f000019|A misura che la sfera dell’azione umana si allarga, il congegno delle passioni va complicandosi;|A misura che la sfera dellazione umana si allarga, il congegno delle passioni va complicandosi;
imalavoglia_00_verga_f000020|i tipi si disegnano certamente meno originali, ma più curiosi, per la sottile influenza che esercita sui caratteri l’educazione|i tipi si disegnano certamente meno originali, ma più curiosi, per la sottile influenza che esercita sui caratteri leducazione
imalavoglia_00_verga_f000021|ed anche tutto quello che ci può essere di artificiale nella civiltà.|ed anche tutto quello che ci può essere di artificiale nella civiltà.
imalavoglia_00_verga_f000022|Persino il linguaggio tende ad individualizzarsi, ad arricchirsi di tutte le mezze tinte dei mezzi sentimenti|Persino il linguaggio tende ad individualizzarsi, ad arricchirsi di tutte le mezze tinte dei mezzi sentimenti
imalavoglia_00_verga_f000023|di tutti gli artifici della parola onde dar rilievo all’idea|di tutti gli artifici della parola onde dar rilievo allidea
