koenigsgaukler_1_f000001|Die Geburt Mantaos in der Lotosblume|Die Geburt Mantaos in der Lotosblume
koenigsgaukler_1_f000002|Ich will euch erzählen die Geschichte von Mantao, dem Königsgaukler, und ich will erzählen, wie er in einer Lotosblume geboren wurde, als die Nacht ihren Sternenteppich breitete über das heilige Land von Indien.|Ich will euch erzählen die Geschichte von Mantao, dem Königsgaukler, und ich will erzählen, wie er in einer Lotosblume geboren wurde, als die Nacht ihren Sternenteppich breitete über das heilige Land von Indien.
koenigsgaukler_1_f000003|Viele, viele tausend Jahre ist es her und wenn ich euch das sage, so wird es euch erscheinen, als seien viele, viele tausend Jahre eine lange Zeit.|Viele, viele tausend Jahre ist es her und wenn ich euch das sage, so wird es euch erscheinen, als seien viele, viele tausend Jahre eine lange Zeit.
koenigsgaukler_1_f000004|Aber das müßt ihr nicht denken.|Aber das müßt ihr nicht denken.
koenigsgaukler_1_f000005|Viele, viele tausend Jahre ist eine ganz kurze Spanne Zeit, es ist eigentlich gar keine Zeit – viele, viele tausend Jahre, das ist so, als sei es eben erst geschehen, daß Mantao, der Königsgaukler, in einer Lotosblume geboren wurde.|Viele, viele tausend Jahre ist eine ganz kurze Spanne Zeit, es ist eigentlich gar keine Zeit - viele, viele tausend Jahre, das ist so, als sei es eben erst geschehen, daß Mantao, der Königsgaukler, in einer Lotosblume geboren wurde.
koenigsgaukler_1_f000006|Ihr müßt euch nur denken, ihr säßet selber in einer Lotosblume darin, ihre feingliedrigen kühlen Blütenarme hüllten euch ein und in ihren weit geöffneten Kelch schauten die Sterne.|Ihr müßt euch nur denken, ihr säßet selber in einer Lotosblume darin, ihre feingliedrigen kühlen Blütenarme hüllten euch ein und in ihren weit geöffneten Kelch schauten die Sterne.
koenigsgaukler_1_f000007|Der Kelch der Lotosblume ist ein Wunderkelch, vergeßt das nicht – und nun beginnt sich der Wunderkelch zu drehen und ihr seid darin.|Der Kelch der Lotosblume ist ein Wunderkelch, vergeßt das nicht - und nun beginnt sich der Wunderkelch zu drehen und ihr seid darin.
koenigsgaukler_1_f000008|Erst dreht er sich langsam, dann schneller und immer schneller – es ist, als ob die Sterne um euch kreisen und bunte Bilder in endloser Reihe an euch vorüberziehen, Bilder vom Leben der Geister|Erst dreht er sich langsam, dann schneller und immer schneller - es ist, als ob die Sterne um euch kreisen und bunte Bilder in endloser Reihe an euch vorüberziehen, Bilder vom Leben der Geister
koenigsgaukler_1_f000009|Menschen und Tiere, vom Wachstum der Pflanzen und Funkeln der Edelsteine, endlose Leben, seltsam ineinander verschlungen und mit seinen Fäden mit euch verbunden, als gehörten sie zu euch|Menschen und Tiere, vom Wachstum der Pflanzen und Funkeln der Edelsteine, endlose Leben, seltsam ineinander verschlungen und mit seinen Fäden mit euch verbunden, als gehörten sie zu euch
koenigsgaukler_1_f000010|und doch wieder von euch getrennt, denn ihr schaukelt euch ja im Schoß der Lotosblume und schaut darauf mit Augen, die zeitlos geworden sind.|und doch wieder von euch getrennt, denn ihr schaukelt euch ja im Schoß der Lotosblume und schaut darauf mit Augen, die zeitlos geworden sind.
koenigsgaukler_1_f000011|Seht ihr, so müßt ihr denken – was sind dann viele, viele tausend Jahre?|Seht ihr, so müßt ihr denken - was sind dann viele, viele tausend Jahre?
