T60_WB_est,C50_WB_est,file
0.73096013,5.388412,b'/mnt/noisesuppeastusfilestore/ldc-corpora/kanhawin_git3/DNS-Challenge/datasets/clean/german_speech/CC_4.0_International_german-speechdata_148hrs_16k/data/2014-03-18-13-10-12-mic-2_Realtek_High_Definiti_train_16k.wav|None|None|f73f7ff63f0f2fa7f8e515ddddc6eedd_6adf97f83acf6453d4a6a4b1070f3754_6adf97f83acf6453d4a6a4b1070f3754.wav'
0.7224029,5.974777,b'/mnt/noisesuppeastusfilestore/ldc-corpora/kanhawin_git3/DNS-Challenge/datasets/clean/german_speech/CC_4.0_International_german-speechdata_148hrs_16k/data/2014-03-18-13-09-51-mic-2_Realtek_High_Definiti_train_16k.wav|None|None|a448cfc8cf55c48150df248ec1fce84e_6adf97f83acf6453d4a6a4b1070f3754_6adf97f83acf6453d4a6a4b1070f3754.wav'
0.81233966,5.751261,b'/mnt/noisesuppeastusfilestore/ldc-corpora/kanhawin_git3/DNS-Challenge/datasets/clean/german_speech/CC_4.0_International_german-speechdata_148hrs_16k/data/2014-03-18-13-08-40-mic-2_Realtek_High_Definiti_train_16k.wav|None|None|7d660de4b62f76e50da181fc08eee59d_6adf97f83acf6453d4a6a4b1070f3754_6adf97f83acf6453d4a6a4b1070f3754.wav'
0.7655955,4.7573514,b'/mnt/noisesuppeastusfilestore/ldc-corpora/kanhawin_git3/DNS-Challenge/datasets/clean/german_speech/CC_4.0_International_german-speechdata_148hrs_16k/data/2014-03-18-13-08-07-mic-2_Realtek_High_Definiti_train_16k.wav|None|None|2269a4fd12e47be2dceebed13ca7527f_6adf97f83acf6453d4a6a4b1070f3754_6adf97f83acf6453d4a6a4b1070f3754.wav'
0.7504986,5.3064647,b'/mnt/noisesuppeastusfilestore/ldc-corpora/kanhawin_git3/DNS-Challenge/datasets/clean/german_speech/CC_4.0_International_german-speechdata_148hrs_16k/data/2014-03-18-13-07-46-mic-2_Realtek_High_Definiti_train_16k.wav|None|None|3f5a6b5dedf3bc30b1b43ce18e2f8bf8_6adf97f83acf6453d4a6a4b1070f3754_6adf97f83acf6453d4a6a4b1070f3754.wav'
0.6019256,6.768803,b'/mnt/noisesuppeastusfilestore/ldc-corpora/kanhawin_git3/DNS-Challenge/datasets/clean/german_speech/CC_4.0_International_german-speechdata_148hrs_16k/data/2014-03-18-13-08-58-mic-2_Realtek_High_Definiti_train_16k.wav|None|None|c776b86a1f7b82f03eb054e2b4f2cd98_6adf97f83acf6453d4a6a4b1070f3754_6adf97f83acf6453d4a6a4b1070f3754.wav'
0.8728275,5.3743753,b'/mnt/noisesuppeastusfilestore/ldc-corpora/kanhawin_git3/DNS-Challenge/datasets/clean/german_speech/CC_4.0_International_german-speechdata_148hrs_16k/data/2014-03-18-13-09-09-mic-2_Realtek_High_Definiti_train_16k.wav|None|None|69cabe4ddd08c7bf94748108f6786c99_6adf97f83acf6453d4a6a4b1070f3754_6adf97f83acf6453d4a6a4b1070f3754.wav'
0.88352567,6.0517206,b'/mnt/noisesuppeastusfilestore/ldc-corpora/kanhawin_git3/DNS-Challenge/datasets/clean/german_speech/CC_4.0_International_german-speechdata_148hrs_16k/data/2014-03-18-13-09-31-mic-2_Realtek_High_Definiti_train_16k.wav|None|None|1db093c2c4fa61f614d96c8c997d35e1_6adf97f83acf6453d4a6a4b1070f3754_6adf97f83acf6453d4a6a4b1070f3754.wav'
0.6934654,6.213978,b'/mnt/noisesuppeastusfilestore/ldc-corpora/kanhawin_git3/DNS-Challenge/datasets/clean/german_speech/CC_4.0_International_german-speechdata_148hrs_16k/data/2014-03-18-13-10-24-mic-2_Realtek_High_Definiti_train_16k.wav|None|None|8179934b87e2187e3b340515c152441d_6adf97f83acf6453d4a6a4b1070f3754_6adf97f83acf6453d4a6a4b1070f3754.wav'
0.75099796,4.6536155,b'/mnt/noisesuppeastusfilestore/ldc-corpora/kanhawin_git3/DNS-Challenge/datasets/clean/german_speech/CC_4.0_International_german-speechdata_148hrs_16k/data/2014-03-18-13-10-54-mic-2_Realtek_High_Definiti_train_16k.wav|None|None|bac759ae41e85b912624829ac3b3ddb2_6adf97f83acf6453d4a6a4b1070f3754_6adf97f83acf6453d4a6a4b1070f3754.wav'
