T60_WB,C50_WB,file
18.591524,0.16626047,"datasets/clean/book_00000_chp_0009_reader_06709_1.wav"
18.006731,0.16914953,"datasets/clean/book_00000_chp_0009_reader_06709_10.wav"
19.191952,0.17281535,"datasets/clean/book_00000_chp_0009_reader_06709_11.wav"
18.853355,0.16803963,"datasets/clean/book_00000_chp_0009_reader_06709_12.wav"
18.758823,0.17016144,"datasets/clean/book_00000_chp_0009_reader_06709_13.wav"
18.874693,0.16856317,"datasets/clean/book_00000_chp_0009_reader_06709_14.wav"
19.287369,0.17195746,"datasets/clean/book_00000_chp_0009_reader_06709_15.wav"
19.111898,0.1710616,"datasets/clean/book_00000_chp_0009_reader_06709_16.wav"
19.010603,0.16980068,"datasets/clean/book_00000_chp_0009_reader_06709_17.wav"
14.974927,0.16321476,"datasets/clean/book_00000_chp_0009_reader_06709_18.wav"
17.011303,0.16961734,"datasets/clean/book_00000_chp_0009_reader_06709_19.wav"
18.276016,0.16317,"datasets/clean/book_00000_chp_0009_reader_06709_2.wav"
18.251768,0.16830707,"datasets/clean/book_00000_chp_0009_reader_06709_20.wav"
18.895294,0.17049979,"datasets/clean/book_00000_chp_0009_reader_06709_21.wav"
18.62688,0.16627134,"datasets/clean/book_00000_chp_0009_reader_06709_22.wav"
18.846222,0.16748823,"datasets/clean/book_00000_chp_0009_reader_06709_23.wav"
18.517948,0.15962954,"datasets/clean/book_00000_chp_0009_reader_06709_24.wav"
18.583067,0.16730657,"datasets/clean/book_00000_chp_0009_reader_06709_25.wav"
18.706139,0.16653796,"datasets/clean/book_00000_chp_0009_reader_06709_26.wav"
18.164669,0.16614686,"datasets/clean/book_00000_chp_0009_reader_06709_3.wav"
18.574402,0.16679783,"datasets/clean/book_00000_chp_0009_reader_06709_4.wav"
18.620768,0.16742046,"datasets/clean/book_00000_chp_0009_reader_06709_5.wav"
19.006512,0.17094356,"datasets/clean/book_00000_chp_0009_reader_06709_6.wav"
15.617116,0.16590114,"datasets/clean/book_00000_chp_0009_reader_06709_7.wav"
16.834167,0.15818696,"datasets/clean/book_00000_chp_0009_reader_06709_8.wav"
19.447922,0.17382519,"datasets/clean/book_00000_chp_0009_reader_06709_9.wav"
11.10894,0.15443097,"datasets/clean/book_00002_chp_0005_reader_11980_0.wav"
9.99464,0.1554629,"datasets/clean/book_00002_chp_0005_reader_11980_1.wav"
14.44569,0.15469132,"datasets/clean/book_00002_chp_0005_reader_11980_10.wav"
16.163254,0.15634434,"datasets/clean/book_00002_chp_0005_reader_11980_11.wav"
16.858494,0.16428761,"datasets/clean/book_00002_chp_0005_reader_11980_12.wav"
14.982611,0.1603689,"datasets/clean/book_00002_chp_0005_reader_11980_13.wav"
13.043066,0.15444286,"datasets/clean/book_00002_chp_0005_reader_11980_14.wav"
