weihnachtsabend_01_f000001|Marley war tot, damit wollen wir anfangen. Ein Zweifel darüber kann nicht stattfinden.|Marley war tot, damit wollen wir anfangen. Ein Zweifel darüber kann nicht stattfinden.
weihnachtsabend_01_f000002|Der Schein über seine Bestattung wurde von dem Geistlichen, dem Küster, dem Leichenbesorger und den vornehmsten Leidtragenden unterschrieben.|Der Schein über seine Bestattung wurde von dem Geistlichen, dem Küster, dem Leichenbesorger und den vornehmsten Leidtragenden unterschrieben.
weihnachtsabend_01_f000003|Scrooge unterschrieb ihn und Scrooges Name wurde auf der Börse respektiert, wo er ihn nur hinschrieb. Der alte Marley war so tot wie ein Thürnagel.|Scrooge unterschrieb ihn und Scrooges Name wurde auf der Börse respektiert, wo er ihn nur hinschrieb. Der alte Marley war so tot wie ein Thürnagel.
weihnachtsabend_01_f000004|Merkt wohl auf! Ich will nicht etwa sagen, daß ein Thürnagel etwas besonders Totes für mich hätte.|Merkt wohl auf! Ich will nicht etwa sagen, daß ein Thürnagel etwas besonders Totes für mich hätte.
weihnachtsabend_01_f000005|Ich selbst möchte fast zu der Meinung geneigt sein, ein Sargnagel sei das toteste Stück Eisenwerk auf der Welt.|Ich selbst möchte fast zu der Meinung geneigt sein, ein Sargnagel sei das toteste Stück Eisenwerk auf der Welt.
weihnachtsabend_01_f000006|Aber die Weisheit unsrer Altvordern liegt in dem Gleichnisse und meine unheiligen Hände sollen sie dort nicht stören, sonst wäre es um das Vaterland geschehen.|Aber die Weisheit unsrer Altvordern liegt in dem Gleichnisse und meine unheiligen Hände sollen sie dort nicht stören, sonst wäre es um das Vaterland geschehen.
weihnachtsabend_01_f000007|Man wird mir daher erlauben, mit besonderem Nachdruck zu wiederholen, daß Marley so tot wie ein Thürnagel war.|Man wird mir daher erlauben, mit besonderem Nachdruck zu wiederholen, daß Marley so tot wie ein Thürnagel war.
weihnachtsabend_01_f000008|Scrooge wußte, daß er tot war? Natürlich wußte eres.|Scrooge wußte, daß er tot war? Natürlich wußte eres.
weihnachtsabend_01_f000009|Wie konnte es auch anders sein? Scrooge und er waren, ich weiß nicht seit wie vielen Jahren, Handlungsgesellschafter.|Wie konnte es auch anders sein? Scrooge und er waren, ich weiß nicht seit wie vielen Jahren, Handlungsgesellschafter.
weihnachtsabend_01_f000010|Scrooge war sein einziger Testamentsvollstrecker, sein einziger Administrator, sein einziger Erbe, sein einziger Freund und sein einziger Leidtragender.|Scrooge war sein einziger Testamentsvollstrecker, sein einziger Administrator, sein einziger Erbe, sein einziger Freund und sein einziger Leidtragender.
weihnachtsabend_01_f000011|Und selbst Scrooge war von dem traurigen Ereignis nicht so entsetzlich gerührt, daß er selbst an dem Begräbnistage nicht ein vortrefflicher Geschäftsmann gewesen wäre und ihn mit einem unzweifelhaft guten Handel gefeiert hätte.|Und selbst Scrooge war von dem traurigen Ereignis nicht so entsetzlich gerührt, daß er selbst an dem Begräbnistage nicht ein vortrefflicher Geschäftsmann gewesen wäre und ihn mit einem unzweifelhaft guten Handel gefeiert hätte.
weihnachtsabend_01_f000012|Die Erwähnung von Marleys Begräbnistag bringt mich zu dem Ausgangspunkt meiner Erzählung wieder zurück.|Die Erwähnung von Marleys Begräbnistag bringt mich zu dem Ausgangspunkt meiner Erzählung wieder zurück.
weihnachtsabend_01_f000013|Es ist ganz unzweifelhaft, daß Marley tot war. Das muß scharf ins Auge gefaßt werden, sonst kann in der Geschichte, die ich eben erzählen will, nichts Wunderbares geschehen.|Es ist ganz unzweifelhaft, daß Marley tot war. Das muß scharf ins Auge gefaßt werden, sonst kann in der Geschichte, die ich eben erzählen will, nichts Wunderbares geschehen.
weihnachtsabend_01_f000014|Wenn wir nicht vollkommen fest überzeugt wären, daß Hamlets Vater tot ist, ehe das Stück beginnt, würde durchaus nichts Merkwürdiges in seinem nächtlichen Spaziergang bei scharfem Ostwind auf den Mauern seines eignen Schlosses sein.|Wenn wir nicht vollkommen fest überzeugt wären, daß Hamlets Vater tot ist, ehe das Stück beginnt, würde durchaus nichts Merkwürdiges in seinem nächtlichen Spaziergang bei scharfem Ostwind auf den Mauern seines eignen Schlosses sein.
weihnachtsabend_01_f000015|Nicht mehr, als bei jedem andern Herrn in mittleren Jahren, der sich nach Sonnenuntergang rasch zu einem Spaziergang auf einem luftigen Platze,|Nicht mehr, als bei jedem andern Herrn in mittleren Jahren, der sich nach Sonnenuntergang rasch zu einem Spaziergang auf einem luftigen Platze,
weihnachtsabend_01_f000016|zum Beispiel Sankt Pauls Kirchhof, entschließt, bloß um seinen schwachen Sohn in Erstaunen zu setzen.|zum Beispiel Sankt Pauls Kirchhof, entschließt, bloß um seinen schwachen Sohn in Erstaunen zu setzen.
weihnachtsabend_01_f000017|Scrooge ließ Marleys Namen nicht ausstreichen. Noch nach Jahren stand über der Thür des Speichers Scrooge und Marley.|Scrooge ließ Marleys Namen nicht ausstreichen. Noch nach Jahren stand über der Thür des Speichers Scrooge und Marley.
weihnachtsabend_01_f000018|Die Firma war unter dem Namen Scrooge und Marley bekannt.|Die Firma war unter dem Namen Scrooge und Marley bekannt.
weihnachtsabend_01_f000019|Zuweilen nannten Leute, die ihn noch nicht kannten, Scrooge Scrooge und zuweilen Marley; aber er hörte auf beide Namen, denn es war ihm ganz gleich.|Zuweilen nannten Leute, die ihn noch nicht kannten, Scrooge Scrooge und zuweilen Marley; aber er hörte auf beide Namen, denn es war ihm ganz gleich.
weihnachtsabend_01_f000020|O, er war ein wahrer Blutsauger, der Scrooge! ein gieriger, zusammenscharrender, festhaltender, geiziger alter Sünder;|O, er war ein wahrer Blutsauger, der Scrooge! ein gieriger, zusammenscharrender, festhaltender, geiziger alter Sünder;
weihnachtsabend_01_f000021|hart und scharf wie ein Kiesel, aus dem noch kein Stahl einen warmen Funken geschlagen hat; verschlossen und selbstbegnügt und für sich, wie eine Auster.|hart und scharf wie ein Kiesel, aus dem noch kein Stahl einen warmen Funken geschlagen hat; verschlossen und selbstbegnügt und für sich, wie eine Auster.
weihnachtsabend_01_f000022|Die Kälte in seinem Herzen machte seine alten Züge erstarren, seine spitze Nase noch spitzer, sein Gesicht von Runzeln,|Die Kälte in seinem Herzen machte seine alten Züge erstarren, seine spitze Nase noch spitzer, sein Gesicht von Runzeln,
