maedchenvommoorhof_1_f000001|Es ist in einem Thingsaal, weit draußen auf dem Lande.|Es ist in einem Thingsaal, weit draußen auf dem Lande.
maedchenvommoorhof_1_f000002|Am Richtertisch, hoch oben im Saal, sitzt der Richter, ein großer, stark gebauter Mann mit breitem, grobgeschnittenem Gesicht.|Am Richtertisch, hoch oben im Saal, sitzt der Richter, ein großer, stark gebauter Mann mit breitem, grobgeschnittenem Gesicht.
maedchenvommoorhof_1_f000003|Schon mehrere Stunden lang hat er einen Fall nach dem andern entschieden, und schließlich ist etwas wie Überdruß und Düsterkeit über ihn gekommen.|Schon mehrere Stunden lang hat er einen Fall nach dem andern entschieden, und schließlich ist etwas wie Überdruß und Düsterkeit über ihn gekommen.
maedchenvommoorhof_1_f000004|Es ist schwer zu sagen, ob es die Hitze und Schwüle im Gerichtssaal ist, die ihn bedrückt, oder die Schuld an dieser schlechten Laune die Beschäftigung mit allen diesen kleinlichen Zwistigkeiten trägt,|Es ist schwer zu sagen, ob es die Hitze und Schwüle im Gerichtssaal ist, die ihn bedrückt, oder die Schuld an dieser schlechten Laune die Beschäftigung mit allen diesen kleinlichen Zwistigkeiten trägt,
maedchenvommoorhof_1_f000005|die aus keinem andern Grunde entstanden zu sein scheinen, als um die Händelsucht und Unbarmherzigkeit und Geldgier der Menschen an den Tag zu bringen.|die aus keinem andern Grunde entstanden zu sein scheinen, als um die Händelsucht und Unbarmherzigkeit und Geldgier der Menschen an den Tag zu bringen.
maedchenvommoorhof_1_f000006|Er hat gerade mit einer der letzten Verhandlungen begonnen, die heute durchgeführt werden sollen.|Er hat gerade mit einer der letzten Verhandlungen begonnen, die heute durchgeführt werden sollen.
maedchenvommoorhof_1_f000007|Es handelt sich um die Forderung eines Erziehungsbeitrages.|Es handelt sich um die Forderung eines Erziehungsbeitrages.
maedchenvommoorhof_1_f000008|Dieser Fall ist schon am vorigen Gerichtstag verhandelt worden, und das Protokoll des früheren Prozesses wird eben verlesen.|Dieser Fall ist schon am vorigen Gerichtstag verhandelt worden, und das Protokoll des früheren Prozesses wird eben verlesen.
maedchenvommoorhof_1_f000009|Daraus erfährt man fürs erste, daß die Klägerin eine arme Dienstmagd ist und der Beklagte ein verheirateter Mann.|Daraus erfährt man fürs erste, daß die Klägerin eine arme Dienstmagd ist und der Beklagte ein verheirateter Mann.
maedchenvommoorhof_1_f000010|Weiter geht aus dem Protokoll hervor, daß der Beklagte erklärt hat, die Klägerin habe ihn zu Unrecht und nur aus Gewinnsucht hierher laden lassen.|Weiter geht aus dem Protokoll hervor, daß der Beklagte erklärt hat, die Klägerin habe ihn zu Unrecht und nur aus Gewinnsucht hierher laden lassen.
maedchenvommoorhof_1_f000011|Er gibt zu, daß die Klägerin eine Zeitlang auf seinem Hof in Dienst gestanden hat; er aber habe sich während dieser Zeit in keinerlei Liebeshändel mit ihr eingelassen, und sie habe kein Recht, irgendwelche Unterstützung von ihm zu begehren.|Er gibt zu, daß die Klägerin eine Zeitlang auf seinem Hof in Dienst gestanden hat; er aber habe sich während dieser Zeit in keinerlei Liebeshändel mit ihr eingelassen, und sie habe kein Recht, irgendwelche Unterstützung von ihm zu begehren.
maedchenvommoorhof_1_f000012|Die Klägerin jedoch hat an ihrer Behauptung festgehalten; und nachdem einige Zeugen vernommen waren, ist dem Beklagten auferlegt worden, einen Eid zu leisten, wenn er nicht verurteilt werden wolle, der Klägerin die verlangte Unterstützung zu zahlen.|Die Klägerin jedoch hat an ihrer Behauptung festgehalten; und nachdem einige Zeugen vernommen waren, ist dem Beklagten auferlegt worden, einen Eid zu leisten, wenn er nicht verurteilt werden wolle, der Klägerin die verlangte Unterstützung zu zahlen.
maedchenvommoorhof_1_f000013|Beide Parteien haben sich eingefunden und stehen nebeneinander vor dem Gerichtstisch.|Beide Parteien haben sich eingefunden und stehen nebeneinander vor dem Gerichtstisch.
maedchenvommoorhof_1_f000014|Die Klägerin ist sehr jung und sieht ganz verschüchtert aus.|Die Klägerin ist sehr jung und sieht ganz verschüchtert aus.
maedchenvommoorhof_1_f000015|Sie weint vor Scham und trocknet mühsam ihre Tränen mit einem zusammengeknüllten Taschentuch; es scheint, als könne sie es nicht auseinanderfalten.|Sie weint vor Scham und trocknet mühsam ihre Tränen mit einem zusammengeknüllten Taschentuch; es scheint, als könne sie es nicht auseinanderfalten.
maedchenvommoorhof_1_f000016|Sie trägt schwarze Kleider, die ziemlich neu und ungetragen aussehen, aber sie sitzen so schlecht, daß man versucht ist, zu glauben, sie habe sie sich ausgeliehen, um anständig vor Gericht erscheinen zu können.|Sie trägt schwarze Kleider, die ziemlich neu und ungetragen aussehen, aber sie sitzen so schlecht, daß man versucht ist, zu glauben, sie habe sie sich ausgeliehen, um anständig vor Gericht erscheinen zu können.
maedchenvommoorhof_1_f000017|Was den Beklagten anlangt, so sieht man ihm gleich an, daß er ein wohlgestellter Mann ist.|Was den Beklagten anlangt, so sieht man ihm gleich an, daß er ein wohlgestellter Mann ist.
maedchenvommoorhof_1_f000018|Er mag etwa vierzig Jahre alt sein und hat ein zuversichtliches und frisches Aussehen.|Er mag etwa vierzig Jahre alt sein und hat ein zuversichtliches und frisches Aussehen.
maedchenvommoorhof_1_f000019|Wie er da vor dem Richterstuhl steht, zeigt er eine sehr gute Haltung.|Wie er da vor dem Richterstuhl steht, zeigt er eine sehr gute Haltung.
maedchenvommoorhof_1_f000020|Es sieht ja nicht aus, als fände er ein besonderes Vergnügen daran, da zu stehen, aber er macht auch durchaus keinen befangenen Eindruck.|Es sieht ja nicht aus, als fände er ein besonderes Vergnügen daran, da zu stehen, aber er macht auch durchaus keinen befangenen Eindruck.
maedchenvommoorhof_1_f000021|Als das Protokoll verlesen ist, wendet sich der Richter an den Beklagten und fragt ihn, ob er an seinem Leugnen festhalte, und ob er bereit sei, den Eid zu schwören.|Als das Protokoll verlesen ist, wendet sich der Richter an den Beklagten und fragt ihn, ob er an seinem Leugnen festhalte, und ob er bereit sei, den Eid zu schwören.
maedchenvommoorhof_1_f000022|Auf diese Frage antwortet der Beklagte sogleich mit einem raschen Ja.|Auf diese Frage antwortet der Beklagte sogleich mit einem raschen Ja.
maedchenvommoorhof_1_f000023|Er fängt an, in seiner Westentasche zu suchen, und holt ein Zeugnis des Pfarrers darüber hervor, daß er die Wichtigkeit und Bedeutung des Eides kenne und kein Hinderungsgrund für ihn vorliege, ihn zu schwören.|Er fängt an, in seiner Westentasche zu suchen, und holt ein Zeugnis des Pfarrers darüber hervor, daß er die Wichtigkeit und Bedeutung des Eides kenne und kein Hinderungsgrund für ihn vorliege, ihn zu schwören.
maedchenvommoorhof_1_f000024|Während dieser ganzen Zeit hat die Klägerin nicht aufgehört zu weinen.|Während dieser ganzen Zeit hat die Klägerin nicht aufgehört zu weinen.
maedchenvommoorhof_1_f000025|Sie scheint unüberwindlich scheu zu sein und hält die Augen hartnäckig zu Boden geschlagen.|Sie scheint unüberwindlich scheu zu sein und hält die Augen hartnäckig zu Boden geschlagen.
maedchenvommoorhof_1_f000026|Sie hat den Blick noch nicht so weit erhoben, daß sie dem Beklagten ins Gesicht sehen könnte.|Sie hat den Blick noch nicht so weit erhoben, daß sie dem Beklagten ins Gesicht sehen könnte.
maedchenvommoorhof_1_f000027|Als er nun sein Ja gesagt hat, zuckt sie zusammen.|Als er nun sein Ja gesagt hat, zuckt sie zusammen.
maedchenvommoorhof_1_f000028|Sie tritt ein paar Schritte näher an den Richterstuhl heran, als hätte sie etwas einzuwenden; aber dann bleibt sie stehen.|Sie tritt ein paar Schritte näher an den Richterstuhl heran, als hätte sie etwas einzuwenden; aber dann bleibt sie stehen.
maedchenvommoorhof_1_f000029|Es sei wohl nicht möglich, scheint sie zu sich selbst zu sagen, er könne nicht Ja gesagt haben.|Es sei wohl nicht möglich, scheint sie zu sich selbst zu sagen, er könne nicht Ja gesagt haben.
maedchenvommoorhof_1_f000030|Ich habe nicht recht gehört.|Ich habe nicht recht gehört.
maedchenvommoorhof_1_f000031|Indessen nimmt der Richter das Zeugnis in die Hand und gibt zugleich dem Gerichtsdiener einen Wink.|Indessen nimmt der Richter das Zeugnis in die Hand und gibt zugleich dem Gerichtsdiener einen Wink.
maedchenvommoorhof_1_f000032|Der Gerichtsdiener tritt an den Tisch heran, um die Bibel zu nehmen und sie vor den Beklagten hinzulegen.|Der Gerichtsdiener tritt an den Tisch heran, um die Bibel zu nehmen und sie vor den Beklagten hinzulegen.
maedchenvommoorhof_1_f000033|Die Klägerin hört, daß jemand an ihr vorbeigeht, und wird unruhig.|Die Klägerin hört, daß jemand an ihr vorbeigeht, und wird unruhig.
maedchenvommoorhof_1_f000034|Sie zwingt sich, den Blick so weit zu heben, daß sie über den Tisch hinsehen kann, und da bemerkt sie, daß der Gerichtsdiener die Bibel zurechtlegt.|Sie zwingt sich, den Blick so weit zu heben, daß sie über den Tisch hinsehen kann, und da bemerkt sie, daß der Gerichtsdiener die Bibel zurechtlegt.
maedchenvommoorhof_1_f000035|Noch einmal sieht es aus, als wollte sie Einspruch erheben.|Noch einmal sieht es aus, als wollte sie Einspruch erheben.
maedchenvommoorhof_1_f000036|Aber sie hält sich wieder zurück.|Aber sie hält sich wieder zurück.
maedchenvommoorhof_1_f000037|Es ist ja nicht möglich, daß er den Eid ablegt.|Es ist ja nicht möglich, daß er den Eid ablegt.
maedchenvommoorhof_1_f000038|Der Richter muß ihn doch daran hindern.|Der Richter muß ihn doch daran hindern.
maedchenvommoorhof_1_f000039|Der Richter war ein so kluger Mann, und er wußte gar wohl, was die Leute in seiner Heimat dachten und fühlten.|Der Richter war ein so kluger Mann, und er wußte gar wohl, was die Leute in seiner Heimat dachten und fühlten.
maedchenvommoorhof_1_f000040|Er müßte doch wissen, wie streng alle diese Menschen sind, sobald es sich um etwas handelt, was die Ehe betrifft.|Er müßte doch wissen, wie streng alle diese Menschen sind, sobald es sich um etwas handelt, was die Ehe betrifft.
maedchenvommoorhof_1_f000041|Sie kannten keine ärgere Sünde als die, die sie begangen hatte.|Sie kannten keine ärgere Sünde als die, die sie begangen hatte.
maedchenvommoorhof_1_f000042|Würde sie je so etwas aus sich selbst eingestanden haben, wenn es nicht wahr gewesen wäre?|Würde sie je so etwas aus sich selbst eingestanden haben, wenn es nicht wahr gewesen wäre?
maedchenvommoorhof_1_f000043|Der Richter könnte wohl wissen, welche furchtbare Verachtung sie sich zugezogen hatte.|Der Richter könnte wohl wissen, welche furchtbare Verachtung sie sich zugezogen hatte.
maedchenvommoorhof_1_f000044|Und nicht nur Verachtung allein, sondern auch alles mögliche Elend.|Und nicht nur Verachtung allein, sondern auch alles mögliche Elend.
maedchenvommoorhof_1_f000045|Niemand wollte sie in Dienst nehmen.|Niemand wollte sie in Dienst nehmen.
maedchenvommoorhof_1_f000046|Niemand wollte ihre Arbeit haben.|Niemand wollte ihre Arbeit haben.
maedchenvommoorhof_1_f000047|Ihre eignen Eltern duldeten sie kaum in ihrer Hütte, sondern sprachen jeden Tag davon, sie hinauszuwerfen.|Ihre eignen Eltern duldeten sie kaum in ihrer Hütte, sondern sprachen jeden Tag davon, sie hinauszuwerfen.
maedchenvommoorhof_1_f000048|Nein, der Richter müßte wohl begreifen, daß sie keine Unterstützung von einem verheirateten Mann verlangt hätte, wenn ihr kein Recht darauf zustünde.|Nein, der Richter müßte wohl begreifen, daß sie keine Unterstützung von einem verheirateten Mann verlangt hätte, wenn ihr kein Recht darauf zustünde.
maedchenvommoorhof_1_f000049|Der Richter könnte doch nicht glauben, daß sie in einer solchen Sache lüge, daß sie so furchtbares Unglück auf sich herabbeschworen hätte, wenn sie einen andern hätte anklagen können als einen verheirateten Mann.|Der Richter könnte doch nicht glauben, daß sie in einer solchen Sache lüge, daß sie so furchtbares Unglück auf sich herabbeschworen hätte, wenn sie einen andern hätte anklagen können als einen verheirateten Mann.
maedchenvommoorhof_1_f000050|Und wenn er dies wüßte, müßte er den Eid doch verhindern.|Und wenn er dies wüßte, müßte er den Eid doch verhindern.
maedchenvommoorhof_1_f000051|Sie sieht, daß der Richter dasitzt und das Zeugnis des Pfarrers ein paarmal durchliest.|Sie sieht, daß der Richter dasitzt und das Zeugnis des Pfarrers ein paarmal durchliest.
maedchenvommoorhof_1_f000052|Darum fängt sie zu glauben an, daß er eingreifen werde.|Darum fängt sie zu glauben an, daß er eingreifen werde.
maedchenvommoorhof_1_f000053|Es ist auch richtig, daß der Richter nachdenklich aussieht.|Es ist auch richtig, daß der Richter nachdenklich aussieht.
maedchenvommoorhof_1_f000054|Er heftet seine Blicke ein paarmal auf die Klägerin, aber dabei wird der Ausdruck des Ekels und des Überdrusses, der auf seinem Gesicht ruht, immer deutlicher.|Er heftet seine Blicke ein paarmal auf die Klägerin, aber dabei wird der Ausdruck des Ekels und des Überdrusses, der auf seinem Gesicht ruht, immer deutlicher.
maedchenvommoorhof_1_f000055|Es sieht aus, als wäre er ungünstig gegen sie gestimmt.|Es sieht aus, als wäre er ungünstig gegen sie gestimmt.
maedchenvommoorhof_1_f000056|Selbst wenn die Klägerin die Wahrheit spricht, sie ist ja doch eine schlechte Person, und der Richter kann keine Teilnahme für sie empfinden.|Selbst wenn die Klägerin die Wahrheit spricht, sie ist ja doch eine schlechte Person, und der Richter kann keine Teilnahme für sie empfinden.
maedchenvommoorhof_1_f000057|Es kommt manchmal vor, daß der Richter in einen Prozeß eingreift als ein guter und kluger Ratgeber, der die Parteien davor behütet, sich ganz und gar zugrunde zu richten.|Es kommt manchmal vor, daß der Richter in einen Prozeß eingreift als ein guter und kluger Ratgeber, der die Parteien davor behütet, sich ganz und gar zugrunde zu richten.
maedchenvommoorhof_1_f000058|Aber diesmal ist er müde und unlustig, und er denkt an nichts anderes, als dem gesetzlichen Verfahren seinen Lauf zu lassen.|Aber diesmal ist er müde und unlustig, und er denkt an nichts anderes, als dem gesetzlichen Verfahren seinen Lauf zu lassen.
maedchenvommoorhof_1_f000059|Er legt das Zeugnis hin und sagt dem Beklagten mit ein paar Worten, er hoffe, daß dieser die verhängnisvollen Folgen eines falschen Schwurs genau bedacht habe.|Er legt das Zeugnis hin und sagt dem Beklagten mit ein paar Worten, er hoffe, daß dieser die verhängnisvollen Folgen eines falschen Schwurs genau bedacht habe.
maedchenvommoorhof_1_f000060|Der Beklagte hört ihn mit derselben Ruhe an, die er die ganze Zeit über an den Tag gelegt hat, und antwortet ehrerbietig und nicht ohne Würde.|Der Beklagte hört ihn mit derselben Ruhe an, die er die ganze Zeit über an den Tag gelegt hat, und antwortet ehrerbietig und nicht ohne Würde.
maedchenvommoorhof_1_f000061|Die Klägerin hört dies mit dem äußersten Schrecken.|Die Klägerin hört dies mit dem äußersten Schrecken.
maedchenvommoorhof_1_f000062|Sie macht ein paar heftige Bewegungen und preßt die Hände zusammen.|Sie macht ein paar heftige Bewegungen und preßt die Hände zusammen.
maedchenvommoorhof_1_f000063|Nun will sie vor dem Richterstuhl sprechen.|Nun will sie vor dem Richterstuhl sprechen.
maedchenvommoorhof_1_f000064|Sie kämpft einen furchtbaren Kampf mit ihrer Scheu und mit dem Schluchzen, das ihr die Kehle zusammenschnürt.|Sie kämpft einen furchtbaren Kampf mit ihrer Scheu und mit dem Schluchzen, das ihr die Kehle zusammenschnürt.
maedchenvommoorhof_1_f000065|Das Ende ist doch, daß sie kein hörbares Wort hervorbringen kann.|Das Ende ist doch, daß sie kein hörbares Wort hervorbringen kann.
maedchenvommoorhof_1_f000066|Der Eid soll also geleistet werden.|Der Eid soll also geleistet werden.
maedchenvommoorhof_1_f000067|Er wird ihn ablegen.|Er wird ihn ablegen.
maedchenvommoorhof_1_f000068|Niemand wird ihn hindern, seine Seele zu verschwören.|Niemand wird ihn hindern, seine Seele zu verschwören.
maedchenvommoorhof_1_f000069|Bis dahin hat sie nicht glauben können, daß es geschehen würde.|Bis dahin hat sie nicht glauben können, daß es geschehen würde.
maedchenvommoorhof_1_f000070|Aber jetzt packt sie die Gewißheit, daß es unmittelbar bevorsteht, daß es im nächsten Augenblick geschehen wird.|Aber jetzt packt sie die Gewißheit, daß es unmittelbar bevorsteht, daß es im nächsten Augenblick geschehen wird.
maedchenvommoorhof_1_f000071|Ein Schrecken, der viel überwältigender ist als alles, was sie bisher gekannt hat, bemächtigt sich ihrer.|Ein Schrecken, der viel überwältigender ist als alles, was sie bisher gekannt hat, bemächtigt sich ihrer.
