le_pays_des_fourrures_1_10_f000001|Un retour sur le passé.|Un retour sur le passé.
le_pays_des_fourrures_1_10_f000002|Vers dix heures du soir, Mrs. Paulina Barnett et Jasper Hobson frappaient à la poterne du fort.|Vers dix heures du soir, Mrs. Paulina Barnett et Jasper Hobson frappaient à la poterne du fort.
le_pays_des_fourrures_1_10_f000003|Ce fut une joie de les revoir, car on les croyait perdus.|Ce fut une joie de les revoir, car on les croyait perdus.
le_pays_des_fourrures_1_10_f000004|Mais cette joie fit place à une profonde affliction, quand on apprit la mort du vieux Norman.|Mais cette joie fit place à une profonde affliction, quand on apprit la mort du vieux Norman.
le_pays_des_fourrures_1_10_f000005|Ce brave homme était aimé de tous, et sa mémoire fut honorée des plus vifs regrets.|Ce brave homme était aimé de tous, et sa mémoire fut honorée des plus vifs regrets.
le_pays_des_fourrures_1_10_f000006|Quant aux courageux et dévoués Esquimaux, après avoir reçu flegmatiquement les affectueux remerciements du lieutenant et de sa compagne, ils n'avaient même pas voulu venir au fort.|Quant aux courageux et dévoués Esquimaux, après avoir reçu flegmatiquement les affectueux remerciements du lieutenant et de sa compagne, ils n'avaient même pas voulu venir au fort.
le_pays_des_fourrures_1_10_f000007|Ce qu'ils avaient fait leur semblait tout naturel. Ils n'en étaient pas à leur premier sauvetage, et ils avaient immédiatement repris leur course aventureuse sur ce lac,|Ce qu'ils avaient fait leur semblait tout naturel. Ils n'en étaient pas à leur premier sauvetage, et ils avaient immédiatement repris leur course aventureuse sur ce lac,
le_pays_des_fourrures_1_10_f000008|qu'ils parcouraient jour et nuit, chassant les loutres et les oiseaux aquatiques.|qu'ils parcouraient jour et nuit, chassant les loutres et les oiseaux aquatiques.
le_pays_des_fourrures_1_10_f000009|La nuit qui suivit le retour de Jasper Hobson, le lendemain, 1er juin, et la nuit du 1 au 2 furent entièrement consacrés au repos.|La nuit qui suivit le retour de Jasper Hobson, le lendemain, 1er juin, et la nuit du 1 au 2 furent entièrement consacrés au repos.
le_pays_des_fourrures_1_10_f000010|La petite troupe s'en accommoda fort, mais le lieutenant était bien décidé à partir le 2, dès le matin, et, très heureusement, la tempête se calma.|La petite troupe s'en accommoda fort, mais le lieutenant était bien décidé à partir le 2, dès le matin, et, très heureusement, la tempête se calma.
le_pays_des_fourrures_1_10_f000011|Le sergent Felton avait mis toutes les ressources de la factorerie à la disposition du détachement.|Le sergent Felton avait mis toutes les ressources de la factorerie à la disposition du détachement.
