novelle08_01_pirandello_f000001|Novelle per un anno di luigi pirandello|Novelle per un anno di luigi pirandello
novelle08_01_pirandello_f000002|DAL NASO AL CIELO|DAL NASO AL CIELO
novelle08_01_pirandello_f000003|Capitulo Uno|Capitulo Uno
novelle08_01_pirandello_f000004|I pochi ospiti del vecchio albergo in vetta al monte Gajo avevano da una settimana il piacere di sentir parlare il senatore Romualdo Reda.|I pochi ospiti del vecchio albergo in vetta al monte Gajo avevano da una settimana il piacere di sentir parlare il senatore Romualdo Reda.
novelle08_01_pirandello_f000005|— Finalmente! Da una ventina di giorni lassú, l’illustre chimico, accademico dei Lincei,|- Finalmente! Da una ventina di giorni lassú, lillustre chimico, accademico dei Lincei,
novelle08_01_pirandello_f000006|non aveva ancora scambiato una parola con nessuno. Non si sentiva bene; era stanco;|non aveva ancora scambiato una parola con nessuno. Non si sentiva bene; era stanco;
novelle08_01_pirandello_f000007|anzi si diceva che ultimamente a Roma era stato colto da un lieve deliquio nella Sala di chimica|anzi si diceva che ultimamente a Roma era stato colto da un lieve deliquio nella Sala di chimica
novelle08_01_pirandello_f000008|dove soleva trattenersi dalla mattina alla sera;|dove soleva trattenersi dalla mattina alla sera;
novelle08_01_pirandello_f000009|e i medici l’avevano addirittura forzato a darsi un po’ di riposo, a interrompere almeno per qualche mese gli studii ch’egli|e i medici lavevano addirittura forzato a darsi un po di riposo, a interrompere almeno per qualche mese gli studii chegli
novelle08_01_pirandello_f000010|da vecchio, seguitava con inflessibile tenacia e il solito ispido rigore.|da vecchio, seguitava con inflessibile tenacia e il solito ispido rigore.
novelle08_01_pirandello_f000011|Della stessa tenacia, dello stesso rigore era regolata la sua condotta nella vita.|Della stessa tenacia, dello stesso rigore era regolata la sua condotta nella vita.
novelle08_01_pirandello_f000012|Pregato insistentemente due volte d’accettar la carica di ministro della pubblica istruzione|Pregato insistentemente due volte daccettar la carica di ministro della pubblica istruzione
novelle08_01_pirandello_f000013|tutt’e due le volte aveva opposto un reciso rifiuto, non volendo distrarsi dai suoi studii e dai suoi doveri d’insegnante.|tutte due le volte aveva opposto un reciso rifiuto, non volendo distrarsi dai suoi studii e dai suoi doveri dinsegnante.
