zweiplaneten_01_lasswitz_f000001|Auf zwei Planeten von Kurd Laßwitz|Auf zwei Planeten von Kurd Laßwitz
zweiplaneten_01_lasswitz_f000002|Kapitel Eins. Am Nordpol.|Kapitel Eins. Am Nordpol.
zweiplaneten_01_lasswitz_f000003|Eine Schlange jagt über das Eis.|Eine Schlange jagt über das Eis.
zweiplaneten_01_lasswitz_f000004|In riesiger Länge ausgestreckt schleppt sie ihren dünnen Leib wie rasend dahin.|In riesiger Länge ausgestreckt schleppt sie ihren dünnen Leib wie rasend dahin.
zweiplaneten_01_lasswitz_f000005|Mit Schnellzugsgeschwindigkeit springt sie von Scholle zu Scholle, die gähnende Spalte hält sie nicht auf|Mit Schnellzugsgeschwindigkeit springt sie von Scholle zu Scholle, die gähnende Spalte hält sie nicht auf
zweiplaneten_01_lasswitz_f000006|jetzt schwimmt sie über das offene Wasser eines Meeresarms und schlüpft gewandt über die hier und da sich schaukelnden Eisberge.|jetzt schwimmt sie über das offene Wasser eines Meeresarms und schlüpft gewandt über die hier und da sich schaukelnden Eisberge.
zweiplaneten_01_lasswitz_f000007|Sie gleitet auf das Ufer, unaufhaltsam in gerader Richtung, direkt nach Norden, dem Gebirge entgegen, das am Horizont sich hebt.|Sie gleitet auf das Ufer, unaufhaltsam in gerader Richtung, direkt nach Norden, dem Gebirge entgegen, das am Horizont sich hebt.
zweiplaneten_01_lasswitz_f000008|Es geht über die Gletscher hin nach dem dunklen Felsgestein|Es geht über die Gletscher hin nach dem dunklen Felsgestein
zweiplaneten_01_lasswitz_f000009|das mit weiten Flecken bräunlicher Flechten bedeckt mitten unter den Eismassen sich emporbäumt.|das mit weiten Flecken bräunlicher Flechten bedeckt mitten unter den Eismassen sich emporbäumt.
zweiplaneten_01_lasswitz_f000010|Wieder schießt die Schlange in ein Tal hinab.|Wieder schießt die Schlange in ein Tal hinab.
zweiplaneten_01_lasswitz_f000011|Zwischen den Felsbrocken sproßt es grün und gelblich, Sauerampfer und Saxifragen schmücken den Boden|Zwischen den Felsbrocken sproßt es grün und gelblich, Sauerampfer und Saxifragen schmücken den Boden
