mattiapascal_01_pirandello_f000001|Il fu Mattia Pascal di Luigi Pirandello Capitulo Primo Premessa.|Il fu Mattia Pascal di Luigi Pirandello Capitulo Primo Premessa.
mattiapascal_01_pirandello_f000002|Una delle poche cose, anzi forse la sola ch'io sapessi di certo era questa: che mi chiamavo Mattia Pascal.|Una delle poche cose, anzi forse la sola ch'io sapessi di certo era questa: che mi chiamavo Mattia Pascal.
mattiapascal_01_pirandello_f000003|E me ne approfittavo.|E me ne approfittavo.
mattiapascal_01_pirandello_f000004|Ogni qual volta qualcuno de' miei amici o conoscenti dimostrava d'aver perduto il senno fino al punto di venire da me per qualche consiglio o suggerimento|Ogni qual volta qualcuno de' miei amici o conoscenti dimostrava d'aver perduto il senno fino al punto di venire da me per qualche consiglio o suggerimento
mattiapascal_01_pirandello_f000005|mi stringevo nelle spalle, socchiudevo gli occhi e gli rispondevo:|mi stringevo nelle spalle, socchiudevo gli occhi e gli rispondevo:
mattiapascal_01_pirandello_f000006|— Io mi chiamo Mattia Pascal. — Grazie, caro.|- Io mi chiamo Mattia Pascal. - Grazie, caro.
mattiapascal_01_pirandello_f000007|Questo lo so. — E ti par poco?|Questo lo so. - E ti par poco?
mattiapascal_01_pirandello_f000008|Non pareva molto, per dir la verità, neanche a me.|Non pareva molto, per dir la verità, neanche a me.
mattiapascal_01_pirandello_f000009|Ma ignoravo allora che cosa volesse dire il non sapere neppur questo|Ma ignoravo allora che cosa volesse dire il non sapere neppur questo
mattiapascal_01_pirandello_f000010|il non poter più rispondere, cioè, come prima, all'occorrenza:  — Io mi chiamo Mattia Pascal.|il non poter più rispondere, cioè, come prima, all'occorrenza:  - Io mi chiamo Mattia Pascal.
mattiapascal_01_pirandello_f000011|Qualcuno vorrà bene compiangermi (costa così poco), immaginando l'atroce cordoglio d'un disgraziato|Qualcuno vorrà bene compiangermi costa così poco, immaginando l'atroce cordoglio d'un disgraziato
mattiapascal_01_pirandello_f000012|al quale avvenga di scoprire tutt'a un tratto che...|al quale avvenga di scoprire tutt'a un tratto che...
mattiapascal_01_pirandello_f000013|sì, niente, insomma: né padre, né madre, né come fu o come non fu;|sì, niente, insomma: né padre, né madre, né come fu o come non fu;
mattiapascal_01_pirandello_f000014|e vorrà pur bene indignarsi (costa anche meno) della  corruzione dei costumi, e de' vizii|e vorrà pur bene indignarsi costa anche meno della  corruzione dei costumi, e de' vizii
mattiapascal_01_pirandello_f000015|e della tristezza dei tempi, che di tanto male possono esser cagione a un povero innocente.|e della tristezza dei tempi, che di tanto male possono esser cagione a un povero innocente.
mattiapascal_01_pirandello_f000016|Ebbene, si accomodi. Ma è mio dovere avvertirlo che non si tratta propriamente di questo.|Ebbene, si accomodi. Ma è mio dovere avvertirlo che non si tratta propriamente di questo.
mattiapascal_01_pirandello_f000017|Potrei qui esporre, di fatti, in un albero genealogico|Potrei qui esporre, di fatti, in un albero genealogico
mattiapascal_01_pirandello_f000018|l'origine e la discendenza della mia famiglia e dimostrare come qualmente non solo ho conosciuto mio padre e mia madre|l'origine e la discendenza della mia famiglia e dimostrare come qualmente non solo ho conosciuto mio padre e mia madre
mattiapascal_01_pirandello_f000019|ma e gli antenati miei e le loro azioni, in un lungo decorso di tempo, non tutte veramente lodevoli.|ma e gli antenati miei e le loro azioni, in un lungo decorso di tempo, non tutte veramente lodevoli.
mattiapascal_01_pirandello_f000020|E allora? Ecco: il mio caso è assai più strano e diverso;|E allora? Ecco: il mio caso è assai più strano e diverso;
mattiapascal_01_pirandello_f000021|tanto diverso e strano che mi faccio a narrarlo.|tanto diverso e strano che mi faccio a narrarlo.
mattiapascal_01_pirandello_f000022|Fui, per circa due anni, non so se più cacciatore di topi che guardiano di libri nella biblioteca che un monsignor Boccamazza|Fui, per circa due anni, non so se più cacciatore di topi che guardiano di libri nella biblioteca che un monsignor Boccamazza
mattiapascal_01_pirandello_f000023|nel mil ottocento tre, volle lasciar morendo al nostro Comune.|nel mil ottocento tre, volle lasciar morendo al nostro Comune.
mattiapascal_01_pirandello_f000024|È ben chiaro che questo Monsignore dovette conoscer poco l'indole e le abitudini de' suoi concittadini;|È ben chiaro che questo Monsignore dovette conoscer poco l'indole e le abitudini de' suoi concittadini;
mattiapascal_01_pirandello_f000025|o forse sperò che il suo lascito dovesse col tempo e con la comodità accendere nel loro animo l'amore per lo studio.|o forse sperò che il suo lascito dovesse col tempo e con la comodità accendere nel loro animo l'amore per lo studio.
mattiapascal_01_pirandello_f000026|Finora, ne posso rendere testimonianza|Finora, ne posso rendere testimonianza
mattiapascal_01_pirandello_f000027|non si è acceso: e questo dico in lode de' miei concittadini: Del dono anzi il Comune si dimostrò così poco grato al Boccamazza|non si è acceso: e questo dico in lode de' miei concittadini: Del dono anzi il Comune si dimostrò così poco grato al Boccamazza
mattiapascal_01_pirandello_f000028|che non volle neppure erigergli un mezzo busto pur che fosse|che non volle neppure erigergli un mezzo busto pur che fosse
mattiapascal_01_pirandello_f000029|e i libri lasciò per molti e molti anni accatastati in un vasto e umido magazzino, donde poi li trasse, pensate voi in quale stato|e i libri lasciò per molti e molti anni accatastati in un vasto e umido magazzino, donde poi li trasse, pensate voi in quale stato
mattiapascal_01_pirandello_f000030|per allogarli nella chiesetta fuori mano di Santa Maria Liberale, non so per qual ragione sconsacrata.|per allogarli nella chiesetta fuori mano di Santa Maria Liberale, non so per qual ragione sconsacrata.
mattiapascal_01_pirandello_f000031|Qua li affidò, senz'alcun discernimento, a titolo di beneficio, e come sinecura|Qua li affidò, senz'alcun discernimento, a titolo di beneficio, e come sinecura
mattiapascal_01_pirandello_f000032|a qualche sfaccendato ben protetto il quale, per due lire al giorno|a qualche sfaccendato ben protetto il quale, per due lire al giorno
mattiapascal_01_pirandello_f000033|stando a guardarli, o anche senza guardarli affatto, ne avesse sopportato per alcune ore il tanfo della muffa e del vecchiume.|stando a guardarli, o anche senza guardarli affatto, ne avesse sopportato per alcune ore il tanfo della muffa e del vecchiume.
mattiapascal_01_pirandello_f000034|Tal sorte toccò anche a me;|Tal sorte toccò anche a me;
mattiapascal_01_pirandello_f000035|e fin dal primo giorno io concepii così misera stima dei libri|e fin dal primo giorno io concepii così misera stima dei libri
mattiapascal_01_pirandello_f000036|sieno essi a stampa o manoscritti (come alcuni antichissimi della nostra biblioteca)|sieno essi a stampa o manoscritti come alcuni antichissimi della nostra biblioteca
mattiapascal_01_pirandello_f000037|che ora non mi sarei mai e poi mai messo a scrivere, se, come ho detto|che ora non mi sarei mai e poi mai messo a scrivere, se, come ho detto
mattiapascal_01_pirandello_f000038|non stimassi davvero strano il mio caso e tale da poter servire d'ammaestramento a qualche curioso lettore|non stimassi davvero strano il mio caso e tale da poter servire d'ammaestramento a qualche curioso lettore
mattiapascal_01_pirandello_f000039|che per avventura, riducendosi finalmente a effetto l'antica speranza della buon'anima di monsignor Boccamazza|che per avventura, riducendosi finalmente a effetto l'antica speranza della buon'anima di monsignor Boccamazza
mattiapascal_01_pirandello_f000040|capitasse in questa biblioteca|capitasse in questa biblioteca
mattiapascal_01_pirandello_f000041|a cui io lascio questo mio manoscritto|a cui io lascio questo mio manoscritto
mattiapascal_01_pirandello_f000042|con l'obbligo però che nessuno possa aprirlo se non cinquant'anni dopo la mia terza, ultima e definitiva morte.|con l'obbligo però che nessuno possa aprirlo se non cinquant'anni dopo la mia terza, ultima e definitiva morte.
mattiapascal_01_pirandello_f000043|Giacché, per il momento (e Dio sa quanto me ne duole), io sono morto, sì, già due volte, ma la prima per errore, e la seconda...|Giacché, per il momento e Dio sa quanto me ne duole, io sono morto, sì, già due volte, ma la prima per errore, e la seconda...
mattiapascal_01_pirandello_f000044|sentirete.|sentirete.
mattiapascal_01_pirandello_f000045|Capitulo Secondo Premessa Seconda (filosofica) A mo' di Scusa.|Capitulo Secondo Premessa Seconda filosofica A mo' di Scusa.
mattiapascal_01_pirandello_f000046|L'idea o piuttosto, il consiglio di scrivere mi è venuto dal mio reverendo amico don Eligio Pellegrinotto|L'idea o piuttosto, il consiglio di scrivere mi è venuto dal mio reverendo amico don Eligio Pellegrinotto
mattiapascal_01_pirandello_f000047|che al presente ha in custodia i libri della Boccamazza, e al quale io affido il manoscritto appena sarà terminato, se mai sarà.|che al presente ha in custodia i libri della Boccamazza, e al quale io affido il manoscritto appena sarà terminato, se mai sarà.
mattiapascal_01_pirandello_f000048|Lo scrivo qua, nella chiesetta sconsacrata, al lume che mi viene dalla lanterna lassù, della cupola;|Lo scrivo qua, nella chiesetta sconsacrata, al lume che mi viene dalla lanterna lassù, della cupola;
mattiapascal_01_pirandello_f000049|qua, nell'abside riservata al bibliotecario e chiusa da una bassa cancellata di legno a pilastrini|qua, nell'abside riservata al bibliotecario e chiusa da una bassa cancellata di legno a pilastrini
mattiapascal_01_pirandello_f000050|mentre don Eligio sbuffa sotto l'incarico che si è eroicamente assunto di mettere un po' d'ordine in questa vera babilonia di libri.|mentre don Eligio sbuffa sotto l'incarico che si è eroicamente assunto di mettere un po' d'ordine in questa vera babilonia di libri.
mattiapascal_01_pirandello_f000051|Temo che non ne verrà mai a capo.|Temo che non ne verrà mai a capo.
mattiapascal_01_pirandello_f000052|Nessuno prima di lui s'era curato di sapere, almeno all'ingrosso, dando di sfuggita un'occhiata ai dorsi|Nessuno prima di lui s'era curato di sapere, almeno all'ingrosso, dando di sfuggita un'occhiata ai dorsi
mattiapascal_01_pirandello_f000053|che razza di libri quel Monsignore avesse donato al Comune: si riteneva che tutti o quasi dovessero trattare di materie religiose.|che razza di libri quel Monsignore avesse donato al Comune: si riteneva che tutti o quasi dovessero trattare di materie religiose.
mattiapascal_01_pirandello_f000054|Ora il Pellegrinotto ha scoperto, per maggior sua consolazione, una varietà grandissima di materie nella biblioteca di Monsignore;|Ora il Pellegrinotto ha scoperto, per maggior sua consolazione, una varietà grandissima di materie nella biblioteca di Monsignore;
mattiapascal_01_pirandello_f000055|e siccome i libri furon presi di qua e di là nel magazzino e accozzati così come venivano sotto mano, la confusione è indescrivibile.|e siccome i libri furon presi di qua e di là nel magazzino e accozzati così come venivano sotto mano, la confusione è indescrivibile.
mattiapascal_01_pirandello_f000056|Si sono strette per la vicinanza fra questi libri amicizie oltre ogni dire speciose: don Eligio Pellegrinotto mi ha detto, ad esempio|Si sono strette per la vicinanza fra questi libri amicizie oltre ogni dire speciose: don Eligio Pellegrinotto mi ha detto, ad esempio
mattiapascal_01_pirandello_f000057|che ha stentato non poco a staccare da un trattato molto licenzioso Dell'arte di amar le donne libri tre di Anton Muzio Porro|che ha stentato non poco a staccare da un trattato molto licenzioso Dell'arte di amar le donne libri tre di Anton Muzio Porro
