novelle05_01_pirandello_f000001|Novelle per un anno di luigi pirandello|Novelle per un anno di luigi pirandello
novelle05_01_pirandello_f000002|LA MOSCA.|LA MOSCA.
novelle05_01_pirandello_f000003|Trafelati, ansanti, per far più presto, quando furono sotto il borgo, — sú, di qua, coraggio!|Trafelati, ansanti, per far più presto, quando furono sotto il borgo, - sú, di qua, coraggio!
novelle05_01_pirandello_f000004|— s’arrampicarono per la scabra ripa cretosa|- sarrampicarono per la scabra ripa cretosa
novelle05_01_pirandello_f000005|ajutandosi anche con le mani — forza! forza! — poiché gli scarponi imbullettati — Dio sacrato! — scivolavano.|ajutandosi anche con le mani - forza! forza! - poiché gli scarponi imbullettati - Dio sacrato! - scivolavano.
novelle05_01_pirandello_f000006|Appena s’affacciarono paonazzi sulla ripa, le donne|Appena saffacciarono paonazzi sulla ripa, le donne
novelle05_01_pirandello_f000007|affollate e vocianti intorno alla fontanella all’uscita del paese, si voltarono tutte a guardare.|affollate e vocianti intorno alla fontanella alluscita del paese, si voltarono tutte a guardare.
novelle05_01_pirandello_f000008|O non erano i fratelli Tortorici, quei due là? Sí, Neli e Saro Tortorici.|O non erano i fratelli Tortorici, quei due là? Sí, Neli e Saro Tortorici.
novelle05_01_pirandello_f000009|Oh poveretti! E perché correvano cosí?|Oh poveretti! E perché correvano cosí?
novelle05_01_pirandello_f000010|Neli, il minore dei fratelli, non potendone più, si fermò un momento per tirar fiato e rispondere a quelle donne;|Neli, il minore dei fratelli, non potendone più, si fermò un momento per tirar fiato e rispondere a quelle donne;
novelle05_01_pirandello_f000011|ma Saro se lo trascinò via, per un braccio.|ma Saro se lo trascinò via, per un braccio.
novelle05_01_pirandello_f000012|— Giurlannu Zarú, nostro cugino! — disse allora Neli, voltandosi, e alzò una mano in atto di benedire.|- Giurlannu Zarú, nostro cugino! - disse allora Neli, voltandosi, e alzò una mano in atto di benedire.
novelle05_01_pirandello_f000013|Le donne proruppero in esclamazioni di compianto e di orrore;|Le donne proruppero in esclamazioni di compianto e di orrore;
novelle05_01_pirandello_f000014|una domandò, forte: — Chi è stato?|una domandò, forte: - Chi è stato?
novelle05_01_pirandello_f000015|— Nessuno: Dio! — gridò Neli da lontano.|- Nessuno: Dio! - gridò Neli da lontano.
novelle05_01_pirandello_f000016|Voltarono, corsero alla piazzetta, ov’era la casa del medico condotto.|Voltarono, corsero alla piazzetta, overa la casa del medico condotto.
novelle05_01_pirandello_f000017|Il signor dottore, Sidoro Lopiccolo, scamiciato, spettorato|Il signor dottore, Sidoro Lopiccolo, scamiciato, spettorato
novelle05_01_pirandello_f000018|con una barbaccia di almeno dieci giorni su le guance flosce, e gli occhi gonfi e cisposi|con una barbaccia di almeno dieci giorni su le guance flosce, e gli occhi gonfi e cisposi
novelle05_01_pirandello_f000019|s’aggirava per le stanze, strascicando le ciabatte e reggendo su le braccia una povera malatuccia ingiallita|saggirava per le stanze, strascicando le ciabatte e reggendo su le braccia una povera malatuccia ingiallita
novelle05_01_pirandello_f000020|pelle e ossa, di circa nove anni.|pelle e ossa, di circa nove anni.
novelle05_01_pirandello_f000021|La moglie, in un fondo di letto, da undici mesi;|La moglie, in un fondo di letto, da undici mesi;
novelle05_01_pirandello_f000022|sei figliuoli per casa, oltre a quella che teneva in braccio, ch’era la maggiore, laceri, sudici, inselvaggiti;|sei figliuoli per casa, oltre a quella che teneva in braccio, chera la maggiore, laceri, sudici, inselvaggiti;
novelle05_01_pirandello_f000023|tutta la casa, sossopra, una rovina: cocci di piatti, bucce, l’immondizia a mucchi sui pavimenti;|tutta la casa, sossopra, una rovina: cocci di piatti, bucce, limmondizia a mucchi sui pavimenti;
novelle05_01_pirandello_f000024|seggiole rotte, poltrone sfondate, letti non più rifatti chi sa da quanto tempo|seggiole rotte, poltrone sfondate, letti non più rifatti chi sa da quanto tempo
novelle05_01_pirandello_f000025|con le coperte a brandelli, perché i ragazzi si spassavano a far la guerra sui letti, a cuscinate;|con le coperte a brandelli, perché i ragazzi si spassavano a far la guerra sui letti, a cuscinate;
novelle05_01_pirandello_f000026|bellini! Solo intatto, in una stanza ch’era stata salottino, un ritratto fotografico ingrandito, appeso alla parete;|bellini! Solo intatto, in una stanza chera stata salottino, un ritratto fotografico ingrandito, appeso alla parete;
novelle05_01_pirandello_f000027|il ritratto di lui, del signor dottore Sidoro Lopiccolo, quand’era ancora giovincello, laureato di fresco: lindo, attillato e sorridente.|il ritratto di lui, del signor dottore Sidoro Lopiccolo, quandera ancora giovincello, laureato di fresco: lindo, attillato e sorridente.
novelle05_01_pirandello_f000028|Davanti a questo ritratto egli si recava ora, ciabattando;|Davanti a questo ritratto egli si recava ora, ciabattando;
novelle05_01_pirandello_f000029|gli mostrava i denti in un ghigno aggraziato, s’inchinava e gli presentava la figliuola malata, allungando le braccia.|gli mostrava i denti in un ghigno aggraziato, sinchinava e gli presentava la figliuola malata, allungando le braccia.
novelle05_01_pirandello_f000030|— Sisiné, eccoti qua! Perché cosí, Sisiné, lo chiamava per vezzeggiarlo sua madre, allora;|- Sisiné, eccoti qua! Perché cosí, Sisiné, lo chiamava per vezzeggiarlo sua madre, allora;
