novelle03_01_pirandello_f000001|Novelle per un anno di luigi pirandello|Novelle per un anno di luigi pirandello
novelle03_01_pirandello_f000002|LA RALLEGRATA.|LA RALLEGRATA.
novelle03_01_pirandello_f000003|Appena il capostalla se n’andò, bestemmiando più del solito, Fofo si volse a Nero|Appena il capostalla se nandò, bestemmiando più del solito, Fofo si volse a Nero
novelle03_01_pirandello_f000004|suo compagno di mangiatoja, nuovo arrivato, e sospirò: — Ho capito! Gualdrappe, fiocchi e pennacchi.|suo compagno di mangiatoja, nuovo arrivato, e sospirò: - Ho capito! Gualdrappe, fiocchi e pennacchi.
novelle03_01_pirandello_f000005|Cominci bene, caro mio! Oggi è di prima classe.|Cominci bene, caro mio! Oggi è di prima classe.
novelle03_01_pirandello_f000006|Nero voltò la testa dall’altra parte.|Nero voltò la testa dallaltra parte.
novelle03_01_pirandello_f000007|Non sbruffò, perché era un cavallo bene educato.|Non sbruffò, perché era un cavallo bene educato.
novelle03_01_pirandello_f000008|Ma non voleva dar confidenza a quel Fofo.|Ma non voleva dar confidenza a quel Fofo.
novelle03_01_pirandello_f000009|Veniva da una scuderia principesca, lui, dove uno si poteva specchiare nei muri: greppie di faggio a ogni posta|Veniva da una scuderia principesca, lui, dove uno si poteva specchiare nei muri: greppie di faggio a ogni posta
novelle03_01_pirandello_f000010|campanelle d’ottone, battifianchi imbottiti di cuojo e colonnini col pomo lucente.|campanelle dottone, battifianchi imbottiti di cuojo e colonnini col pomo lucente.
novelle03_01_pirandello_f000011|Mah! Il giovane principe, tutto dedito ora a quelle carrozze strepitose, che fanno – pazienza|Mah! Il giovane principe, tutto dedito ora a quelle carrozze strepitose, che fanno - pazienza
novelle03_01_pirandello_f000012|puzzo – ma anche fumo di dietro e scappano sole, non contento che già tre volte gli avessero fatto correre il rischio di rompersi il collo|puzzo - ma anche fumo di dietro e scappano sole, non contento che già tre volte gli avessero fatto correre il rischio di rompersi il collo
novelle03_01_pirandello_f000013|subito appena colpita di paralisi la vecchia principessa (che di quelle diavole là, oh benedetta!, non aveva voluto mai saperne)|subito appena colpita di paralisi la vecchia principessa che di quelle diavole là, oh benedetta!, non aveva voluto mai saperne
novelle03_01_pirandello_f000014|s’era affrettato a disfarsi, tanto di lui, quanto di Corbino, gli ultimi rimasti nella scuderia, per il placido landò della madre.|sera affrettato a disfarsi, tanto di lui, quanto di Corbino, gli ultimi rimasti nella scuderia, per il placido landò della madre.
novelle03_01_pirandello_f000015|Povero Corbino, chi sa dov’era andato a finire, dopo tant’anni d’onorato servizio! Il buon Giuseppe|Povero Corbino, chi sa dovera andato a finire, dopo tantanni donorato servizio! Il buon Giuseppe
novelle03_01_pirandello_f000016|il vecchio cocchiere, aveva loro promesso che|il vecchio cocchiere, aveva loro promesso che
novelle03_01_pirandello_f000017|andando a baciar la mano con gli altri vecchi servi fidati alla principessa|andando a baciar la mano con gli altri vecchi servi fidati alla principessa
novelle03_01_pirandello_f000018|relegata ormai per sempre in una poltrona, avrebbe interceduto per essi.|relegata ormai per sempre in una poltrona, avrebbe interceduto per essi.
novelle03_01_pirandello_f000019|Ma che! Dal modo con cui il buon vecchio, ritornato poco dopo, li aveva accarezzati al collo e sui fianchi|Ma che! Dal modo con cui il buon vecchio, ritornato poco dopo, li aveva accarezzati al collo e sui fianchi
novelle03_01_pirandello_f000020|subito l’uno e l’altro avevano capito che ogni speranza era perduta e la loro sorte decisa. Sarebbero stati venduti.|subito luno e laltro avevano capito che ogni speranza era perduta e la loro sorte decisa. Sarebbero stati venduti.
novelle03_01_pirandello_f000021|E difatti… Nero non comprendeva ancora, dove fosse capitato. Male, proprio male, no.|E difatti Nero non comprendeva ancora, dove fosse capitato. Male, proprio male, no.
novelle03_01_pirandello_f000022|Certo, non era la scuderia della principessa.|Certo, non era la scuderia della principessa.
novelle03_01_pirandello_f000023|Ma una buona scuderia era anche questa.|Ma una buona scuderia era anche questa.
novelle03_01_pirandello_f000024|più di venti cavalli, tutti mori e tutti anzianotti, ma di bella presenza, dignitosi e pieni di gravità.|più di venti cavalli, tutti mori e tutti anzianotti, ma di bella presenza, dignitosi e pieni di gravità.
novelle03_01_pirandello_f000025|Oh, per gravità, forse ne avevano anche troppa! Che anch’essi comprendessero bene l’ufficio a cui erano addetti, Nero dubitava.|Oh, per gravità, forse ne avevano anche troppa! Che anchessi comprendessero bene lufficio a cui erano addetti, Nero dubitava.
novelle03_01_pirandello_f000026|Gli pareva che tutti quanti, anzi, stessero di continuo a pensarci, senza tuttavia venirne a capo.|Gli pareva che tutti quanti, anzi, stessero di continuo a pensarci, senza tuttavia venirne a capo.
novelle03_01_pirandello_f000027|Quel dondolío lento di code prolisse, quel raspare di zoccoli, di tratto in tratto, certo erano di cavalli cogitabondi.|Quel dondolío lento di code prolisse, quel raspare di zoccoli, di tratto in tratto, certo erano di cavalli cogitabondi.
novelle03_01_pirandello_f000028|Solo quel Fofo era sicuro, sicurissimo d’aver capito bene ogni cosa.|Solo quel Fofo era sicuro, sicurissimo daver capito bene ogni cosa.
novelle03_01_pirandello_f000029|Bestia volgare e presuntuosa! Brocco di reggimento, scartato dopo tre anni di servizio|Bestia volgare e presuntuosa! Brocco di reggimento, scartato dopo tre anni di servizio
novelle03_01_pirandello_f000030|perché – a suo dire – un tanghero di cavalleggere abruzzese lo aveva sgroppato, non faceva che parlare e parlare.|perché - a suo dire - un tanghero di cavalleggere abruzzese lo aveva sgroppato, non faceva che parlare e parlare.
novelle03_01_pirandello_f000031|Nero, col cuore ancor pieno di rimpianto per il suo vecchio amico, non poteva soffrirlo.|Nero, col cuore ancor pieno di rimpianto per il suo vecchio amico, non poteva soffrirlo.
novelle03_01_pirandello_f000032|più di tutto lo urtava quel tratto confidenziale, e poi la continua maldicenza sui compagni di stalla.|più di tutto lo urtava quel tratto confidenziale, e poi la continua maldicenza sui compagni di stalla.
novelle03_01_pirandello_f000033|Dio, che lingua! Di venti, non se ne salvava uno! Questo era cosí, quello cosà.|Dio, che lingua! Di venti, non se ne salvava uno! Questo era cosí, quello cosà.
novelle03_01_pirandello_f000034|— La coda… guardami là, per piacere, se quella è una coda! se quello è un modo di muovere la coda! Che brio, eh?|- La coda guardami là, per piacere, se quella è una coda! se quello è un modo di muovere la coda! Che brio, eh?
novelle03_01_pirandello_f000035|«Cavallo da medico, te lo dico io.|Cavallo da medico, te lo dico io.
novelle03_01_pirandello_f000036|«E là, là, guardami là quel bel truttrú calabrese, come crolla con grazia le orecchie di porco.|E là, là, guardami là quel bel truttrú calabrese, come crolla con grazia le orecchie di porco.
novelle03_01_pirandello_f000037|E che bel ciuffo! e che bella barbozza! Brioso anche lui, non ti pare?|E che bel ciuffo! e che bella barbozza! Brioso anche lui, non ti pare?
novelle03_01_pirandello_f000038|«Ogni tanto si sogna di non esser castrone, e vuol fare all’amore con quella cavalla là, tre poste a destra, la vedi?|Ogni tanto si sogna di non esser castrone, e vuol fare allamore con quella cavalla là, tre poste a destra, la vedi?
novelle03_01_pirandello_f000039|con la testa di vecchia, bassa davanti e la pancia fin a terra. «Ma quella è una cavalla?|con la testa di vecchia, bassa davanti e la pancia fin a terra. Ma quella è una cavalla?
novelle03_01_pirandello_f000040|Quella è una vacca, te lo dico io.|Quella è una vacca, te lo dico io.
novelle03_01_pirandello_f000041|E se sapessi come la va con passo di scuola! Pare che si scotti gli zoccoli, toccando terra.|E se sapessi come la va con passo di scuola! Pare che si scotti gli zoccoli, toccando terra.
novelle03_01_pirandello_f000042|Eppure, certe saponate, amico mio! Già, perché è di bocca fresca.|Eppure, certe saponate, amico mio! Già, perché è di bocca fresca.
novelle03_01_pirandello_f000043|Deve ancor pareggiare i cantoni, figúrati!».|Deve ancor pareggiare i cantoni, figúrati!.
novelle03_01_pirandello_f000044|Invano Nero dimostrava in tutti i modi a quel Fofo di non volergli dare ascolto.|Invano Nero dimostrava in tutti i modi a quel Fofo di non volergli dare ascolto.
novelle03_01_pirandello_f000045|Fofo imperversava sempre più. Per fargli dispetto. — Sai dove siamo noi?|Fofo imperversava sempre più. Per fargli dispetto. - Sai dove siamo noi?
novelle03_01_pirandello_f000046|Siamo in un ufficio di spedizione. Ce n’è di tante specie.|Siamo in un ufficio di spedizione. Ce nè di tante specie.
novelle03_01_pirandello_f000047|Questo è detto delle pompe funebri.|Questo è detto delle pompe funebri.
novelle03_01_pirandello_f000048|«Pompa funebre sai che vuol dire?|Pompa funebre sai che vuol dire?
novelle03_01_pirandello_f000049|Vuol dire tirare un carro nero di forma curiosa, alto|Vuol dire tirare un carro nero di forma curiosa, alto
novelle03_01_pirandello_f000050|con quattro colonnini che reggono il cielo, tutto adorno di balze e paramenti e dorature.|con quattro colonnini che reggono il cielo, tutto adorno di balze e paramenti e dorature.
novelle03_01_pirandello_f000051|Insomma, un bel carrozzone di lusso.|Insomma, un bel carrozzone di lusso.
