tschun_01_f000001|Tschun war ein schmutziger kleiner chinesischer Junge.|Tschun war ein schmutziger kleiner chinesischer Junge.
tschun_01_f000002|Er war nicht schmutziger als andere kleine chinesische Jungen.|Er war nicht schmutziger als andere kleine chinesische Jungen.
tschun_01_f000003|Er war im Gegenteil etwas reiner. Denn Tschuns Mutter war Christin. Und Christentum bedeutet in China unter anderem auch gelegentliches Waschen.|Er war im Gegenteil etwas reiner. Denn Tschuns Mutter war Christin. Und Christentum bedeutet in China unter anderem auch gelegentliches Waschen.
tschun_01_f000004|Das Häuschen seiner Mutter stand nahe am Petang. Der Petang ist eine große weiße Kirche;|Das Häuschen seiner Mutter stand nahe am Petang. Der Petang ist eine große weiße Kirche;
tschun_01_f000005|sie ist dicht umdrängt von einer Menge kleiner grauer Häuschen, in denen lauter Christen wohnen.|sie ist dicht umdrängt von einer Menge kleiner grauer Häuschen, in denen lauter Christen wohnen.
tschun_01_f000006|So sieht sie aus wie ein stolzer weißer Vogel, unter dessen schneeigem Gefieder kleine graue Vogelbabies Schutz suchen.|So sieht sie aus wie ein stolzer weißer Vogel, unter dessen schneeigem Gefieder kleine graue Vogelbabies Schutz suchen.
tschun_01_f000007|Dieser Anblick begeisterte einmal einen Missionar zu einer schwungvollen Rede, in der er den Chinesen sagte:|Dieser Anblick begeisterte einmal einen Missionar zu einer schwungvollen Rede, in der er den Chinesen sagte:
tschun_01_f000008|Die Kirche ist gleich einem schönen weißen Schwan, Ihr alle seid noch häßliche braune Kücken, aber beharrt nur im rechten Glauben,|Die Kirche ist gleich einem schönen weißen Schwan, Ihr alle seid noch häßliche braune Kücken, aber beharrt nur im rechten Glauben,
tschun_01_f000009|dann werdet Ihr auch einmal schwanengleich zum Himmel fliegen.|dann werdet Ihr auch einmal schwanengleich zum Himmel fliegen.
tschun_01_f000010|Zwecks Heidenbekehrung war diesem Missionar die Gabe beredter Bildersprache verliehen.|Zwecks Heidenbekehrung war diesem Missionar die Gabe beredter Bildersprache verliehen.
tschun_01_f000011|Auf Logik kommt es dabei weniger an. – Mit Logik ist auch noch nie jemand bekehrt worden. Das sind Gefühlssachen. Manchmal auch Geldsachen.|Auf Logik kommt es dabei weniger an. - Mit Logik ist auch noch nie jemand bekehrt worden. Das sind Gefühlssachen. Manchmal auch Geldsachen.
tschun_01_f000012|Der Petang war für Tschun und seine Verwandten und all die Christen rund herum eine Gefühlssache.|Der Petang war für Tschun und seine Verwandten und all die Christen rund herum eine Gefühlssache.
tschun_01_f000013|Er war in ihrem Leben das Schöne. – Sie hätten darüber nicht zu reden vermocht, denn es war ja auch nicht der kleinste Professor der Ästhetik unter ihnen.|Er war in ihrem Leben das Schöne. - Sie hätten darüber nicht zu reden vermocht, denn es war ja auch nicht der kleinste Professor der Ästhetik unter ihnen.
tschun_01_f000014|Aber die ganze Woche freuten sie sich auf den Sonntagmorgen.|Aber die ganze Woche freuten sie sich auf den Sonntagmorgen.
tschun_01_f000015|Da zogen sie sich ihre besten Kleider an und gingen in die große weiße Kirche.|Da zogen sie sich ihre besten Kleider an und gingen in die große weiße Kirche.
tschun_01_f000016|Und die Frauen nahmen ihre kleinsten Kinder mit und blieben dort so lange wie nur irgend möglich, bis zum letzten Orgelton.|Und die Frauen nahmen ihre kleinsten Kinder mit und blieben dort so lange wie nur irgend möglich, bis zum letzten Orgelton.
tschun_01_f000017|Im Innern der Kirche war es zuerst etwas dämmerig. Tschun kam die Decke der Kirche so weit und hoch vor,|Im Innern der Kirche war es zuerst etwas dämmerig. Tschun kam die Decke der Kirche so weit und hoch vor,
tschun_01_f000018|als reiche sie hinauf in den Himmel, und oben waren ja auch eine Menge goldener Sterne, ganz wie nachts am wirklichen Himmel,|als reiche sie hinauf in den Himmel, und oben waren ja auch eine Menge goldener Sterne, ganz wie nachts am wirklichen Himmel,
tschun_01_f000019|nur daß der schwarz war, und hier standen die goldenen Sterne auf einem blitzblauen Grunde.|nur daß der schwarz war, und hier standen die goldenen Sterne auf einem blitzblauen Grunde.
tschun_01_f000020|Es war aber gewiß am schönsten so, denn den ganzen Petang und alles darinnen hatte sich ja der gute Bischof mit dem weißen Bart ausgedacht und dann geschaffen.|Es war aber gewiß am schönsten so, denn den ganzen Petang und alles darinnen hatte sich ja der gute Bischof mit dem weißen Bart ausgedacht und dann geschaffen.
tschun_01_f000021|Der Bischof, meinte Tschun, mußte darum sicher ein naher Verwandter des lieben Gottes sein.|Der Bischof, meinte Tschun, mußte darum sicher ein naher Verwandter des lieben Gottes sein.
tschun_01_f000022|Tschun fand den Altar mit den Lichtern und bunten Papierblumen wunderschön, und die Priester trugen so herrliche Kleider;|Tschun fand den Altar mit den Lichtern und bunten Papierblumen wunderschön, und die Priester trugen so herrliche Kleider;
tschun_01_f000023|an hohen Festtagen schienen sie von Gold und Silber zu flimmern; Tschun konnte sich gar nicht so viele Kupfermünzen zusammendenken, wie ein solches Kleid kosten mußte.|an hohen Festtagen schienen sie von Gold und Silber zu flimmern; Tschun konnte sich gar nicht so viele Kupfermünzen zusammendenken, wie ein solches Kleid kosten mußte.
tschun_01_f000024|Im Petang gab es eine Menge Priester. Manche von ihnen waren von fernher über das Wasser gekommen aus fremden Ländern.|Im Petang gab es eine Menge Priester. Manche von ihnen waren von fernher über das Wasser gekommen aus fremden Ländern.
tschun_01_f000025|Klein-Tschun verstand nicht recht, was das heiße; erst allmählich begriff er es und schloß, daß es wohl eine Folge des beklagenswerten Fremdseins sei,|Klein-Tschun verstand nicht recht, was das heiße; erst allmählich begriff er es und schloß, daß es wohl eine Folge des beklagenswerten Fremdseins sei,
tschun_01_f000026|daß auf diesen Priestern der Zopf und die chinesische Tracht nie so ganz richtig aussahen.|daß auf diesen Priestern der Zopf und die chinesische Tracht nie so ganz richtig aussahen.
tschun_01_f000027|Es gab aber auch ganz echte Chinesen unter den Priestern.|Es gab aber auch ganz echte Chinesen unter den Priestern.
