l_ile_mysterieuse_1_01_f000001|Remontons-nous?|Remontons-nous?
l_ile_mysterieuse_1_01_f000002|-- Non! Au contraire! Nous descendons! -- Pis que cela, monsieur Cyrus! Nous tombons!|-- Non! Au contraire! Nous descendons! -- Pis que cela, monsieur Cyrus! Nous tombons!
l_ile_mysterieuse_1_01_f000003|-- Pour Dieu! Jetez du lest! -- Voilà le dernier sac vidé!|-- Pour Dieu! Jetez du lest! -- Voilà le dernier sac vidé!
l_ile_mysterieuse_1_01_f000004|-- Le ballon se relève-t-il? -- Non!|-- Le ballon se relève-t-il? -- Non!
l_ile_mysterieuse_1_01_f000005|-- J'entends comme un clapotement de vagues! -- La mer est sous la nacelle!|-- J'entends comme un clapotement de vagues! -- La mer est sous la nacelle!
l_ile_mysterieuse_1_01_f000006|-- Elle ne doit pas être à cinq cents pieds de nous!|-- Elle ne doit pas être à cinq cents pieds de nous!
l_ile_mysterieuse_1_01_f000007|Alors une voix puissante déchira l'air, et ces mots retentirent: Dehors tout ce qui pèse!... tout! et à la grâce de Dieu!|Alors une voix puissante déchira l'air, et ces mots retentirent: Dehors tout ce qui pèse!... tout! et à la grâce de Dieu!
l_ile_mysterieuse_1_01_f000008|Telles sont les paroles qui éclataient en l'air, au-dessus de ce vaste désert d'eau du Pacifique, vers quatre heures du soir, dans la journée du 23 mars 1865.|Telles sont les paroles qui éclataient en l'air, au-dessus de ce vaste désert d'eau du Pacifique, vers quatre heures du soir, dans la journée du 23 mars 1865.
l_ile_mysterieuse_1_01_f000009|Personne n'a sans doute oublié le terrible coup de vent de nord- est qui se déchaîna au milieu de l'équinoxe de cette année, et pendant lequel le baromètre tomba à sept cent dix millimètres.|Personne n'a sans doute oublié le terrible coup de vent de nord- est qui se déchaîna au milieu de l'équinoxe de cette année, et pendant lequel le baromètre tomba à sept cent dix millimètres.
l_ile_mysterieuse_1_01_f000010|Ce fut un ouragan, sans intermittence, qui dura du 18 au 26 mars.|Ce fut un ouragan, sans intermittence, qui dura du 18 au 26 mars.
l_ile_mysterieuse_1_01_f000011|Les ravages qu'il produisit furent immenses en Amérique, en Europe, en Asie, sur une zone large de dix-huit cents milles, qui se dessinait obliquement à l'équateur,|Les ravages qu'il produisit furent immenses en Amérique, en Europe, en Asie, sur une zone large de dix-huit cents milles, qui se dessinait obliquement à l'équateur,
l_ile_mysterieuse_1_01_f000012|depuis le trente-cinquième parallèle nord jusqu'au quarantième parallèle sud!|depuis le trente-cinquième parallèle nord jusqu'au quarantième parallèle sud!
l_ile_mysterieuse_1_01_f000013|Villes renversées, forêts déracinées, rivages dévastés par des montagnes d'eau qui se précipitaient comme des mascarets, navires jetés à la côte,|Villes renversées, forêts déracinées, rivages dévastés par des montagnes d'eau qui se précipitaient comme des mascarets, navires jetés à la côte,
l_ile_mysterieuse_1_01_f000014|que les relevés du Bureau-Veritas chiffrèrent par centaines, territoires entiers nivelés par des trombes qui broyaient tout sur leur passage, plusieurs milliers de personnes écrasées sur terre ou englouties en mer:|que les relevés du Bureau-Veritas chiffrèrent par centaines, territoires entiers nivelés par des trombes qui broyaient tout sur leur passage, plusieurs milliers de personnes écrasées sur terre ou englouties en mer:
l_ile_mysterieuse_1_01_f000015|tels furent les témoignages de sa fureur, qui furent laissés après lui par ce formidable ouragan.|tels furent les témoignages de sa fureur, qui furent laissés après lui par ce formidable ouragan.
l_ile_mysterieuse_1_01_f000016|Il dépassait en désastres ceux qui ravagèrent si épouvantablement la Havane et la Guadeloupe, l'un le 25 octobre 1810, l'autre le 26 juillet 1825.|Il dépassait en désastres ceux qui ravagèrent si épouvantablement la Havane et la Guadeloupe, l'un le 25 octobre 1810, l'autre le 26 juillet 1825.
l_ile_mysterieuse_1_01_f000017|Or, au moment même où tant de catastrophes s'accomplissaient sur terre et sur mer, un drame, non moins saisissant, se jouait dans les airs bouleversés.|Or, au moment même où tant de catastrophes s'accomplissaient sur terre et sur mer, un drame, non moins saisissant, se jouait dans les airs bouleversés.
l_ile_mysterieuse_1_01_f000018|En effet, un ballon, porté comme une boule au sommet d'une trombe, et pris dans le mouvement giratoire de la colonne d'air, parcourait l'espace avec une vitesse de quatre- vingt-dix milles à l'heure, en tournant sur lui-même, comme s'il eût été saisi par quelque maelström aérien.|En effet, un ballon, porté comme une boule au sommet d'une trombe, et pris dans le mouvement giratoire de la colonne d'air, parcourait l'espace avec une vitesse de quatre- vingt-dix milles à l'heure, en tournant sur lui-même, comme s'il eût été saisi par quelque maelstroem aérien.
l_ile_mysterieuse_1_01_f000019|Au-dessous de l'appendice inférieur de ce ballon oscillait une nacelle, qui contenait cinq passagers, à peine visibles au milieu de ces épaisses vapeurs,|Au-dessous de l'appendice inférieur de ce ballon oscillait une nacelle, qui contenait cinq passagers, à peine visibles au milieu de ces épaisses vapeurs,
l_ile_mysterieuse_1_01_f000020|mêlées d'eau pulvérisée, qui traînaient jusqu'à la surface de l'Océan.|mêlées d'eau pulvérisée, qui traînaient jusqu'à la surface de l'Océan.
l_ile_mysterieuse_1_01_f000021|D'où venait cet aérostat, véritable jouet de l'effroyable tempête?|D'où venait cet aérostat, véritable jouet de l'effroyable tempête?
l_ile_mysterieuse_1_01_f000022|De quel point du monde s'était-il élancé? Il n'avait évidemment pas pu partir pendant l'ouragan.|De quel point du monde s'était-il élancé? Il n'avait évidemment pas pu partir pendant l'ouragan.
l_ile_mysterieuse_1_01_f000023|Or, l'ouragan durait depuis cinq jours déjà, et ses premiers symptômes s'étaient manifestés le 18.|Or, l'ouragan durait depuis cinq jours déjà, et ses premiers symptômes s'étaient manifestés le 18.
l_ile_mysterieuse_1_01_f000024|On eût donc été fondé à croire que ce ballon venait de très loin, car il n'avait pas dû franchir moins de deux mille milles par vingt-quatre heures?|On eût donc été fondé à croire que ce ballon venait de très loin, car il n'avait pas dû franchir moins de deux mille milles par vingt-quatre heures?
l_ile_mysterieuse_1_01_f000025|en tout cas, les passagers n'avaient pu avoir à leur disposition aucun moyen d'estimer la route parcourue depuis leur départ, car tout point de repère leur manquait.|en tout cas, les passagers n'avaient pu avoir à leur disposition aucun moyen d'estimer la route parcourue depuis leur départ, car tout point de repère leur manquait.
l_ile_mysterieuse_1_01_f000026|Il devait même se produire ce fait curieux, qu'emportés au milieu des violences de la tempête, ils ne les subissaient pas.|Il devait même se produire ce fait curieux, qu'emportés au milieu des violences de la tempête, ils ne les subissaient pas.
l_ile_mysterieuse_1_01_f000027|Ils se déplaçaient, ils tournaient sur eux-mêmes sans rien ressentir de cette rotation, ni de leur déplacement dans le sens horizontal.|Ils se déplaçaient, ils tournaient sur eux-mêmes sans rien ressentir de cette rotation, ni de leur déplacement dans le sens horizontal.
l_ile_mysterieuse_1_01_f000028|Leurs yeux ne pouvaient percer l'épais brouillard qui s'amoncelait sous la nacelle.|Leurs yeux ne pouvaient percer l'épais brouillard qui s'amoncelait sous la nacelle.
l_ile_mysterieuse_1_01_f000029|Autour d'eux, tout était brume. Telle était même l'opacité des nuages, qu'ils n'auraient pu dire s'il faisait jour ou nuit.|Autour d'eux, tout était brume. Telle était même l'opacité des nuages, qu'ils n'auraient pu dire s'il faisait jour ou nuit.
l_ile_mysterieuse_1_01_f000030|Aucun reflet de lumière, aucun bruit des terres habitées, aucun mugissement de l'Océan n'avaient dû parvenir jusqu'à eux dans cette immensité obscure, tant qu'ils s'étaient tenus dans les hautes zones.|Aucun reflet de lumière, aucun bruit des terres habitées, aucun mugissement de l'Océan n'avaient dû parvenir jusqu'à eux dans cette immensité obscure, tant qu'ils s'étaient tenus dans les hautes zones.
l_ile_mysterieuse_1_01_f000031|Leur rapide descente avait seule pu leur donner connaissance des dangers qu'ils couraient au-dessus des flots.|Leur rapide descente avait seule pu leur donner connaissance des dangers qu'ils couraient au-dessus des flots.
l_ile_mysterieuse_1_01_f000032|Cependant, le ballon, délesté de lourds objets, tels que munitions, armes, provisions, s'était relevé dans les couches supérieures de l'atmosphère, à une hauteur de quatre mille cinq cents pieds.|Cependant, le ballon, délesté de lourds objets, tels que munitions, armes, provisions, s'était relevé dans les couches supérieures de l'atmosphère, à une hauteur de quatre mille cinq cents pieds.
