mnogo_shuma_iz_nichego_s000001|Дон Педро.|Дон Педро.
mnogo_shuma_iz_nichego_s000002|Я употребляю ее на все возможное, потому что с досады готов на все, и все, что ни делаю, делаю с досады.|Я употребляю ее на все возможное, потому что с досады готов на все, и все, что ни делаю, делаю с досады.
mnogo_shuma_iz_nichego_s000003|Меня не могут назвать честным льстецом, зато должны сознаться, что я прямодушный негодяй. Мне доверяют, надевши на меня намордник, и дают свободу, наложивши кандалы на ноги.|Меня не могут назвать честным льстецом, зато должны сознаться, что я прямодушный негодяй. Мне доверяют, надевши на меня намордник, и дают свободу, наложивши кандалы на ноги.
mnogo_shuma_iz_nichego_s000004|Танцы. Уходят все, кроме дон Жуана, Борахио и Клавдио.|Танцы. Уходят все, кроме дон Жуана, Борахио и Клавдио.
mnogo_shuma_iz_nichego_s000005|Беатриче, его племянница.|Беатриче, его племянница.
mnogo_shuma_iz_nichego_s000006|Другая комната в доме Леонато.|Другая комната в доме Леонато.
mnogo_shuma_iz_nichego_s000007|Клавдио.|Клавдио.
mnogo_shuma_iz_nichego_s000008|Леонато.|Леонато.
mnogo_shuma_iz_nichego_s000009|Бенедикт.|Бенедикт.
mnogo_shuma_iz_nichego_s000010|Когда прежде он умывался?|Когда прежде он умывался?
mnogo_shuma_iz_nichego_s000011|Не смейтесь, не смейтесь. Красноречие ваше заштопано лохмотьями, да и те едва держатся. Вы хоть бы посовестились повторять затасканные остроты. До свидания. Уходит.|Не смейтесь, не смейтесь. Красноречие ваше заштопано лохмотьями, да и те едва держатся. Вы хоть бы посовестились повторять затасканные остроты. До свидания. Уходит.
mnogo_shuma_iz_nichego_s000012|Дон Педро.|Дон Педро.
mnogo_shuma_iz_nichego_s000013|Леонато.|Леонато.
mnogo_shuma_iz_nichego_s000014|Из чего? Она сидит и. Да ведь дочь моя вам уже рассказывала.|Из чего? Она сидит и. Да ведь дочь моя вам уже рассказывала.
mnogo_shuma_iz_nichego_s000015|Дон Жуан.|Дон Жуан.
mnogo_shuma_iz_nichego_s000016|Извольте, я позову к вам Беатриче, которая, кажется, не без ног.|Извольте, я позову к вам Беатриче, которая, кажется, не без ног.
mnogo_shuma_iz_nichego_s000017|Геро|Геро
mnogo_shuma_iz_nichego_s000018|Ты лепишь из слов смысл и значение как из воска. Скажу тебе просто: Клавдио принял мой вызов и, если не явится на свидание, так я объявлю его трусом.|Ты лепишь из слов смысл и значение как из воска. Скажу тебе просто: Клавдио принял мой вызов и, если не явится на свидание, так я объявлю его трусом.
mnogo_shuma_iz_nichego_s000019|На вид ты непорочнее Дианы, На вид ты чище нерасцветшей почки, Но жар в крови твоей неугасим, И ты, как зверь, неистово и дико Беснуешься в животном сладострастье.|На вид ты непорочнее Дианы, На вид ты чище нерасцветшей почки, Но жар в крови твоей неугасим, И ты, как зверь, неистово и дико Беснуешься в животном сладострастье.
mnogo_shuma_iz_nichego_s000020|Он согрешит против музыки, если посватается за тебя не в такт. Скажи ему тогда, что во всем должно наблюдать меру - и протанцуй ему твой ответ.|Он согрешит против музыки, если посватается за тебя не в такт. Скажи ему тогда, что во всем должно наблюдать меру - и протанцуй ему твой ответ.
mnogo_shuma_iz_nichego_s000021|Нет, Уж если говорить, так лучше с ним: Подать ему спасительный совет - Стараться сердце покорить рассудку.|Нет, Уж если говорить, так лучше с ним: Подать ему спасительный совет - Стараться сердце покорить рассудку.
mnogo_shuma_iz_nichego_s000022|Это дело решенное: Клавдио женится на дочери Леонато.|Это дело решенное: Клавдио женится на дочери Леонато.
mnogo_shuma_iz_nichego_s000023|Дон Педро.|Дон Педро.
mnogo_shuma_iz_nichego_s000024|Уходят.|Уходят.
mnogo_shuma_iz_nichego_s000025|Что же вам?|Что же вам?
mnogo_shuma_iz_nichego_s000026|Вот и все ваши обязанности. Ты констебль, представитель самого принца, - если встретишь его ночью, можешь остановить и его.|Вот и все ваши обязанности. Ты констебль, представитель самого принца, - если встретишь его ночью, можешь остановить и его.
mnogo_shuma_iz_nichego_s000027|В чем они провинились?|В чем они провинились?
mnogo_shuma_iz_nichego_s000028|Дон Педро.|Дон Педро.
mnogo_shuma_iz_nichego_s000029|Позвольте поблагодарить вас, принц, за ваши ласки - я должен вас оставить. Брат ваш, дон Жуан, бежал из Мессины. Вы вместе убили невинную, прекрасную девушку.|Позвольте поблагодарить вас, принц, за ваши ласки - я должен вас оставить. Брат ваш, дон Жуан, бежал из Мессины. Вы вместе убили невинную, прекрасную девушку.
mnogo_shuma_iz_nichego_s000030|Молчи и не мешай мне. Бог свидетель, Что я племянницу мою любил.|Молчи и не мешай мне. Бог свидетель, Что я племянницу мою любил.
