ritrattodeldiavolo_01_barrili_f000001|IL RITRATTO DEL DIAVOLO di ANTON GIULIO BARRILI CAPITULO PRIMO.|IL RITRATTO DEL DIAVOLO di ANTON GIULIO BARRILI CAPITULO PRIMO.
ritrattodeldiavolo_01_barrili_f000002|Lettori gentili, siete mai stati ad Arezzo?|Lettori gentili, siete mai stati ad Arezzo?
ritrattodeldiavolo_01_barrili_f000003|Se non ci siete mai stati, vi prego di andarci alla prima occasione, anche a costo di farla nascere, o d'inventare un pretesto.|Se non ci siete mai stati, vi prego di andarci alla prima occasione, anche a costo di farla nascere, o d'inventare un pretesto.
ritrattodeldiavolo_01_barrili_f000004|Vi assicuro io che mi ringrazierete del consiglio.|Vi assicuro io che mi ringrazierete del consiglio.
ritrattodeldiavolo_01_barrili_f000005|La Val di Chiana è una tra le più amene e le più pittoresche "del bel paese là dove il sì suona".|La Val di Chiana è una tra le più amene e le più pittoresche del bel paese là dove il sì suona.
ritrattodeldiavolo_01_barrili_f000006|Anzi, un dilettante di bisticci potrebbe sostenere che il sì è nato proprio in Arezzo|Anzi, un dilettante di bisticci potrebbe sostenere che il sì è nato proprio in Arezzo
ritrattodeldiavolo_01_barrili_f000007|poichè fu aretino quel monaco Guido, a cui siamo debitori della scala armonica.|poichè fu aretino quel monaco Guido, a cui siamo debitori della scala armonica.
ritrattodeldiavolo_01_barrili_f000008|Ma, a farlo apposta, Guido d'Arezzo non inventò che sei note, dimenticando per l'appunto di inventare la settima.|Ma, a farlo apposta, Guido d'Arezzo non inventò che sei note, dimenticando per l'appunto di inventare la settima.
ritrattodeldiavolo_01_barrili_f000009|Forse, ribatterà il dilettante di cui sopra, Guido non ha inventato il si|Forse, ribatterà il dilettante di cui sopra, Guido non ha inventato il si
ritrattodeldiavolo_01_barrili_f000010|perchè questo era già nella lingua madre, o il brav'uomo non voleva farsi bello del sol di luglio.|perchè questo era già nella lingua madre, o il brav'uomo non voleva farsi bello del sol di luglio.
ritrattodeldiavolo_01_barrili_f000011|Comunque sia, andate in Val di Chiana e smontate ad Arezzo. La città non è vasta, ma che importa?|Comunque sia, andate in Val di Chiana e smontate ad Arezzo. La città non è vasta, ma che importa?
ritrattodeldiavolo_01_barrili_f000012|Il Guadagnoli, che era d'Arezzo, pensava forse alla sua terra, quando diceva ad una graziosa dama:|Il Guadagnoli, che era d'Arezzo, pensava forse alla sua terra, quando diceva ad una graziosa dama:
ritrattodeldiavolo_01_barrili_f000013|Signora, se l'essere Piccina d'aspetto Vi sembra difetto, Difetto non è.|Signora, se l'essere Piccina d'aspetto Vi sembra difetto, Difetto non è.
ritrattodeldiavolo_01_barrili_f000014|A buon conto, la città è piccola, ma ci ha le vie larghe, pulite e ben selciate, il che non si trova mica da per tutto;|A buon conto, la città è piccola, ma ci ha le vie larghe, pulite e ben selciate, il che non si trova mica da per tutto;
ritrattodeldiavolo_01_barrili_f000015|possiede molte ed insigni opere d'arte, un prefetto, un vescovo|possiede molte ed insigni opere d'arte, un prefetto, un vescovo
ritrattodeldiavolo_01_barrili_f000016|due buoni alberghi e un caffè dei Costanti, che vi dà subito l'idea di una popolazione d'innamorati.|due buoni alberghi e un caffè dei Costanti, che vi dà subito l'idea di una popolazione d'innamorati.
ritrattodeldiavolo_01_barrili_f000017|La qual cosa non mi farebbe punto specie, poichè le aretine son belle di molto|La qual cosa non mi farebbe punto specie, poichè le aretine son belle di molto
ritrattodeldiavolo_01_barrili_f000018|tanto da far dimenticare perfino i grandi uomini che son nati in Arezzo, da Mecenate, amico d'Augusto, a Francesco Redi, amico del vino.|tanto da far dimenticare perfino i grandi uomini che son nati in Arezzo, da Mecenate, amico d'Augusto, a Francesco Redi, amico del vino.
ritrattodeldiavolo_01_barrili_f000019|Frattanto, lettori gentili, venite in Arezzo con me.|Frattanto, lettori gentili, venite in Arezzo con me.
ritrattodeldiavolo_01_barrili_f000020|Non ci si va col vapore, ma a cavallo, perchè siamo cinque secoli addietro;|Non ci si va col vapore, ma a cavallo, perchè siamo cinque secoli addietro;
ritrattodeldiavolo_01_barrili_f000021|si passa una delle quattro porte della città, che è cerchiata di mura per un giro di tre miglia|si passa una delle quattro porte della città, che è cerchiata di mura per un giro di tre miglia
ritrattodeldiavolo_01_barrili_f000022|e si scende alla bottega di mastro Jacopo da Casentino. Dico bottega, per andare coi tempi;|e si scende alla bottega di mastro Jacopo da Casentino. Dico bottega, per andare coi tempi;
ritrattodeldiavolo_01_barrili_f000023|ma oggi si dovrebbe dire studio, perchè mastro Jacopo da Casentino era un pittore, e meritamente annoverato tra i migliori del suo tempo.|ma oggi si dovrebbe dire studio, perchè mastro Jacopo da Casentino era un pittore, e meritamente annoverato tra i migliori del suo tempo.
