novelle11_01_pirandello_f000001|Novelle per un anno di Luigi Pirandello|Novelle per un anno di Luigi Pirandello
novelle11_01_pirandello_f000002|LA GIARA|LA GIARA
novelle11_01_pirandello_f000003|Piena anche per gli olivi quell’annata.|Piena anche per gli olivi quellannata.
novelle11_01_pirandello_f000004|Piante massaje, cariche l’anno avanti, avevano raffermato tutte, a dispetto della nebbia che le aveva oppresse sul fiorire.|Piante massaje, cariche lanno avanti, avevano raffermato tutte, a dispetto della nebbia che le aveva oppresse sul fiorire.
novelle11_01_pirandello_f000005|Lo Zirafa, che ne aveva un bel giro nel suo podere delle Quote a Primosole|Lo Zirafa, che ne aveva un bel giro nel suo podere delle Quote a Primosole
novelle11_01_pirandello_f000006|prevedendo che le cinque giare vecchie di coccio smaltato che aveva in cantina non sarebbero bastate a contener tutto l’olio della nuova raccolta|prevedendo che le cinque giare vecchie di coccio smaltato che aveva in cantina non sarebbero bastate a contener tutto lolio della nuova raccolta
novelle11_01_pirandello_f000007|ne aveva ordinata a tempo una sesta più capace a Santo Stefano di Camastra|ne aveva ordinata a tempo una sesta più capace a Santo Stefano di Camastra
novelle11_01_pirandello_f000008|dove si fabbricavano: alta a petto d’uomo, bella panciuta e maestosa, che fosse delle altre cinque la badessa.|dove si fabbricavano: alta a petto duomo, bella panciuta e maestosa, che fosse delle altre cinque la badessa.
novelle11_01_pirandello_f000009|Neanche a dirlo, aveva litigato anche col fornaciajo di là per questa giara.|Neanche a dirlo, aveva litigato anche col fornaciajo di là per questa giara.
novelle11_01_pirandello_f000010|E con chi non l’attaccava Don Lollò Zirafa?|E con chi non lattaccava Don Lollò Zirafa?
novelle11_01_pirandello_f000011|Per ogni nonnulla, anche per una pietruzza caduta dal murello di cinta, anche per una festuca di paglia|Per ogni nonnulla, anche per una pietruzza caduta dal murello di cinta, anche per una festuca di paglia
novelle11_01_pirandello_f000012|gridava che gli sellassero la mula per correre in città a fare gli atti.|gridava che gli sellassero la mula per correre in città a fare gli atti.
novelle11_01_pirandello_f000013|Cosí, a furia di carta bollata e d’onorarii agli avvocati, citando questo|Cosí, a furia di carta bollata e donorarii agli avvocati, citando questo
novelle11_01_pirandello_f000014|citando quello e pagando sempre le spese per tutti, s’era mezzo rovinato.|citando quello e pagando sempre le spese per tutti, sera mezzo rovinato.
novelle11_01_pirandello_f000015|Dicevano che il suo consulente legale, stanco di vederselo comparire davanti due o tre volte la settimana, per levarselo di torno|Dicevano che il suo consulente legale, stanco di vederselo comparire davanti due o tre volte la settimana, per levarselo di torno
novelle11_01_pirandello_f000016|gli aveva regalato un libricino come quelli da messa: il codice|gli aveva regalato un libricino come quelli da messa: il codice
novelle11_01_pirandello_f000017|perché ci si scapasse a cercare da sé il fondamento giuridico alle liti che voleva intentare.|perché ci si scapasse a cercare da sé il fondamento giuridico alle liti che voleva intentare.
novelle11_01_pirandello_f000018|Prima, tutti coloro con cui aveva da dire, per prenderlo in giro gli gridavano: «Sellate la mula!» Ora|Prima, tutti coloro con cui aveva da dire, per prenderlo in giro gli gridavano: Sellate la mula! Ora
novelle11_01_pirandello_f000019|invece: «Consultate il calepino!» E Don Lollò rispondeva:|invece: Consultate il calepino! E Don Lollò rispondeva:
novelle11_01_pirandello_f000020|— Sicuro, e vi fulmino tutti, figli d’un cane! Quella bella giara nuova, pagata quattr’onze ballanti e sonanti|- Sicuro, e vi fulmino tutti, figli dun cane! Quella bella giara nuova, pagata quattronze ballanti e sonanti
novelle11_01_pirandello_f000021|in attesa del posto da trovarle in cantina, fu allogata provvisoriamente nel palmento.|in attesa del posto da trovarle in cantina, fu allogata provvisoriamente nel palmento.
novelle11_01_pirandello_f000022|Una giara cosí non s’era mai veduta.|Una giara cosí non sera mai veduta.
novelle11_01_pirandello_f000023|Allogata in quell’antro intanfato di mosto e di quell’odore acre e crudo che cova nei luoghi senz’aria e senza luce, faceva pena.|Allogata in quellantro intanfato di mosto e di quellodore acre e crudo che cova nei luoghi senzaria e senza luce, faceva pena.
novelle11_01_pirandello_f000024|Da due giorni era cominciata l’abbacchiatura delle olive, e Don Lollò era su tutte le furie perché|Da due giorni era cominciata labbacchiatura delle olive, e Don Lollò era su tutte le furie perché
novelle11_01_pirandello_f000025|tra gli abbacchiatori e i mulattieri venuti con le mule cariche di concime da depositare a mucchi su la costa per la favata della nuova stagione|tra gli abbacchiatori e i mulattieri venuti con le mule cariche di concime da depositare a mucchi su la costa per la favata della nuova stagione
novelle11_01_pirandello_f000026|non sapeva più come spartirsi, a chi badar prima.|non sapeva più come spartirsi, a chi badar prima.
