kleine_lord_01_f000001|Erstes Kapitel|Erstes Kapitel
kleine_lord_01_f000002|Eine große Ueberraschung|Eine große Ueberraschung
kleine_lord_01_f000003|Cedrik selbst wußte kein Sterbenswörtchen davon, nie war etwas Derartiges in seiner Gegenwart auch nur erwähnt worden.|Cedrik selbst wußte kein Sterbenswörtchen davon, nie war etwas Derartiges in seiner Gegenwart auch nur erwähnt worden.
kleine_lord_01_f000004|Daß sein Papa ein Engländer gewesen, wußte er, weil seine Mama ihm das gesagt hatte, aber dann war dieser Papa gestorben,|Daß sein Papa ein Engländer gewesen, wußte er, weil seine Mama ihm das gesagt hatte, aber dann war dieser Papa gestorben,
kleine_lord_01_f000005|als er noch ein ganz kleiner Junge gewesen, und ihm war von demselben nicht viel mehr in Erinnerung geblieben,|als er noch ein ganz kleiner Junge gewesen, und ihm war von demselben nicht viel mehr in Erinnerung geblieben,
kleine_lord_01_f000006|als daß er eine hohe Gestalt und blaue Augen und einen langen, schönen Schnurrbart gehabt und daß es herrlich gewesen, auf seinen Schultern in der Stube herumzureiten.|als daß er eine hohe Gestalt und blaue Augen und einen langen, schönen Schnurrbart gehabt und daß es herrlich gewesen, auf seinen Schultern in der Stube herumzureiten.
kleine_lord_01_f000007|Nach des Vaters Tode hatte Cedrik dann die Entdeckung gemacht, daß es am allerbesten sei, mit der Mama gar nicht von ihm zu sprechen.|Nach des Vaters Tode hatte Cedrik dann die Entdeckung gemacht, daß es am allerbesten sei, mit der Mama gar nicht von ihm zu sprechen.
kleine_lord_01_f000008|Als der Papa erkrankte, war Cedrik fortgebracht worden, und als er wieder nach Hause kam, war alles vorüber gewesen,|Als der Papa erkrankte, war Cedrik fortgebracht worden, und als er wieder nach Hause kam, war alles vorüber gewesen,
kleine_lord_01_f000009|und sein Mütterchen, das auch eine schwere Krankheit durchgemacht, fing eben wieder an, in ihrem Lehnstuhle am Fenster zu sitzen;|und sein Mütterchen, das auch eine schwere Krankheit durchgemacht, fing eben wieder an, in ihrem Lehnstuhle am Fenster zu sitzen;
kleine_lord_01_f000010|allein sie war bleich und mager und all die lustigen Grübchen waren aus ihrem hübschen Gesichte verschwunden;|allein sie war bleich und mager und all die lustigen Grübchen waren aus ihrem hübschen Gesichte verschwunden;
kleine_lord_01_f000011|die Augen sahen so groß aus und so traurig, und ihr Kleid war ganz schwarz.|die Augen sahen so groß aus und so traurig, und ihr Kleid war ganz schwarz.
kleine_lord_01_f000012|Herzlieb, sagte Cedrik – so hatte sein Papa sie immer genannt, und der kleine Junge machte es ihm nach – Herzlieb, geht's Papa besser?|Herzlieb, sagte Cedrik - so hatte sein Papa sie immer genannt, und der kleine Junge machte es ihm nach - Herzlieb, geht's Papa besser?
kleine_lord_01_f000013|Er fühlte, wie ihr Arm zitterte, wandte plötzlich sein lockiges Köpfchen und sah ihr ins Gesicht, und als er sie so ansah,|Er fühlte, wie ihr Arm zitterte, wandte plötzlich sein lockiges Köpfchen und sah ihr ins Gesicht, und als er sie so ansah,
kleine_lord_01_f000014|war's ihm, als ob er selbst bald zu weinen anfangen müsse.|war's ihm, als ob er selbst bald zu weinen anfangen müsse.
kleine_lord_01_f000015|Herzlieb, fragte er noch einmal, ist Papa wohl?|Herzlieb, fragte er noch einmal, ist Papa wohl?
kleine_lord_01_f000016|Dann gab ihm sein kleines zärtliches Herz plötzlich ein, beide Aermchen um den Hals der Mutter zu schlingen und sie wieder und wieder zu küssen und seine weiche,|Dann gab ihm sein kleines zärtliches Herz plötzlich ein, beide Aermchen um den Hals der Mutter zu schlingen und sie wieder und wieder zu küssen und seine weiche,
kleine_lord_01_f000017|warme Wange fest an die ihrige zu schmiegen, und sie drückte ihr Gesicht an seine Schulter und hielt ihn umschlungen,|warme Wange fest an die ihrige zu schmiegen, und sie drückte ihr Gesicht an seine Schulter und hielt ihn umschlungen,
kleine_lord_01_f000018|als ob sie ihn nie mehr von sich lassen wollte, und weinte bitterlich.|als ob sie ihn nie mehr von sich lassen wollte, und weinte bitterlich.
kleine_lord_01_f000019|Ja, ihm ist wohl, schluchzte sie; ihm ist ganz, ganz wohl, aber wir – wir haben nichts mehr auf der Welt als einander. Keine Menschenseele sonst.|Ja, ihm ist wohl, schluchzte sie; ihm ist ganz, ganz wohl, aber wir - wir haben nichts mehr auf der Welt als einander. Keine Menschenseele sonst.
kleine_lord_01_f000020|So klein er war, hatte er doch begriffen, daß sein großer, schöner, junger Papa nicht mehr wiederkommen werde,|So klein er war, hatte er doch begriffen, daß sein großer, schöner, junger Papa nicht mehr wiederkommen werde,
kleine_lord_01_f000021|daß er tot sei, wie er es von andern Leuten auch schon hatte sagen hören, obwohl er nicht recht wußte,|daß er tot sei, wie er es von andern Leuten auch schon hatte sagen hören, obwohl er nicht recht wußte,
kleine_lord_01_f000022|was das für ein seltsames Ding war, das so viel Herzeleid in seinem Gefolge hatte, und weil sein Mütterchen immer weinte,|was das für ein seltsames Ding war, das so viel Herzeleid in seinem Gefolge hatte, und weil sein Mütterchen immer weinte,
kleine_lord_01_f000023|wenn er von dem Papa sprach, kam er ganz in aller Stille auf den Gedanken, daß es besser sei, nicht von ihm zu sprechen,|wenn er von dem Papa sprach, kam er ganz in aller Stille auf den Gedanken, daß es besser sei, nicht von ihm zu sprechen,
kleine_lord_01_f000024|und allmählich fand er auch, daß es besser sei, sie nicht ganz ruhig dasitzen und zum Fenster hinaus oder ins Feuer starren zu lassen.|und allmählich fand er auch, daß es besser sei, sie nicht ganz ruhig dasitzen und zum Fenster hinaus oder ins Feuer starren zu lassen.
kleine_lord_01_f000025|Bekannte hatten er und seine Mama nicht viele, und man konnte ihr Leben sehr einsam nennen, obgleich Cedrik davon keine Ahnung hatte,|Bekannte hatten er und seine Mama nicht viele, und man konnte ihr Leben sehr einsam nennen, obgleich Cedrik davon keine Ahnung hatte,
