T60_WB_est,C50_WB_est,file
0.16208008,19.93042,"datasets/clean/russian_speech/M-AILABS_Speech_Dataset/ru_RU_47hrs_16k/female/hajdurova/chetvero_nischih/wavs/chetvero_nischih_s000002.wav"
0.15507929,19.797325,"datasets/clean/russian_speech/M-AILABS_Speech_Dataset/ru_RU_47hrs_16k/female/hajdurova/chetvero_nischih/wavs/chetvero_nischih_s000004.wav"
0.15495937,19.882727,"datasets/clean/russian_speech/M-AILABS_Speech_Dataset/ru_RU_47hrs_16k/female/hajdurova/chetvero_nischih/wavs/chetvero_nischih_s000003.wav"
0.15033562,19.922249,"datasets/clean/russian_speech/M-AILABS_Speech_Dataset/ru_RU_47hrs_16k/female/hajdurova/chetvero_nischih/wavs/chetvero_nischih_s000005.wav"
0.15605034,19.689737,"datasets/clean/russian_speech/M-AILABS_Speech_Dataset/ru_RU_47hrs_16k/female/hajdurova/chetvero_nischih/wavs/chetvero_nischih_s000001.wav"
0.15233369,19.847353,"datasets/clean/russian_speech/M-AILABS_Speech_Dataset/ru_RU_47hrs_16k/female/hajdurova/chetvero_nischih/wavs/chetvero_nischih_s000007.wav"
0.15168491,20.0051,"datasets/clean/russian_speech/M-AILABS_Speech_Dataset/ru_RU_47hrs_16k/female/hajdurova/chetvero_nischih/wavs/chetvero_nischih_s000006.wav"
0.15038757,19.982178,"datasets/clean/russian_speech/M-AILABS_Speech_Dataset/ru_RU_47hrs_16k/female/hajdurova/chetvero_nischih/wavs/chetvero_nischih_s000008.wav"
0.16699691,19.770067,"datasets/clean/russian_speech/M-AILABS_Speech_Dataset/ru_RU_47hrs_16k/female/hajdurova/chetvero_nischih/wavs/chetvero_nischih_s000010.wav"
0.16086383,19.506233,"datasets/clean/russian_speech/M-AILABS_Speech_Dataset/ru_RU_47hrs_16k/female/hajdurova/chetvero_nischih/wavs/chetvero_nischih_s000009.wav"
0.15114965,20.036785,"datasets/clean/russian_speech/M-AILABS_Speech_Dataset/ru_RU_47hrs_16k/female/hajdurova/chetvero_nischih/wavs/chetvero_nischih_s000013.wav"
0.14879058,20.149967,"datasets/clean/russian_speech/M-AILABS_Speech_Dataset/ru_RU_47hrs_16k/female/hajdurova/chetvero_nischih/wavs/chetvero_nischih_s000014.wav"
0.1582746,19.640717,"datasets/clean/russian_speech/M-AILABS_Speech_Dataset/ru_RU_47hrs_16k/female/hajdurova/chetvero_nischih/wavs/chetvero_nischih_s000015.wav"
0.2904297,17.22234,"datasets/clean/russian_speech/M-AILABS_Speech_Dataset/ru_RU_47hrs_16k/female/hajdurova/chetvero_nischih/wavs/chetvero_nischih_s000012.wav"
