novelle06_01_pirandello_f000001|Novelle per un anno di luigi pirandello|Novelle per un anno di luigi pirandello
novelle06_01_pirandello_f000002|IN SILENZIO|IN SILENZIO
novelle06_01_pirandello_f000003|— Waterloo! Waterloo, santo Dio! Si pronunzia Waterloo!|- Waterloo! Waterloo, santo Dio! Si pronunzia Waterloo!
novelle06_01_pirandello_f000004|— Sissignore, dopo Sant’Elena. — Dopo? Ma che dice?|- Sissignore, dopo SantElena. - Dopo? Ma che dice?
novelle06_01_pirandello_f000005|Come c’entra Sant’Elena adesso? — Ah, già! L’isola d’Elba.|Come centra SantElena adesso? - Ah, già! Lisola dElba.
novelle06_01_pirandello_f000006|— Ma no! Lasci l’isola d’Elba, caro Brei! Crede che un lezione di storia si possa improvvisare?|- Ma no! Lasci lisola dElba, caro Brei! Crede che un lezione di storia si possa improvvisare?
novelle06_01_pirandello_f000007|E dunque segga! Cesarino Brei, pallido, timido, sedette;|E dunque segga! Cesarino Brei, pallido, timido, sedette;
novelle06_01_pirandello_f000008|e il professore seguitò a guardarlo per un pezzo, contrariato, se non proprio stizzito.|e il professore seguitò a guardarlo per un pezzo, contrariato, se non proprio stizzito.
novelle06_01_pirandello_f000009|Quel ragazzo, della cui diligenza e buona volontà nello studio s’era tanto lodato ne’ due primi anni di liceo|Quel ragazzo, della cui diligenza e buona volontà nello studio sera tanto lodato ne due primi anni di liceo
novelle06_01_pirandello_f000010|ora – cioè da quando aveva indossato l’uniforme di convittore del Collegio Nazionale|ora - cioè da quando aveva indossato luniforme di convittore del Collegio Nazionale
novelle06_01_pirandello_f000011|– pure stando attento attentissimo alle lezioni da quel bravo alunno che era|- pure stando attento attentissimo alle lezioni da quel bravo alunno che era
novelle06_01_pirandello_f000012|eccolo là: neanche le vere ragioni per cui Napoleone Bonaparte era stato sconfitto a Waterloo sapeva più penetrare!|eccolo là: neanche le vere ragioni per cui Napoleone Bonaparte era stato sconfitto a Waterloo sapeva più penetrare!
novelle06_01_pirandello_f000013|Che gli era accaduto?|Che gli era accaduto?
novelle06_01_pirandello_f000014|Non se ne sapeva render conto nemmeno lo stesso Cesarino.|Non se ne sapeva render conto nemmeno lo stesso Cesarino.
novelle06_01_pirandello_f000015|Stava ore e ore a studiare, o per dir meglio, coi libri aperti sotto le grosse lenti da miope;|Stava ore e ore a studiare, o per dir meglio, coi libri aperti sotto le grosse lenti da miope;
novelle06_01_pirandello_f000016|ma non poteva più fermare l’attenzione su di essi, sorpreso e frastornato da pensieri nuovi e confusi.|ma non poteva più fermare lattenzione su di essi, sorpreso e frastornato da pensieri nuovi e confusi.
novelle06_01_pirandello_f000017|E questo, non soltanto dacché era entrato in collegio, come i professori credevano, ma da qualche tempo prima.|E questo, non soltanto dacché era entrato in collegio, come i professori credevano, ma da qualche tempo prima.
novelle06_01_pirandello_f000018|Anzi Cesarino avrebbe potuto dire che a causa di questi pensieri appunto e di certe strane impressioni s’era lasciato indurre dalla madre a entrare in collegio.|Anzi Cesarino avrebbe potuto dire che a causa di questi pensieri appunto e di certe strane impressioni sera lasciato indurre dalla madre a entrare in collegio.
novelle06_01_pirandello_f000019|La madre (che lo chiamava Cesare e non Cesarino) senza guardarlo negli occhi gli aveva detto:|La madre che lo chiamava Cesare e non Cesarino senza guardarlo negli occhi gli aveva detto:
novelle06_01_pirandello_f000020|— Tu hai bisogno, Cesare, di cambiar vita;|- Tu hai bisogno, Cesare, di cambiar vita;
novelle06_01_pirandello_f000021|bisogno d’un po’ di compagnia di giovani della tua età, e d’un po’ d’ordine e di regola, non solo nello studio, ma anche nello svago.|bisogno dun po di compagnia di giovani della tua età, e dun po dordine e di regola, non solo nello studio, ma anche nello svago.
novelle06_01_pirandello_f000022|Ho pensato, se non ti dispiace, di farti passare quest’ultimo anno di liceo in collegio. Vuoi?|Ho pensato, se non ti dispiace, di farti passare questultimo anno di liceo in collegio. Vuoi?
